job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
QA 测试,https://www.lagou.com/jobs/7207120.html,长宁区,10k-20k,上海尉合信息技术有限公司,3-5年,本科,"Mac, 开放工作空间",测试 JD岗位描述:1. 按照产品架构和业务要求，制定和推进测试策略，测试计划和测试方法；2. 主导执行项目测试，包括制定测试计划，分配测试资源，构建测试环境，执行集成测试，回归测试等；3. 保证被测系统的质量，并通过测试流程和方法创新，努力提升研发的质量和效率；4. 解决测试过程中的复杂技术问题；5. 能结合行业发展趋势，制定合适的质量技术发展规划，促进团队质量保障效率和团队技能的提升，指引团队测试技术的发展方向岗位要求:1.按照产品架构和业务要求，制定和推进测试策略，测试计划和测试方法的实施；2.参与产品需求和架构设计评审，对需求和设计进行有效性分析，识别相关风险及保障产品的可测试性；3.参与测试效果评估和软件质量核查，通过测试相关流程、策略、方法和工具等创新，提升测试的质量和效率；4.在某一测试领域比如性能、安全、自动化测试等具备很强的专业技能者优先；5.熟悉一门编程语言，有软件开发或自动化测试工作经验优先；6.本科学历，2年以上测试经验,"移动互联网,消费生活",50-150人,测试,上海
测试工程师,https://www.lagou.com/jobs/6606574.html,长宁区,10k-20k,携程计算机技术（上海）有限公司,1-3年,本科,旅游老大等你来,工作职责：1.完成日常迭代功能的测试发布；2.生产问题监控、排查和处理；3.设计接口自动化用例并添加和维护；4.参加项目需求评审和项目计划的讨论；5.制定项目测试计划、设计测试用例；6.完成项目测试，项目bug定位、跟踪和管理。任职资格： 1.统招本科及以上学历，英文良好，2年及以上测试经验；2.熟悉测试理论，流程与方法。熟悉JAVA语言，有自动化测试经验者优先，会python优先；3.责任心强，工作严谨、积极主动；4.具有较强的沟通表达能力和综合协调能力；5有接口测试经验者优先.6.熟悉SqlServer和Mysql等库管理系统，能够熟练编写SQL语句；7.熟悉Selenium或Jmeter，有服务端或web端性能测试经验优先。,旅游,2000人以上,测试,上海
QA/测试工程师,https://www.lagou.com/jobs/5745464.html,浦东新区,10k-20k,深圳市雪球科技有限公司,3-5年,本科,"五险一金 商业保险,活力团队,季度团建","岗位职责： 1、 负责产品质量标准制定，参与产品设计和迭代规划； 2、熟悉自动化测试，能够搭建和维护自动化测试环境； 3、负责测试方案，测试用例设计及测试报告输出； 4、良好的分析和学习能力，帮助开发团队挖掘缺陷的根本原因，完成问题修复； 任职要求： 1、本科及以上学历，计算机相关专业；2、三年或以上QA、软件开发、或软件测试相关工作经验； 3、精通基本的软件工程的相关知识; 4、有独立担当工作的能力，具有一定承压力，性格开朗; 5、具备较强的沟通协调能力，良好的自我管理能力,较高的团队合作精神； 优先录用： 1.有客户端、服务器、安全性能等方面经验者优先； 2. 有Java编程经验，使用过sprint boot框架者优先；  3.熟悉GP规范者优先； 4.有敏捷开发经验者优先；","移动互联网,信息安全",50-150人,测试,上海
测试工程师,https://www.lagou.com/jobs/5069178.html,静安区,10k-20k,上海海万信息科技股份有限公司,3-5年,大专,"带薪年假,体检旅游,年终奖,节日礼金",职位描述：1. 负责客户端（Android、iOS、H5）某一端应用的功能完整性测试、兼容性测试以及性能测试；2. 参与产品需求分析过程，制定测试方案，完成测试用例的编写及评审，保证测试用例，测试计划和测试报告的质量3. 根据测试计划，负责详实地描述bug产生的过程、BUG的现象，及时跟踪项目缺陷，确保项目缺陷得到及时解决；4. 能够对产品需求提出合理的建议，完善产品方案；5. 保持沟通，确保信息通畅，确保测试工作顺利和按时完成。任职要求:1. 熟悉测试用例编写方法，具有清晰的测试思想；2. 适应需求变动，能够根据项目进度调整测试计划；3. 了解数据库，掌握基本数据库语句；4. 有互联网金融，小贷业务相关经验者加分；,"移动互联网,金融",500-2000人,测试,上海
测试工程师,https://www.lagou.com/jobs/6718962.html,浦东新区,10k-15k,新浪时金（上海）信息技术有限公司,1-3年,本科,"上市公司,团队氛围好,领导nice",岗位职责：1、负责APP ，H5，小程序，公众号，PC等测试工作； 2、按照测试流程和计划，并依据需求文档及设计文档，设计测试脚本和用例，执行测试脚本和测试用例，寻找Bug； 3、分析问题所在并进行准确定位和验证，按照标准格式填写并提交Bug报告； 4、依据测试用例执行手工测试，跟踪并验证Bug，并确认问题得以解决； 5、按照标准格式填写并提交测试报告，编写其他相关文档； 6、完成产品的集成测试与系统测试；任职要求：1、熟练使用SQL Server、Mysql、oracle等任意一种数据库； 2、熟悉常用抓包工具比如charles，fiddler，接口测试工具postman、Jmeter等 ； 3、掌握一门脚本语言； 4、拥有较好的沟通技巧及团队合作精神，较强的责任感及进取精神； 5、熟悉金证券、股票等相关金融业务优先； 6、有平台APP自动化测试工作（IOS &Android ）优先；,金融,150-500人,测试,上海
测试工程师,https://www.lagou.com/jobs/4210959.html,浦东新区,10k-17k,上海海万信息科技股份有限公司,3-5年,本科,"节日礼金,年底奖金,带薪年假,旅游体检","岗位职责1）按照公司的测试规程开展测试工作：2）编写业务类，流程类测试用例，准备测试环境，执行测试用例，提交报告和分析缺陷；3）在高级测试工程师的指导下独立完成项目核心模块的测试任务。任职要求 1）计算机及相关专业、本科及以上学历2）具有较强的沟通协调和学习能力，良好的团队合作精神。3）测试经验或者开发经验3年以上，熟悉软件研发过程，掌握黑盒测试用例的设计方法，熟悉自动化测试或者性能测试优先；4）熟练掌握接口测试使用方法，以及多系统之间交互测试；5）熟练掌握Oracle或SQL Server数据库；6）熟悉Linux/Unix操作系统基本命令；""","移动互联网,金融",500-2000人,测试,上海
测试工程师,https://www.lagou.com/jobs/6787915.html,浦东新区,12k-18k,宏信金服（天津）信息科技有限公司,3-5年,本科,扁平化管理 领导nice 福利好,岗位职责：1. 根据产品功能，设计编写测试用例及制定测试计划2. 执行和维护测试用例，提交Bug缺陷并跟踪，协助开发完成缺陷的修复 3. 在测试环节过程中主动与开发人员沟通，保证测试工作的有效性和完整性 4. 能够快速地反映问题，描述问题，能对项目提出合理化建议5. 高效的执行流程，保证项目质量和进度达成任职资格：1. 一年半以上软件测试经验，能熟练编写功能及接口测试用。2.熟练掌握postman等接口测试工具，熟悉mysql等常用数据库，有金融领域相关测试经验者优先。3. 熟悉自动化测试技术者优先，如：TestNG RF Selenium WebDriver 等，有Shell或Python等使用经验者优先。4. 拥有优秀的沟通能力、协作能力及服务意识，较强的逻辑思维能力和积极主动精神，善于与开发合作和沟通 。5. 工作细致认真，具备较好的责任心、耐心及抗压能力。,金融,50-150人,测试,上海
测试工程师,https://www.lagou.com/jobs/6851821.html,杨浦区,10k-12k,上海道客网络科技有限公司,1-3年,不限,五险一金、补充医疗险、年终奖金,加入 DaoCloud 会负责：负责私有云平台产品功能测试与性能测试，负责组织规划功能测试用例及性能测试脚本。负责编写测试计划、测试方案及测试报告等文档交付物。负责测试环境的准备及云平台软件的安装部署。参与编写用户手册、部署指南等产品交付物。负责客户定制化版本的功能、性能测试组织及相关交付件整理。DaoCloud 对你的期望：本科以上学历，1年以上软件测试工作经验，了解敏捷开发流程；熟悉系统测试、性能测试、安全测试及自动化测试，熟悉测试流程，测试方法，能够依据需求编写对应的测试用例，测试思维清晰。熟悉web应用功能测试、性能测试的常用方法，有web前端开发能力者优先，能够利用浏览器工具进行前端问题的定位。熟练使用接口测试工具（如Jmeter），性能测试工具（如Loadrunner），安全测试工具（如Fitness），自动化测试工具（如Selenium）等。熟悉常用的项目管理工具（如JIRA、QC、禅道等）及版本控制工具（SVN、Git等）；熟悉常用的sql语句，能够通过sql进行辅助测试。了解 centos、ubuntu、redhat等linux操作系统，了解linux的常用命令。善于沟通，工作严谨认真、拥有超强的责任心和抗压能力。能适应客户项目现场工作；该岗位，可接受实习生，实习时间半年以上。优先条件：有Docker和 K8S 使用经验者优先。参与过企业级软件项目的交付测试。,"企业服务,数据服务",150-500人,测试,上海
测试工程师,https://www.lagou.com/jobs/6964560.html,闵行区,10k-20k,观源（上海）科技有限公司,1-3年,本科,发展空间大、发展迅速,"岗位职责：1.	从事软件测试工作，参与软件产品测试的全流程，包括需求分析、设计方案评审；2.	制定测试计划、撰写测试用例、编写测试脚本、进行软件缺陷跟踪和软件质量分析。岗位要求：1.	至少熟悉一门编程语言，例如Java/Golang/C/C++/Python等；2.	至少2年以上的测试经验；3.	有良好的的沟通能力，能够根据产品需求和软件设计，制度和推进测试计划，实施测试方法，保证软件的质量。4.	有软件开发经验优先考虑；",信息安全,少于15人,测试,上海
测试工程师,https://www.lagou.com/jobs/6902980.html,静安区,8k-15k,上海石游网络科技有限公司,1-3年,本科,"扁平化管理,发展空间大,餐补",【岗位职责】1、根据产品/项目需求文档、设计文档编写测试方案、测试用例；2、根据产品/项目测试方案与测试用例对提交的相关功能执行测试，记录、跟踪并关闭bug；3、根据相关产品/项目需要，协助完成功能调试、服务端接口测试、验收测试；4、收集和分析产品/项目的缺陷，及时与产品沟通并进行相应的跟踪，推动项目顺利进行；5、根据项目测试需要，通过工作流程、测试策略、方法和工具的创新，不断提升测试的质量和效率。【任职要求】1、对数据库、接口、开发流程等有一定了解，计算机相关专业优先；2、熟悉测试流程和测试设计方法等，完成测试计划定制、用例编写、测试数据准备及执行、报告反馈等3、至少1年以上软件开发和测试工作经验，具有程序化广告相关系统（DSP\ADX\SSP）及流量变现类产品测试经验者优先考虑；4、能够主动发现和解决测试关键问题，且有较强的测试执行能力和推动能力；5、良好的团队合作精神，较强的沟通、协调能力，能够在一定的压力下工作。,"移动互联网,广告营销",15-50人,测试,上海
