job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级服务端开发工程师及专家-【AI算法实验平台】,https://www.lagou.com/jobs/6908154.html,海淀区,20k-40k,北京达佳互联信息技术有限公司,3-5年,本科,"产品超赞,大牛团队,核心业务,薪酬福利好",职位描述：1、负责快手AI算法的服务端平台和工具的架构设计、开发、维护和优化；2、参与设计和开发AI算法实验平台、质量平台、监控系统、通用工具平台；3、跟踪国内外相关领域的最新技术和架构。任职要求：1、计算机等相关专业211本科及以上学历，扎实的数据结构和算法基础，熟悉设计模式；2、服务端3-5年的开发经验，至少熟悉C++/JAVA/Python技术栈中的一种；3、3年以上B/S结构系统分析及设计经验，有构建可伸缩、可扩展、高可用系统经验；3、熟悉常用数据库（MySQL，HBase，Redis，MongoDB)原理，掌握其使用场景以及优化。4、有丰富的微服务架构实践经验，熟悉常用RPC框架(gRPC/Dubbo等)，理解服务高可用性与可扩展性；5、熟悉Kubernates、Docker容器等主流云原生平台和技术。,文娱丨内容,2000人以上,深度学习,北京
高级移动端工具开发工程师及专家-【AI算法实验平台,https://www.lagou.com/jobs/6908157.html,海淀区,20k-40k,北京达佳互联信息技术有限公司,3-5年,本科,"产品超赞,大牛团队,核心业务,薪酬福利好",职位描述：1、负责快手AI算法的移动端基础架构开发、升级和组件优化；2、负责快手AI算法的移动端工具平台和测试框架开发；任职要求：1、计算机等相关专业211本科及以上学历，三年以上APP开发经验；2、精通Objective-C/Swift或JAVA/Python/JavaScript其中一种技术栈；3、精通iOS各种UI控件，能够实现复杂的界面交互；了解内存管理，线程管理，数据存储，性能优化等技术；4、精通Android平台内存管理机制、进程管理机制、任务管理机制；熟悉Android UI事件传递、布局、绘制等原理，能够编写自定义UI控件；5、有丰富的移动端自动化测试框架开发经验，熟悉UIAutomator2，WebDriverAgent/Facebook-WDA等工具。,文娱丨内容,2000人以上,深度学习,北京
深度学习算法工程师,https://www.lagou.com/jobs/7074066.html,海淀区,30k-60k,贝壳找房（北京）科技有限公司,3-5年,本科,免费三餐 发展空间大,"岗位职责：1、负责三维数据识别相关算法的研究、实现和完善；2、负责业内和学术界先进技术的跟踪和原型化。任职条件：1、熟悉机器学习、深度学习常用算法，熟练掌握CNN、RNN、深度增强学习等至少一种算法原理；2、对计算机视觉所涉及的机器学习方法有相关的掌握，如 mask-rcnn, pointnet, shapenet，svm，并且有实战经验，有深度学习相关经验者优先；3、熟悉常见的三维数据，并对三维重建和数据结构有基础的了解；4、动手能力强，熟练掌握C/C++/Python语言，有较强的算法分析和实现能力，并具备良好的代码和文档风格；5、熟练阅读相关英文论文和专利，并能快速编程实现；6、富有激情和创新精神，具备强烈的责任心和良好的沟通能力；7、对深度学习有较深刻的理解，熟悉gnn, gan, 强化学习，最优化理论者优先。",房产家居,2000人以上,深度学习,北京
深度学习算法工程师,https://www.lagou.com/jobs/7088909.html,昌平区,20k-40k,北京太初弈宪科技有限公司,不限,硕士,五险一金全额，领导nice，发展空间大,职位详情负责棋牌游戏深度学习AI及智能化运营的研发工作。岗位职责：1. 利用深度学习技术，设计棋牌游戏AI算法并实现相应的强化学习算法；2. 利用机器学习算法，完成用户画像，实现智能化运营；3. 遵守公司规定和工作流程，能够完成和其他部门的工作配合。任职要求：1.数学、计算机、自动化、通信等相关专业，熟练使用Python等语言，本科及以上学历，有人工智能算法相关工作经验优先；2. 熟练掌握数学基础以及图像基本算法原理，熟悉TensorFlow、Keras使用；3. 掌握神经网络的训练以及优化方法；4. 熟悉蒙特卡洛搜索、蒙特卡洛树搜索等技术；5. 热爱棋牌游戏。不接受创业公司的慎投！,人工智能、软件开发,15-50人,深度学习,北京
深度学习嵌入式算法工程师,https://www.lagou.com/jobs/7102542.html,海淀区,30k-60k,腾讯科技（深圳）有限公司,3-5年,本科,领导nice 创新项目,岗位职责 负责视觉感知模型压缩和加速的技术难点攻关和前瞻调研 负责嵌入式平台的代码实现，效果性能优化以及车端部署/调试/分析 岗位要求 计算机等相关专业，硕士以上学历，3年以上工作经验 熟练掌握C/C++、Python，良好的数据结构和算法基础 熟练掌握至少一种深度学习框架，例如Caffe、TensorFlow、Keras、Pytorch等，拥有三年以上实际项目经验，对网络结构设计、训练、大规模数据处理/标定有实践经验 熟悉模型裁剪，数据/模型蒸馏，模型量化等常见模型压缩算法，有三年以上实际项目经验 了解视觉目标检测常见算法和模型架构 熟练阅读英文文献，能对外文文献进行汇总、评估 良好沟通能力，较强的集体荣誉感和团队合作精神,社交,2000人以上,深度学习,北京
深度学习算法工程师,https://www.lagou.com/jobs/5809761.html,朝阳区,25k-50k,广州小狗机器人技术有限公司北京分公司,1-3年,本科,"弹性时间,资金充足",岗位描述：对视频进行物体检测、识别，目标跟踪等相关算法的开发；负责开发各种高效的图像或者视频算法，包括不限于如人脸检测识别、目标检测和跟踪、行为识别、视频结构化分析、图像处理等对相关模型进行加速、压缩，支持在业务系统上的应用。任职要求：熟悉图像处理，分析基本原理及常用方法；熟悉模型加速优化方法；良好的英语能力，能熟练阅读英文论文和专利。理解常用的机器学习、深度学习算法，有图像识别、目标检测等项目经验者优先；熟悉MXNet、Caffe、Tensorflow、TFLite、NCNN等深度学习框架者优先；具备算法开发实现能力，熟悉C/C++、CUDA、Python等编程语言；熟悉Android或者iOS平台基本开发者优先。,硬件,150-500人,深度学习,北京
深度学习算法工程师,https://www.lagou.com/jobs/7216690.html,海淀区,20k-35k,中科视拓（北京）科技有限公司,不限,本科,五险一金，团队津贴，节日福利,工作职责1. 开发、维护与迭代各种深度学习算法的工具包(平台)。2. 基于算法工具包(平台)，建立开源社区生态。 职位要求1. 精通Python且熟练C/C++，热心于参与开源生态建设。2. 熟练使用现代深度学习框架(TensorFlow/PyTorch/MXNet)。3. 熟练复现深度学习常见算法(目标检测/语义分割/GAN/强化学习/NLP相关)。 加分项1. 在CVPR/ICCV/ECCV/NIPS/ICLR/ICML/ACL/EMNLP有论文发表者加分。2. 独立开发深度学习算法工具包，获得Github一定star数量者加分。,企业服务,50-150人,深度学习,北京
深度学习算法工程师,https://www.lagou.com/jobs/6950684.html,朝阳区,25k-40k,北京热云科技有限公司,3-5年,硕士,17薪，午休两小时,该职位基于海量数据，利用深度学习等技术，为业务场景，提供包括模型调优，样本和特征选取的针对性优化。岗位职责：1、对全互联网数据和用户行为等大数据进行分析，利用深度学习模型深度挖掘可用信息；2、熟悉GAN、DNN、CNN、RNN等模型；3、研究方向包括但是不限于对各类深度学习模型的调优，对百亿千亿级别样本选取的优化，以及特征的优化和分析。任职资格：1、深度学习等相关专业、尤其是基于深度学习语义理解相关专业的硕士/博士，或者在该领域有相关工作经验；2、熟悉人工智能领域前沿技术，例如GAN、强化学习，对深度学习语义理解领域在学术界以及工业界有前瞻性，兑深度学习模型调优，常用深度学习平台TensorFlow有深度的理解与优化经验3、能够从复杂的业务场景中进行算法选型、算法优化以及不断提升效果，对项目效果追求**，有极强的自我驱动力与学习能力；4、熟悉linux开发环境，精通python，熟悉Java或C++，扎实的数据结构和算法功底。,"数据服务,移动互联网",150-500人,深度学习,北京
高级算法工程师【推荐、搜索、数据挖掘、深度学习】,https://www.lagou.com/jobs/5388716.html,海淀区,40k-80k,北京微聚未来科技有限公司,3-5年,本科,七险一金、15-20薪、牛人团队,职位描述：1.基于新浪全量数据，负责信用模型开发及迭代，对模型上线后效果负责；2.结合各方数据源，完善反欺诈模型体系，对模型上线后效果负责；3.负责开展用户画像、基础属性、社交关系的数据挖掘；4.跟进业内最新技术的研究并探索结合业务的方法。岗位要求：1.计算机或者相关专业硕士以上学历，3年以上相关工作经验；2.熟练使用 C++/JAVA/PYTHON中的一种，熟悉 Linux 开发环境和shell；3.熟悉数据挖掘、推荐、搜索、深度学习、机器学习等算法；4.熟悉分布式数据处理系统的开发，如hadoop / spark / hive /  hbase等；5.优秀的分析问题、解决问题能力，对挑战性问题充满激情。,"移动互联网,金融",500-2000人,深度学习,北京
深度学习算法工程师,https://www.lagou.com/jobs/5302425.html,海淀区,18k-30k,北京望石智慧科技有限公司,1-3年,硕士,"牛人多,期权,国际视野,发展前景好",工作内容：1. 利用机器学习、深度学习、强化学习等相关技术，探索人工智能用于小分子药物发现的新算法；2. 参与或负责建立多功能人工智能支持医疗技术平台--分子设计平台，帮助加快药物发现过程；3. 参与或负责设计与构建AI医药相关的知识图谱系统、智能分子设计平台等。 要求：1. 985/211 高校计算机、生物工程、化学信息学等相关专业， 硕士以上学历；2. 2年以上深度学习、强化学习应用经验，在推荐、搜索、自然语言处理、GAN，强化学习等一个或多个领域有丰富的实战经验；3.  论文阅读能力强，熟练掌握AI常用算法原理，并能熟练运用模型解决有挑战性的问题；4. 数学基础好，有良好的逻辑思维和定义以及解决问题的能力，关注细节；5、对人工智能、AI医疗等领域有浓厚兴趣，心态开放，有较强的学习能力。,"医疗丨健康,人工智能",15-50人,深度学习,北京
