job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据仓库工程师,https://www.lagou.com/jobs/6800645.html,渝中区,6k-12k,重庆众意网科技有限公司,3-5年,大专,项目奖金，年底奖励，股权激励,"岗位职责1.为客户提供数据库/数据仓库解决方案，包括数据建模，多维建模等等2.为客户提供数据质量管理，包括元数据管理，数据血缘等等3.撰写SQL，为客户提供业务洞察任职要求： 1、熟悉数据仓库、数据分析、数据挖掘基本理论与原理，有数据处理相关经验五年以上。 2、熟悉至少一种数据库，Oracle，Mysql，SqlServer，PostgreSQL等。3、 熟练运用SQL，至少五年以上4、具有至少一个ETL数据仓库BI项目经验。 5、良好的学习能力和团队协作能力，具有很好的沟通技巧，工作细致认真负责，并能承受一定工作压力。加分项：1. Python 数据挖掘2. 熟悉PPT,Excel,Word办公操作3. 熟悉报表工具4. 杰出的沟通能力，迅速定位客户的需求，并给出解决方案",其他,15-50人,数据仓库,重庆
dba数据库工程师,https://www.lagou.com/jobs/7165822.html,渝中区,11k-19k,重庆商社电子商务有限公司,3-5年,本科,五险一金 前景可期,（一）岗位职责： 1、支持集团数据库稳定运行，监控数据库整体运行情况，持续发现和解决潜在的问题;   2、支持数据库运维管理，包括数据库部署、监控、性能调优、数据迁移、备份恢复、故障快速处理等;  3、部署和优化数据库高可用架构，搭建部署并持续优化;  4、配合开发提供数据库支持，负责SQL上线审核和优化，保证生产环境SQL高效稳定运行;   5、负责异构数据库之间的数据传输和同步;   6、完成数据库相关的工作.  （二）任职要求：1、2年以上oracle 相关的管理开发经验;  2、熟悉/精通oracle数据库体系结构和工作原理，熟练RAC、dg等;   3、了解数据库各版本的功能和特点，以及dataguard原理和实践;4、精通常用数据库备份恢复方法，并理解其工作原理;  5、精通sql优化，并能处理突发事件; 6、熟悉mysql体系结构，了解主从及MGR等优先;    7、熟悉Linux运维管理，熟悉shell、python、go等其中一种脚本语言开发；    8、熟悉常用ETL工具，技术和数据增量同步解决方案;   9、有较强的学习能力，对相关新技术有很强的求知欲和敏感度，并能快速学习新知识;,电商,50-150人,数据仓库,重庆
数据库运维,https://www.lagou.com/jobs/6717873.html,渝中区,12k-18k,重庆西西弗文化传播有限公司,3-5年,本科,发展空间大、具有竞争力的薪酬,工作职责：1、负责线上MySQL/PostgreSQL和NoSQL集群的架设、管理、维护、备份、扩容等基础工作；2、负责Linux、windows服务器的调试优化、日常监控、故障处理、数据备份、日志分析等；3、实施可靠的监控手段，保障各个数据系统高可用，保障数据安全、合理分配权限、信息脱敏保护等；4、协助指导支持各产品线的数据库设计及开发，制定数据库技术方案，分库分表策略，数据迁移方案；5、分析数据库系统性能瓶颈，提出优化建议和方案；6、撰写数据库相关操作手册、维护技术文档等；对内部员工进行培训；任职要求：1.了解liunx 和windows server操作系统基本操作，会安装和配置，日常的管理和运维； 2.熟悉oracle database基础理论知识，熟悉数据库的日常管理和维护（含单实例和rac）； 3.熟悉oracle dg和ogg的日常管理和维护，能进行简单的故障处理；4.能熟练的使用sql语句进行数据操作，会编写简单的存储过程.；5.掌握sql优化规则，能进行sql优化。,"消费生活,文娱丨内容",500-2000人,数据仓库,重庆
数据库运维工程师,https://www.lagou.com/jobs/6747181.html,渝中区,10k-20k,重庆西西弗文化传播有限公司,5-10年,大专,大平台 发展迅速 团队和谐,1、负责线上MySQL/PostgreSQL和NoSQL集群的架设、管理、维护、备份、扩容等基础工作；2、负责Linux、windows服务器的调试优化、日常监控、故障处理、数据备份、日志分析等；3、实施可靠的监控手段，保障各个数据系统高可用，保障数据安全、合理分配权限、信息脱敏保护等；4、协助指导支持各产品线的数据库设计及开发，制定数据库技术方案，分库分表策略，数据迁移方案；5、分析数据库系统性能瓶颈，提出优化建议和方案；6、撰写数据库相关操作手册、维护技术文档等；对内部员工进行培训；任职资格1.了解liunx 和windows server操作系统基本操作，会安装和配置，日常的管理和运维； 2.熟悉oracle database基础理论知识，熟悉数据库的日常管理和维护（含单实例和rac）； 3.熟悉oracle dg和ogg的日常管理和维护，能进行简单的故障处理；4.能熟练的使用sql语句进行数据操作，会编写简单的存储过程.；5.掌握sql优化规则，能进行sql优化。,"消费生活,文娱丨内容",500-2000人,数据仓库,重庆
数据仓库架构师,https://www.lagou.com/jobs/6180816.html,渝中区,9k-17k,德勤企业咨询（上海）有限公司,3-5年,本科,五险一金/带薪年假/不出差或少量出差,"About Business Our team of Emerging Services is leveraging established and emerging technologies to deliver digital finance solutions for some of our largest enterprises across different industries.Ideally, you will be a specialist with rich knowledge from the digital/information technology industry with some development/architecting/automation experience.岗位职责：数据可视化，数据抽取，数据库建模开发任职要求：精通ETL/OLAP，熟悉至少一种主流ETL开发工具，如SSIS、DataStage等熟悉至少两种主流报表工具：Qlikview/Tableau/Cognos/SAP BO/OBIEE/PowerBI精通数据库的开发设计，精通SQL脚本的编写优化，数据库性能调优有Hadoop/Hive, Storm, Spark等相关经验优先。",金融,2000人以上,数据仓库,重庆
高级数据仓库开发工程师,https://www.lagou.com/jobs/6731933.html,渝北区,15k-25k,重庆戈云沃网络科技有限公司,3-5年,本科,团队氛围好 调薪机制灵活,岗位职责：1.负责数据中心整体解决方案的设计和技术研究；2.负责数据仓库架构和建模工作，为各业务数据分析、挖掘等提供支撑;2.整体负责数据采集、数据接收、ETL、数据仓库建模中的各个环节;3.整体考虑ETL的性能、存储、调度等问题;4.负责元数据管理工作;5.根据业务需要，提供面向业务的报表、数据提取等数据服务。6.负责数据分析工具平台的选型和研发工作；任职要求：1、全日制本科及以上学历，计算机相关专业 ；2、3年以上数据领域相关工作经验 ；3、熟悉数据仓库方法论、理解维度建模，有ETL相关开发工作经验，能够牵头完成数据管理相关工作 ;4、掌握大型数据库开发技术，如Oracle、Teradata、DB2、Mysql等等掌握至少其中一种，灵活运用SQL实现海量数据ETL加工处理 ；5、具备项目全过程管理能力以及较强的业务理解能力，且对项目结果达成有主观强烈的渴望，责任心强，能承受一定压力 ；6、有数据服务公司技术管理背景或相关数据平台开发工作经验 ；7、了解大数据基础架构和平台 ，具备相关产品（Hadoop、Hive、HBase、Pig、Sqoop、Spark等）项目应用研发经验者优先 ；8、熟悉python语言者优先 。,电商,150-500人,数据仓库,重庆
高级数仓工程师,https://www.lagou.com/jobs/6974255.html,渝北区,15k-25k,马上消费金融股份有限公司,5-10年,本科,带薪年假,"岗位职责：1、数据仓库设计和ETL开发；2、数据仓库的搭建和开发；3、参与数据仓库系统的优化及计算性能提升； 4、协助数据分析体系的数据建模、统计及分析。任职要求：1、学历要求:统招本科及以上学历，计算机以及相关专业，2、经验要求:具有4年及以上数据仓库经验,3、技能要求:（1）具有一定数据模型和数据架构基础，熟悉大数据技术（hive，hbase，spark等）（2）精通SQL，精通SQL性能调优经验；（3）熟悉mysql、oracle、OLAP相关技术；（4）至少熟悉一种开发语言java或者python4、通用要求：（1）有较强的学习能力和技术钻研能力、有自我驱动意识（2）具备独立分析和解决问题的能力；积极主动、认真踏实的工作态度（3）有良好的沟通能力，善于跨团队合作（4）具备良好的编码习惯，工作态度认真，责任心强","金融,移动互联网",2000人以上,数据仓库,重庆
研发工程师,https://www.lagou.com/jobs/7113532.html,九龙坡区,10k-15k,重庆中电自能科技有限公司,5-10年,本科,五险一金、年金、补充医疗保险、定期体检,岗位职责：1.负责系统架构设计、搭建、核心代码编写，保证高性能、高可用，确保代码质量；2.熟悉高性能的分布式系统的设计、应用及调优：如缓存技术，网站优化，服务器优化，集群技术处理、网站负载均衡、系统性能调优等技术；3.解决技术难题、组织知识分享和员工培养；4.线上紧急问题的快速响应，新系统上线部署及维护工作，团队疑难问题的跟进和解决。5.负责数据数据清洗，元数据、主数据、数据质量流程处理等工作。任职要求：1.年龄35岁及以下，本科以上学历，精通Java、Web开发，5年以上中大型web应用系统架构设计经验和Java开发经验；2.Java基础扎实，熟悉大数据平台数据仓库设计、开发，熟悉Hadoop生态环境；3.熟练使用Spring Boot、Spring Cloud、Mybatis等开源框架，熟悉RestfulAPI，WebService等常见服务开发规范，精通mysql等数据库中的至少一种，精通Sql语句，了解Sql语句的执行方式，能对Sql语句进行优化；4.熟悉Linux系统使用，熟悉Shell脚本以及常用的管理命令，熟悉nginx、tomcat等服务软件配置部署；5.熟悉高并发、高性能的分布式系统的设计、应用及调优：如缓存技术，网站优化，服务器优化，集群技术处理、网站负载均衡、系统性能调优等技术；6.严谨的工作态度、高度的责任心和质量意识，良好的沟通协调能力，具备良好的学习能力和潜力，具备较强的抗压能力和独立解决问题能力；,"数据服务,企业服务",50-150人,数据仓库,重庆
研发工程师（大数据开发）,https://www.lagou.com/jobs/7113722.html,九龙坡区,10k-15k,重庆中电自能科技有限公司,3-5年,本科,五险一金、年金、补充医疗保险、定期体检,一、岗位职责1、参与大数据平台（CDH/HDP）的搭建和维护2、参与大数据平台的整体数据架构设计，完成从业务模型到数据模型的设计工作； 3、参与数据ETL的开发、流程的优化及解决ETL抽取数据过程中各类问题；二、任职资格1.掌握数据仓库基本理论，熟悉CDH平台，精通hadoop/hive/spark/azkaban开发等2.具有良好的编程能力，熟悉Scala/Java/Python等编程语言3.熟悉SQL/HQL，有较好的SQL性能调优经验4.有数据仓库大型项目经验5.有很强的数据分析能力，能通过数据分析发现问题,"数据服务,企业服务",50-150人,数据仓库,重庆
机器学习工程师,https://www.lagou.com/jobs/6800659.html,渝中区,8k-15k,重庆众意网科技有限公司,3-5年,本科,项目奖金，年底奖励，股权激励,职责描述： 1、结合大数据机器学习等技术，深入挖掘和分析海量商业数据； 2、分析业务模型与应用场景，参与数据清洗和过滤、特征抽取、参数选择、算法实验、效果分析； 3、根据业务需求，从机器学习角度给出有效的优化解决方案； 4、从事公司用户画像与商品推荐系统算法的研发工作； 5、借鉴业界相关开源技术，不断改进技术体系，驱动业务发展； 任职要求： 1、熟悉主流的机器学习，数据挖掘基本算法和数据模型，有大量数据搜集、整理分析的经验； 2、具备大型互联网电商企业的用户画像商品推荐搜索系统经验； 3、在特征工程、模型评估、模型上线等方面具备充分的实践经验； 4、具有扎实的统计学、数据挖掘相关知识，熟悉数据仓库和数据挖掘的相关技术； 5、精通Python，Java，R等至少一门语言； 6、学习能力强，对商业和业务逻辑敏感； 7、对海量数据挖掘分析有浓厚兴趣，了解Hadoop及Spark生态圈相关技术具备分布式机器学习相关经验。 加分项: 1.具备深厚数据建模（机器学习，数据挖掘）和分析理论知识和经验,其他,15-50人,数据仓库,重庆
数据开发工程师,https://www.lagou.com/jobs/6877215.html,渝中区,10k-18k,重庆渝欧跨境电子商务股份有限公司,3-5年,本科,五险一金、周末双休、带薪年假、节日福利,职位描述：1、负责数据产品需求分析、数据建模，完成相关设计及编码2、完善现有数据产品，优化现有产品数据体系3、深入理解业务需求，能从数据角度推动业务发展，开发相应数据产品及工具4、根据业务需要，提供面向业务的报表、数据提取等数据服务任职要求：1、计算机或相关专业本科以上学历，3年以上数据库开发经验2、精通sql开发(oracle、mysql、sqlserver等一种或多种)3、熟练掌握plsql开发，有至少一个项目的开发经验，对其有比较深的理解与认识4、熟悉数据仓库和数据集市的框架结构，具备数据仓库与数据集市的架构设计能力5、熟悉ETL工具，并具有一种ETL工具的使用经验6、熟悉Linux系统，具备shell、perl等脚本开发能力优先7、熟悉大数据平台与主流产品，并理解其架构体系8、高度的责任心、逻辑思维能力强、良好的沟通技巧和团队合作精神9、熟悉阿里云数据库产品，有相关经验者优先10、有零售行业数据类开发工作经验者优先,电商,150-500人,数据仓库,重庆
大数据开发工程师,https://www.lagou.com/jobs/7149926.html,渝北区,15k-22k,重庆花儿投资管理有限公司,5-10年,本科,年底双薪，年终分红，团队氛围nice,【岗位职责】：1、负责全域数据和应用产品的数据体系的建设，通过数据+算法+工程化能力，处理和萃取数据，让其成为应用和产品的能源；2、参与大数据基础架构和技术体系的规划建设，包括数据采集平台、数据资产管理与治理平台、数据质量及稳定性保障体系、数据处理智能化和自动化体系的建设。3、参与大数据业务需求的分析、数据建模、设计与开发工作；【岗位要求】：1、具有数据仓库和数据建模的相关经验，熟悉ETL开发；2、熟练掌握至少一种分布式计算框架，如hadoop、spark、storm、flink等，并理解其架构和工作原理；3、熟悉mysql/redis 等常用sql和nosql数据库;4、至少熟练掌握java、python等两种以上语言;5、有丰富的大数据集群部署和维护管理经验;6、极强的工作责任心，良好的团队协作精神，优秀的表达和沟通能力；7、乐于挑战，有一定的极客精神，能承受较大工作压力；v,企业服务,500-2000人,数据仓库,重庆
etl工程师,https://www.lagou.com/jobs/5948950.html,渝中区,15k-25k,德勤企业咨询（上海）有限公司,不限,本科,"外企平台,出差补助,五险一金,商业医疗保",岗位职责:1、负责数据仓库核心结构设计，及相关数据模块任务模块设计；2、负责各种业务数据的ETL任务及数据仓库部署和管理；3、持续改进优化ETL、分析处理、数据呈现等流程，协调海量数据压力问题；4、保证数据安全、稳定、可恢复；5、负责数据仓库的日常维护工作。6、接受出差。7、英语CET-4及以上。,金融,2000人以上,数据仓库,重庆
数据库运维工程师,https://www.lagou.com/jobs/7199131.html,渝中区,10k-15k,重庆西西弗文化传播有限公司,3-5年,本科,年底双薪 调薪机制 弹性工作,工作职责：1、负责线上MySQL/PostgreSQL和NoSQL集群的架设、管理、维护、备份、扩容等基础工作；2、负责Linux、windows服务器的调试优化、日常监控、故障处理、数据备份、日志分析等；3、实施可靠的监控手段，保障各个数据系统高可用，保障数据安全、合理分配权限、信息脱敏保护等；4、协助指导支持各产品线的数据库设计及开发，制定数据库技术方案，分库分表策略，数据迁移方案；5、分析数据库系统性能瓶颈，提出优化建议和方案；6、撰写数据库相关操作手册、维护技术文档等；对内部员工进行培训；任职资格：1.了解liunx 和windows server操作系统基本操作，会安装和配置，日常的管理和运维；2.熟悉oracle database基础理论知识，熟悉数据库的日常管理和维护（含单实例和rac）；3.熟悉oracle dg和ogg的日常管理和维护，能进行简单的故障处理；4.能熟练的使用sql语句进行数据操作，会编写简单的存储过程.；5.掌握sql优化规则，能进行sql优化。,"消费生活,文娱丨内容",500-2000人,数据仓库,重庆
BI工程师,https://www.lagou.com/jobs/6029836.html,渝中区,10k-20k,德勤企业咨询（上海）有限公司,3-5年,本科,外企大平台、福利待遇好,1 计算机或相关专业毕业。2 学过数据库和Sql，熟悉数据仓库和Etl概念。3 沟通能力好，英文读写OK。 以上3项为必要条件。 BA1 有流程梳理，业务分析的经验。2 有数据模型整理归纳的经验。3 有 BI 系统分析设计经验。3 有金融类项目经验。4 有参与央行征信系统项目经验。,金融,2000人以上,数据仓库,重庆
