job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
美工,https://www.lagou.com/jobs/6840792.html,惠山区,3k-6k,无锡久帝文化传媒有限公司,1年以下,大专,包吃住，五险一金，月度奖金。,岗位职责：1.负责公司宣传册、各类展架及公司艺人banner图、封面等制作；2.负责公司品牌形象宣传的相关设计、物料制作等工作；任职资格：1.熟练使用Ps、Ai、CDR等相关设计排版软件及办公软件；2.大专及以上学历，设计或美学等相关专业毕业，1年以上的美工工作经验；3.具有良好的审美及色彩搭配能力，有较为扎实的美工基础，对页面有较好的审美感和创新意识；4、做事认真负责，工作积极主动，乐观开朗，具有良好的团队精神，有手绘能力者优先。,文娱丨内容,150-500人,美工,无锡
平面设计美工,https://www.lagou.com/jobs/6564677.html,惠山区,4k-6k,无锡日臻完善文化传媒有限公司,3-5年,本科,五险一金！主案设计,能独立完成项目设计，适应快节奏工作环境，能回效果图优先考虑,广告营销,少于15人,美工,无锡
平面设计美工,https://www.lagou.com/jobs/6864036.html,锡山区,7k-9k,无锡红豆居家服饰有限公司,不限,本科,成长空间大 自由度高 工作灵活有意义,岗位职责：1、根据热力图和产品销售情况，调整店铺首页产品展示；2、结合节日特点进行文案策划及整体网店气氛营造设计；3、根据产品特点，选择布局，拍摄产品细节图；4、产品拍摄后做好图片处理等后期制作；5、根据店铺不同活动主题、策划方案，优化活动页面。任职要求：1、要求本科及以上学历，艺术设计、视觉传达相关专业；2、有一年以上网店美工或平面设计工作经验更佳，有一定的文案策划能力；3、具备一定的服装专业知识，精通主流设计软件，懂一定的摄影专业知识。,其他,2000人以上,美工,无锡
文案编辑,https://www.lagou.com/jobs/6840784.html,惠山区,4k-6k,无锡久帝文化传媒有限公司,1年以下,大专,包吃住，五险一金，月度奖金。,岗位职责：1、负责微信公众号、百家号内容的搜集、编辑，参与全媒体选题策划和具体实施，撰写企业软文和其他报道文章；2、对产品信息描述进行文字渲染、撰写文案，提升产品展现力；3、品牌的整体策划和编辑，实现多样化、内容化、品牌化；4、配合美工完成活动页面的策划与发布。任职要求： 1、大专或大专以上学历，专业不限，有半年以上的工作经验，但具有扎实的文字功底，热爱阅读，对短视频，游戏热点，方面的信息敏感度高。2、具有良好的文字功底及文案策划能力，文字感染力强，思维活跃，喜欢脑洞大开，富有创新精神； 3、有较强的逻辑思维能力、语言组织能力，熟悉网络文化，具有独立撰稿能力；4、了解新媒体，有公从号编辑排版运营，有经验，有作品的优先；5、责任心强、具亲和力，有良好的沟通、实施能力及团队合作精神；6、如你有绘画、PS等方面的基础可以加分哦。,文娱丨内容,150-500人,美工,无锡
新媒体运营,https://www.lagou.com/jobs/7215151.html,锡山区,6k-8k,奇点九鼎影视文化传媒股份有限公司,1-3年,本科,五险一金，包吃住，带薪年假。北大博士指导,新媒体岗位职责1、及时完成上级指派的各项策划工作，全力支持销售部门的销售工作。2、负责各类文案的撰写与任务分配，并进行总结与分析。3、跟踪公司各类广告、产品册、商品销售等品牌行销活动，建立相应的资料库。4、负责公司形象的树立、宣传、维护、提升。5、负责公司大型活动、市场推广及公关活动的创意、策划。6、收集策划活动的市场反馈信息，进行分析并调整活动方案。7、负责产品开发信息收集，为其它部门提供知识培训。8、公众号、网站信息维护；网络推广。任职要求正规本科毕业（学信网查验属实），擅长文字工作，熟练运用word、excel、ppt等办公软件，具备摄影、美工、排版相关的基本常识，会PS修图。了解智能穿戴、IP产业、移动互联等方面的最新进展。,"电商,文娱丨内容",15-50人,美工,无锡
平面设计师,https://www.lagou.com/jobs/6678618.html,江阴市,6k-7k,张家港市朝阳文化产业有限公司,3-5年,不限,可包吃住，详细面谈。,平面设计岗位职责：1、负责公司文案美工、平面设计工作；2、负责公司网站、平台及对外活动宣传的平面设计；3、能独立完成线上运营活动H5设计，名片、logo、易拉宝等VI设计；4、协助相关部门进行市场推广和广告宣传，负责客户要求的平面设计；5、微信公众平台宣传、产品宣传海报、制定策划推广方案；6、完成公司安排的其他相关工作。任职资格：1、平面设计或美术方面专业毕业，熟练掌握Photoshop、CorelDRAW等平面设计软件；2、2年以上平面设计经验；3、有互联网公司工作经验者优先；4、创意丰富新颖，策划能力突出，逻辑思维能力强；5、具备良好的职业素养，优秀的团队精神及执行力，学习能力强。面试需携带资料：设计稿或设计电子稿五险一金，各种下午茶、节假日福利、团队趴等等~,广告营销,少于15人,美工,无锡
新媒体运营专员,https://www.lagou.com/jobs/6606918.html,锡山区,4k-7k,上海乾译翻译服务有限公司,3-5年,大专,周末双休绩效奖金定期体检股票期权加班补助,岗位职责：1、负责公司自有媒体运营维护，粉丝运营；2、负责公司自有媒体内容方向制定和撰写；3、策划并执行相关推广活动，协助制定相应的营销策略；4、执行、撰写反馈，汇总报告品牌推广和新闻发布的结果及效果评估；5、关注并研究竞争对手，制定网络新媒体营销策略。任职资格：1、 年龄：23--30岁2、 学历专业：大专以上学历，新闻、中文、传播、广告策划等相关专业毕业，英文读写能力优秀，听说能力良好，或具有相关从业经验者优先；3、经验：      1）具备新媒体工作运营经验；     2）熟悉web2.0产品(微博、微信、简书、豆瓣、知乎等)运营模式以及推广；    3）有社交媒体活动策划经验、有社交媒体平台广告投放经验的优先；    4）有翻译公司或咨询公司销售相关工作经验者优先；4、知识：    1）具备互联网web2.0产品应用知识和技巧、具有一定文案策划编辑功底；    2）了解营销心理学，能站在用户的角度进行分析，感同身受。5、能力：     1）文笔好、具有良好的审美水平，思维活跃，逻辑性强，具备较强的广告文案撰写能力，能编写有创意的广告标题和内容；    2）反应机敏，具备网络感，善于**时间抓住网络热点；    3）具有较强的数据分析能力、信息采编整合能力；    4）掌握软件：office、图片编辑排版软件、微信公众号后台操作、秀米或者135等编辑器；6、个人素质：    1）具有自驱力，责任心强，有团队意识，为人乐观向上，愿意积极主动与他人沟通，做事仔细认真，具有抗压能力；    2）熟悉知乎、博客、微博、SNS，微信等各类社区社交软件，良好的用户体感；    3）擅长美工，精通视频剪辑、PS者优先；    4）有营销策划、网络推广、网络编辑等工作经验者优先。,"企业服务,消费生活",15-50人,美工,无锡
Web前端开发工程师,https://www.lagou.com/jobs/5852861.html,滨湖区,8k-13k,北京山海础石信息技术有限公司,1-3年,本科,带薪休假 年底双薪 年度旅游,"职责描述：负责网络应用系统Web前端产品的设计和开发。任职要求：1、三年及以上前端开发工作经验；2、熟练掌握各种Web前端技术HTML5、XML、CSS等，有原生 JavaScript 开发水平和丰富经验；3、掌握JavaScript语言核心技术DOM、BOM、Ajax、JSON，了解各项技术的相关标准，有独立完成复杂前端JS框架的设计与实现的经验；4、熟悉模块化、前端编译和构建工具，熟练运用主流的移动端JS库和开发框架，并深入理解其设计原理，例如：AngularJS、avalon、jQuery、Bootstrap、RequireJS等；5、有基础美工基础优先，能够将UI设计转化为符合W3C规范的DIV+CSS静态页面，确保浏览器及平台的性能和兼容性；6、深刻理解W3C标准, 熟悉主流移动浏览器的技术特点, 熟练解决主流浏览器在web端不同版本的兼容性问题（IE、Chrome、Firefox等)； 7、对JavaScript性能、面向组件开发有成熟的解决方案，对前端加载流程和渲染有深入了解，善于使用前端的调试工具和自动化工具；8、具有良好的职业操守、沟通能力和团队合作精神，优秀的分析问题和解决问题的能力。","移动互联网,企业服务",15-50人,美工,无锡
品牌设计师,https://www.lagou.com/jobs/6899677.html,滨湖区,8k-12k,禾光堂生物科技无锡有限公司,3-5年,不限,是金子总会发光的 欢迎加入我们,岗位职责：1.具有品牌设计和包装等领域专业的专业能力，能够搭建品牌主视觉，完成品牌升级，指导其他设计师完成相关视觉设计2.五年以上工作经验，有严谨的设计习惯有扎实的美术基础3.有自己独有的审美能力4.具有知名品牌相关设计经历岗位需求：1.本科及以上学历，美术等相关专业，有设计方面工作经验优先考虑2.有较强的审美设计能力，熟悉VIS设计，有良好的创意理念和系统的把控能力、精通画册设、网页美工、导视系统设计、广告物流材质制作。3.精通Photoshop、illustrator、CoreIDRAW等设计工具4.良好的沟通能力和团队协作能力、有责任心、能认真完成每一项工作5.有独立完成的品牌设计案例（应聘时请携带相关作品源文件）6.富有创造力和激情、对前沿设计有灵敏的触觉和领悟能力，期望在设计方面取得更高的造诣，并为提高项目设计发挥推动作用福利待遇：做五休二、五险一金、年底双薪,"电商,物联网",15-50人,美工,无锡
运营新媒体主管,https://www.lagou.com/jobs/6728401.html,梁溪区,6k-10k,江苏英明物业集团有限公司,3-5年,大专,新媒体,岗位职责：1、负责公司微信公众号的运营策略的制定及执行；2、负责微信公众号等日常内容管理、文案编辑、专题策划与推广;　　3、通过数据有效分析社会化媒体推广效果，并提出建设性改进意见;　　4、策划并执行相关线上和线下的推广活动，通过有效运营手段提升关注度，达成营销目标;　　5、组建团队并带领团队有计划性完成专题策划、编辑制作。任职要求：1、有2年以上的微信公众号运营推广策划经验及成功案例;2、全日制大专以上学历，营销、策划、传播等相关专业优先;3、有平台搭建经验者优先；3、具有出色的表达写作能力，沟通协作、组织、协调能力，项目管理、推动能力及良好的职业素养、服务意识和团队精神;4、良好的数据分析能力，并将分析结果应用到日常活动上，熟练使用office、xmind等工具软件;5、对新媒体环境富有热情及敏锐度；较强的市场分析、营销策划能力，能独立策划跟踪活动项目;6、会美工者优先录用。薪酬福利：面议,其他,150-500人,美工,无锡
