job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
php开发工程师,https://www.lagou.com/jobs/7148740.html,昆山市,10k-18k,昆山微远信息技术有限公司,3-5年,大专,年终奖 旅游 2次加薪 五险一金,"工作内容:1、负责公司网站程序开发工作；2、负责公司站功能改进、代码优化、网络安全及系统的维护；3、负责基础组件开发、代码库整理及优化；4、参与相关产品需求讨论与产品系统架构的设计和优化工作.任职资格: 1、2年及以上相关工作经验1、精通PHP编程开发语言、熟悉MySQL数据库、熟悉Linux操作系统框架和技术；2、深入理解BS/PHP架构、MVC设计模式，大型PHP架构设计和开发经验，PHP缓存技术，静态化设计方面的经验；精通PHP主流框架（Lavarel、ThinkPHP、Yii、CodeIgniter），熟悉Swoole/workerman的使用；2、掌握redis,memcache，熟悉网站构架和性能优化，rebbitMq,kafka等队列服务；3、熟练使用Git、svn等代码版本控制工具；对MySQL有十分深入的认识，具有索引优化、查询优化和存储优化经验、熟练掌握关系数据库理论；4、具有高负载网站的开发、PHP代码框架.","游戏,其他",150-500人,php,苏州
php开发工程师,https://www.lagou.com/jobs/6855264.html,虎丘区,7k-13k,憨妈妈网络科技（苏州）有限公司,1-3年,大专,具有很强的挑战性、创业性企业、潜力无限,"参与相关业务逻辑后端架构设计、核心代码的编写及后端服务程序的研发和编写；
 独立完成完整功能测试和发布，准备相关的技术文档，协助解决各种技术问题；
 参与接口开发性能、安全、扩展等优化的设计和实现；
 参与工作相关技术的研究，提升团队技术水平，配合上级领导完成系统架构的改进工作。
 参与产品初期的需求定义，并给出必要的意见
 根据*终的产品需求，完成设计方案，前台后台的开发和维护；
 基于框架开发服务器端各功能模块，定期代码审查。
 进行自测，保障代码的完整性和稳定性；
任职要求：
 计算机及相关专业本科以上学历
 精通LNMP开发，熟练使用phalcon/CI/Laravel/Symfony/Yii等一种主流PHP框架，至少阅读过一种框架的源码；
 熟悉Mysql，掌握Mysql分表、分区、集群等相关设计方案，熟悉SQL和索引优化；熟悉elasticsearch等索引服务使用；
 熟悉Redis/Memcached/Mongodb等常用nosql解决方案，熟练使用Redis和Memcached；
 熟悉nginx、php优化，参与过架构设计者优先，有大数据处理经验优先；
 良好的编码和文档习惯，注重代码风格，熟悉各种设计模式和原则，能持续的关注和优化自己做的项目；
 有良好的沟通能力和理解能力，有良好的学习能力和强烈的进取心。
 有较强的团队合作精神，责任感强，主动性强；
 加分项：1.有php多线程经验优先2.熟悉前端开发优先；","电商,企业服务",15-50人,php,苏州
PHP开发工程师（苏州）,https://www.lagou.com/jobs/6398804.html,姑苏区,8k-12k,天津市基理科技股份有限公司,1-3年,本科,弹性工时 导师计划 晋升完善,"岗位职责：1、负责互联网物联网结合的实验室管理平台开发，高校大型仪器设备共享管理平台、试剂耗材电商平台开发（www.geneegroup.com)；2、负责Server端程序开发、数据库结构设计和搭建；3、参与关键技术难点攻克；4、对代码质量负责，参与实现正确、高效、稳定的应用；职位要求：1、热爱编程，掌握前沿编程技术；2、熟练掌握Linux的基本操作、具备丰富的Linux下开发经验，熟悉shell等语言；3、精通PHP，懂得使用Composer进行有效的项目管理, 熟悉至少一种框架应用，同时精通另一门语言的优先考虑(前后端不限)；4、熟练掌握Nginx、MySQL、Redis的搭建、配置、运维，有高并发系统设计和开发经验者优先；5、有和非开发人员进行沟通协作的能力，具备较强的学习能力、分析和解决问题的能力;6、理性对待任何技术决定，能够通过量化和客观的数据对不合理问题进行反驳并提出改进方案；7、有持续集成经验者优先；8、有GitHub开发经验者优先；9、有DevOps相关经验者优先。","电商,企业服务",150-500人,php,苏州
中级PHP开发工程师（苏州）,https://www.lagou.com/jobs/6607392.html,姑苏区,10k-18k,天津市基理科技股份有限公司,1-3年,大专,技术核心 稳定性好 团队素质高,"岗位职责：1、负责互联网物联网结合的实验室管理平台开发，高校大型仪器设备共享管理平台、试剂耗材电商平台开发（www.geneegroup.com)；2、负责Server端程序开发、数据库结构设计和搭建；3、参与关键技术难点攻克；4、对代码质量负责，参与实现正确、高效、稳定的应用；职位要求：1、热爱编程，掌握前沿编程技术；2、熟练掌握Linux的基本操作、具备丰富的Linux下开发经验，熟悉shell等语言；3、精通PHP，懂得使用Composer进行有效的项目管理, 熟悉至少一种框架应用，同时精通另一门语言的优先考虑(前后端不限)；4、熟练掌握Nginx、MySQL、Redis的搭建、配置、运维，有高并发系统设计和开发经验者优先；5、有和非开发人员进行沟通协作的能力，具备较强的学习能力、分析和解决问题的能力;6、理性对待任何技术决定，能够通过量化和客观的数据对不合理问题进行反驳并提出改进方案；7、有持续集成经验者优先；8、有GitHub开发经验者优先；9、有DevOps相关经验者优先。","电商,企业服务",150-500人,php,苏州
PHP程序员,https://www.lagou.com/jobs/3714007.html,常熟市,7k-10k,常熟市零距离网络技术有限公司,1-3年,大专,"主管人好,美女多,项目丰富,团队有活力",岗位描述： 1、开发、整合及升级网站，数据库优化，网站负载、体验优化； 2、技术团队管理；项目策划和执行岗位要求： 1、熟悉PHP开发语言，具有大型Web系统开发经验 2、熟练掌握Mysql数据库，SQL脚本编号熟练 3、熟练掌握Linux，Shell，LAMP，LNMP配置和优化 4、具有php+mysql数据库开发经验者优先我们除了为优秀员工提供行业内非常具有竞争力的薪资外，另外还提供： ☆法定节假+双休 ☆工作餐 ☆年终双薪（13薪） ☆年终奖 ☆五险一金 ☆节假日福利 ☆婚育礼金 ☆更多发展空间,"电商,消费生活",50-150人,php,苏州
初级php工程师,https://www.lagou.com/jobs/7164729.html,工业园区,3k-6k,苏州滴答软件科技有限公司,1年以下,本科,"php,软件开发,互联网",php开发工程师 岗位职责： 1、参与PHP程序开发；  2、参与微信公众号、小程序开发； 3、参与前端页面开发。     任职要求：  1、本科以上学历，计算机相关专业，优秀应届毕业生；  2、熟悉PHP语言，具备OOP编程思想，熟练使用MYSQL数据库；  3、熟悉MVC开发模式，使用过至少一个 MVC 模式的开源框架；  4、熟练掌握HTML/XHTML、CSS、JAVASCRIPT、HTTP协议等web系统相关技术；  5、良好的编程习惯，严谨的编码风格和较高的代码编写效率；  6、有网站开发、微信公众平台应用开发经验者优先；  7、熟悉Linux系统优先；  8、熟悉软件项目研发流程规范，有良好的团队合作能力，善于沟通，热爱开发事业； 9、公司会帮助新入职的员工快速成长,"移动互联网,电商",少于15人,php,苏州
php开发工程师,https://www.lagou.com/jobs/7113150.html,工业园区,6k-10k,苏州简拔林网络科技有限公司,1-3年,大专,双休,岗位职责：1.根据产品需求、系统需求，完成分析、设计、开发、部署与优化；2.按照项目计划，按时提交高质量的代码，完成开发任务；3.根据业务变化，不断改善产品的系统架构设计，保证系统的性能、稳定性及可靠性； 岗位要求：1.专科及以上学历，对研发流程有基本的实践；2年及以上PHP开发经验；2.熟练应用HTML/CSS/JS等， 熟悉部分Vue.js框架优先；3.熟悉Mysql数据库，有服务端性能优化经验优先；4.熟悉主流PHP框架，例如YII、ThinkPHP等；5.有代码安全常识，能在代码编写过程中注重安全因素，及运行效率；6.学习能力强，思想活跃，勤奋敬业，善于沟通，具有团队合作精神。,电商,少于15人,php,苏州
php开发工程师,https://www.lagou.com/jobs/5464333.html,工业园区,10k-15k,欧瑞思丹网络技术（苏州）有限公司,3-5年,本科,扁平管理,"岗位职责：1,负责根据开发计划进行开发工作，并按时保质保量进行内部验收完成后提交产品部门验收；2,负责编写详细设计、技术实现等相关文档；3,负责生产系统支持，分析并解决系统bug，保障系统稳定运行；4,负责完成部门交办的其他工作。 任职要求：1. 精通 PHP 语言，3年或以上PHP开发经验；2. 熟练掌握Yii、Thinkphp等开源框架的使用，理解MVC各层的作用；3. 熟悉MySQL数据库开发及常用优化方法；4，具备较强的逻辑思维和学习能力；5，能与团队进行良好的沟通协作，具有一定的抗压能力；6，较强的逻辑分析问题和实际动手解决问题的能力；7，快速学习理解需求设计文档，考虑问题全面细致；8，善于学习新技术，根据实际情况应用到工作中；9，善于关注细节问题,沟通协作意识良好、自我管理能力强；10，具备高昂的工作激情和自我激励能力，适应较高压力和挑战的工作环境。",电商,50-150人,php,苏州
php开发工程师,https://www.lagou.com/jobs/7171615.html,工业园区,8k-16k,苏州振旺光电有限公司,3-5年,大专,五险一金 员工体检 国内国外旅游,职位描述：负责完成公司互联网相关业务系统的后端开发工作。岗位职责：1、负责公司现有 WEB 项目的维护；2、根据公司业务发展需求，完成新项目的需求分析、设计和开发；3、支持公司IT 类后端需求开发；4、领导交代的岗位其他相关工作。任职要求：1、3年及以上PHP 开发经验，计算机相关专业，本科及以上学历；2、参与3个及以上完整项目独立开发，有开源项目者优先；3、熟练使用 LNMP 技术栈及该环境的安装、配置、调优；4、熟练使用 PHP 各类框架，如Laravel、Swoole等，有微服务实践经验优先；5、较强学习能力和良好编码习惯，工作认真负责，注重团队合作和效率；6、无障碍阅读英语文档，钻研技术，能快速学习和应用。,"电商,消费生活",50-150人,php,苏州
php后端,https://www.lagou.com/jobs/6677473.html,工业园区,8k-12k,苏州超娱互动网络科技有限公司,1-3年,大专,公司平台发展好 团队氛围好 加班少,岗位职责：1. 负责服务端接口开发2. 负责内部运营支撑系统开发3. 编写程序代码、进行数据库的设计、对程序代码进行测试并建立和完善开发文档岗位要求：1. 2年以上相关开发经验，精通PHP的面向对象编程，熟悉主流PHP开发框架2. 熟练使用Javascript、Ajax以及CSS，有 jQuery、Bootstrap开发经验者优先3. 有扎实的SQL知识，熟练撑握MySQL数据库，编程过程中对数据库操作有性能优化考虑4. 具有良好的学习能力、沟通能力和合作精神，主动积极有责任感，能承担工作压力，具有一定的攻坚能力5. 有大型运营系统开发经验者优先6. 有python开发经验者优先。,游戏,15-50人,php,苏州
PHP开发工程师,https://www.lagou.com/jobs/5251540.html,工业园区,6k-10k,苏州空谷网络科技有限公司,1-3年,本科,"晋升空间,学习挑战,高绩效薪酬,弹性工作","1. 熟悉WEB开发相关技术，如熟悉DIV+CSS、HTML、JQuery、AJAX、Xml等知识；2. 基于公司PHPCMS后台，完成功能型网站/电商/微信/小程序/APP项目开发；3. 负责PHPCMS模块的升级开发工作;4. 与同事配合完成项目上线工作；5. 其他软件系统/移动端项目开发。6. 负责领导交待的其他事项职位要求1. 本科及以上学历，理工科相关专业毕业，有相关工作经验优先考虑；2. 精通PHP开发语言,精通thinkphp框架，精通mysql数据库；3. 了解css、div+css、jquery、ajax；4. 了解Linux、WDCP、FTP、域名解析、空间、IIS/Apache服务器信息；5. 有强烈的事业心、责任心和积极的工作态度；","移动互联网,电商",15-50人,php,苏州
前端PHP/Java全栈工程师,https://www.lagou.com/jobs/6546602.html,工业园区,6k-12k,苏州空谷网络科技有限公司,不限,本科,"晋升空间,学习挑战,高绩效薪酬,弹性工作","一、岗位要求1、扎实的前端开发能力,熟悉HTML5/CSS3/响应式/WUI/多浏览器兼容性和前端框架如vue，angular等；2、扎实的后端开发能力，熟练运用php/node/java等；3、熟悉MySQL的设计，开发及优化，了解非关系型数据库如mongodb；4、了解Linux、宝塔、FTP、域名解析、Nginx/Caddy服务器信息；5、良好的沟通能力和团队协作精神，责任心强，对新技术有浓厚兴趣，愿在技术道路上发展；6、工作年限3年以上(或愿意学习）。二、主要岗位职责1、与设计团队配合，独立高效完成项目前端工作，能够真实还原视觉设计和实现良好的用户体验与新颖的交互方式；2、了解JAVA（spring cloud + mysql + redis + mq + es + mongodb）等后端脚本运行原理，完成前后端数据交互功能开发；3、完成功能型网站/电商/微信/小程序/APP项目开发；4、参与系统及相关产品架构、设计、开发，对模块功能开发、进度、质量负责；5、承担项目模块的设计/实现工作；6、负责项目性能优化和异常问题排查，协助各类异常处理；7、跟进工作领域中的新技术，解决平台产品开发相关难点问题；8、领导交代的其他事项。","移动互联网,电商",15-50人,php,苏州
