job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级WEB前端开发工程师,https://www.lagou.com/jobs/6892166.html,无锡新区,12k-17k,上海讯联数据服务有限公司,3-5年,本科,晋升，14薪+年终奖+项目奖,岗位职责：    1、负责公司产品前端页面的功能设计与实现，包括管理系统和H5页面；    2、使用 HTML5、CSS3、JavaScript(ES6)、Angular、Vue等 Web 技术开发 PC/Mobile端应用；    3、结合项目需求，分析并给出最优的前端技术方案，与团队成员紧密合作，实现页面动效与用户体验优化；    4、带领开发团队，配合 PM 与产品经理，完成项目需求分析、团队任务分配、技术难题攻坚等相关任务。    岗位要求：    1、掌握项目开发流程，精通HTML、CSS布局，网页标准、HTML5/CSS3规范；    2、深入理解JavaScript执行原理，对前端前沿技术有一定的了解和总结；    3、了解 Git、SVN 或类似工作流程；    4、精通至少一门Web数据驱动框架，如Angular、Vue、React等；    5、高效和高质地完成代码编写，完成Code Review并确保代码符合前端规范；    6、能够带领团队，帮助新人快速成长。,金融,150-500人,web,无锡
"软件开发工程师（WEB后端，JAVA,Go语言）",https://www.lagou.com/jobs/6891806.html,无锡新区,7k-12k,上海讯联数据服务有限公司,1-3年,本科,晋升，14薪+年终奖+项目奖,岗位职责：1、负责服务端系统的开发和维护工作；2、对现有系统进行持续改进和优化。岗位要求：1、至少掌握 Golang、Java 等任意一种编程语言；2、掌握 MySQL 或 MongoDB 数据库的基本使用；3、熟悉 Linux 常用命令；4、了解 Git、SVN 或类似工作流程；5、注重代码质量与文档质量；6、有较强的团队协作意识，具备良好的沟通、表达能力，能抗压，有责任心，学习能力强；7、985、211院校毕业优先。,金融,150-500人,web,无锡
WEB前端开发实习生,https://www.lagou.com/jobs/4032459.html,新吴区,3k-6k,江苏极熵物联科技有限公司,应届毕业生,硕士,"自由考勤,免费零食,免费旅游,免费体检",职责描述1.     根据产品需求，按时完成产品页面的开发与调试。2.     根据设计和产品意见改进页面交互与实现效果。3.     完成测试组提交的缺陷修改，配合运维上线。任职要求1.     接受硕士实习生，熟悉HTML、CSS、Javascript等前端技术。2.     熟悉W3C标准，有移动端开发经验，了解HTML5/CSS3及跨平台/浏览器兼容解决方案，了解前端构建及性能优化。3.     热爱程序设计，对IT行业充满激情。对产品和代码质量富有责任心。愿意与优秀IT人认真学习，提升自己。,"企业服务,数据服务",15-50人,web,无锡
web前端,https://www.lagou.com/jobs/6784458.html,梁溪区,10k-15k,江苏微语科技有限公司,5-10年,本科,股权激励 交通便利 前景广阔,"岗位职责：1、负责完成页面的制作，业务逻辑编写，持续优化前端体验并保证各浏览器兼容性；2、与后端开发工程师和设计人员密切配合，完成前端的开发工作；3、持续优化现有系统、线上问题排查修复；4、维护项目文档和手册，持续完善技术知识库；5、能独立工作，不需具体指导，自觉遵守软件工程规范和公司程序规范；6、有前后分离项目经验任职要求：1、6年以上前端开发工作经验；2、掌握Web前端标准规范，并熟悉前端优化；3  熟悉bootstrap,vue开发框架 ；4  熟练使用jquery。","移动互联网,广告营销",50-150人,web,无锡
web前端,https://www.lagou.com/jobs/7087873.html,新吴区,11k-14k,安谷科技股份有限公司,3-5年,本科,五险一金，做五休二，朝九晚六，加班少,1、 负责平台产品的前端页面（包括PC和移动端）的设计与开发；2、 与后端开发工程师配合，共同制定技术实现方案与接口，高质量高效率完成产品的数据交互、动态信息展现；3、 与产品、页面制作人员保持良好沟通，能快速理解、消化各方需求，并落实为具体的开发工作；4、 研究并实现产品性能的优化和提升用户体验； 招聘要求： 1、 计算机或相关专业本科以上学历；2、 3年以上前端开发工作经验，有过完整项目开发并有作品展示；3、 具备良好的前端架构分析能力与设计能力，积极参与前期设计；4、 精通Javascript、HTML5、CSS3、VUE、jQuery等前端技术；5、 熟练使用Vue.js框架，并有实际项目经验；6、 掌握HTTP及相关网络协议，熟悉跨终端、跨浏览器的开发模式和平台特性；,软件开发、信息安全,50-150人,web,无锡
web前端开发工程师,https://www.lagou.com/jobs/6739400.html,江阴市,8k-15k,江苏优胜信息技术有限公司,1-3年,本科,带薪年假 五险一金 节日福利 年终奖金,岗位职责：根据工作安排高效、高质地完成代码编写，确保符合规范的前端代码规范；负责公司项目的前端修改调试和开发工作，优化用户交互体验与设计团队紧密配合，能够实现设计师的设计想法；与后端开发团队紧密配合，确保代码有效对接，优化页面前端性能；能通过各类前端技术对页面进行**的优化，良好的前端代码习惯。岗位要求：全日制本科及以上学历，计算机、软件相关专业，前端岗位2年以上工作经验熟练掌握JavaScript，CSS等前端技术熟悉Vue及其相关生态，有过Vue项目的项目经历有前后端分离开发的经验有良好的沟通协作能力,"软件开发,数据服务",50-150人,web,无锡
Web前端开发工程师,https://www.lagou.com/jobs/5852861.html,滨湖区,8k-13k,北京山海础石信息技术有限公司,1-3年,本科,带薪休假 年底双薪 年度旅游,"职责描述：负责网络应用系统Web前端产品的设计和开发。任职要求：1、三年及以上前端开发工作经验；2、熟练掌握各种Web前端技术HTML5、XML、CSS等，有原生 JavaScript 开发水平和丰富经验；3、掌握JavaScript语言核心技术DOM、BOM、Ajax、JSON，了解各项技术的相关标准，有独立完成复杂前端JS框架的设计与实现的经验；4、熟悉模块化、前端编译和构建工具，熟练运用主流的移动端JS库和开发框架，并深入理解其设计原理，例如：AngularJS、avalon、jQuery、Bootstrap、RequireJS等；5、有基础美工基础优先，能够将UI设计转化为符合W3C规范的DIV+CSS静态页面，确保浏览器及平台的性能和兼容性；6、深刻理解W3C标准, 熟悉主流移动浏览器的技术特点, 熟练解决主流浏览器在web端不同版本的兼容性问题（IE、Chrome、Firefox等)； 7、对JavaScript性能、面向组件开发有成熟的解决方案，对前端加载流程和渲染有深入了解，善于使用前端的调试工具和自动化工具；8、具有良好的职业操守、沟通能力和团队合作精神，优秀的分析问题和解决问题的能力。","移动互联网,企业服务",15-50人,web,无锡
web前端工程师,https://www.lagou.com/jobs/5399590.html,滨湖区,6k-12k,无锡亦学云信息技术有限公司,1-3年,本科,弹性工资，契约合作,岗位职责： 1、负责主线产品App及web平台核心模块的开发和优化。 2、负责研究前端开发框架和开发模式，积累高效、稳定的前端组件库。 3、负责设计、制定和推进前端开发规范和标准。 任职要求： 1、对前端开发有全新的认识，热爱前端、拥抱新技术且乐于分享。 2、熟悉原生 javascript，熟悉前端MV*型框架， 有angularjs/vue.js技能项目经验优先。 3、深入理解W3C标准与ES规范，熟悉Web语义化，掌握盒模型、常用布局以及浏览器兼容性；熟悉DIV+CSS方式页面设计。 4、熟练使用Grunt/webpack，了解前端工程化，对项目进行持续集成，有App混合开发经验者优先。 5、具备良好的服务意识、责任心、较强的学习能力、优秀的团队沟通与协作能力。,移动互联网,少于15人,web,无锡
web前端工程师,https://www.lagou.com/jobs/6832130.html,滨湖区,8k-13k,上海安翰医疗技术有限公司,3-5年,本科,福利丰厚，年终奖1-3个月奖金,岗位职责：1、利用HTML/CSS/JavaScript等Web技术进行软件的开发；2、配合后台开发人员实现产品功能，独立完成Web前端开发任务；3、能够理解后端架构，与后端工程师配合，为项目提供最优化的技术解决方案；4、能够理解基础需求和UI设计并进行分析，设计出符合用户使用习惯的前端操作界面，优化前端用户操作。 职位要求：1、全日制本科及以上学历，计算机相关专业；2、2年以上Web前端开发经验，熟练掌握Angular、Vue、中的至少一种前端框架； 3、精通HTML、DHTML、CSS、能够在多浏览器环境下进行兼容性调试； 4、熟悉页面架构和布局，对表现与数据分离、Web语义化等有深刻理解，能编写符合W3C标准、兼容主流浏览器的代码； 5、至少了解一门服务器端语言，了解服务器和数据库相关知识； 6、有较强交互设计能力者优先；6、有良好的程序设计能力和逻辑分析能力，敢于接受挑战和承受工作能力，有较强的沟通能力和团队合作精神； 7、富有责任心，善于沟通、乐于分享、学习能力强、工作认真负责高效。,医疗丨健康,500-2000人,web,无锡
web前端工程师,https://www.lagou.com/jobs/4077487.html,滨湖区,6k-8k,无锡财优数据科技有限公司,不限,不限,"年底双薪,五险一金,技能培训",任职要求：1、能够熟练使用HTML5/CSS3/JS进行页面开发，精通VUE，Angular，ReactNative等前端框架中的至少一种；2、具有面向对象的编程思维，有大型商城类系统开发经验者优先；3、精通DIV+CSS网页布局，并且对模板化、模块化有一定理解；4、有小程序开发经验者优先；在github发布或参与过其他开源项目优先；在技术博客或者论坛中发表过文章优先；5、熟练使用代码管理管理工具，Git、SVN；6、对新技术有强烈的探索欲望，责任心强，善于团队合作，能够承受工作压力。岗位职责：1. 负责公司自主产品的研发；2. 参与公司平台级的产品设计与研发；* 请提供前端作品的网址,"移动互联网,数据服务",15-50人,web,无锡
