job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
IOS开发工程师,https://www.lagou.com/jobs/7216994.html,高新区,6k-10k,成都止观互娱科技有限公司,1-3年,本科,"多次调薪,团体健身卡,六险一金,婚育礼金",岗位职责：1、IOS游戏客户端的SDK接入、打包提审等工作；2、解决游戏开发过程中iOS系统上的特定问题；3、解决游戏客户端在IOS设备上的各种兼容和性能问题。任职要求：1、熟悉iOS开发的各种证书管理、SDK接入、打包、提交审核等各种日常事务；2、熟练使用Objective-C语言，熟悉XCode开发环境；3、具有游戏行业经验更优；4、学习能力强，严谨踏实，思维敏捷，善于分析和解决问题的能力；5、善于沟通，有独立处理问题的能力和精神；6、计算机相关专业，本科及以上学历，欢迎优秀2019/2020届毕业生投递。,"移动互联网,游戏",50-150人,ios,成都
iOS开发工程师,https://www.lagou.com/jobs/6021840.html,金牛区,7k-13k,成都骅光医疗器械有限公司,1-3年,不限,"成长培训,吃住全包,发展空间,职位升迁","工作职责 ·  熟练iOS架构,能独立完成ios项目开发； ·  具有Objective-C，swift编程经验，熟练使用XCode； ·  熟练运用iOS控件，精通UI布局； ·  熟悉Socket、HTTP、XML，UI、数据库、XML/JSON解析、多线程、网络编程 ·  熟悉数据库设计、SQL语言； ·  熟悉常用软件架构模式 ·  熟练编写规范的软件开发技术文档； ·  有App Store上架作品的开发经历，参与过完整的app开发及发布。基本要求 ·  熟练掌握Objective-C，Swift编程，熟练掌握 Cocoa Touch，多线程, runtime，网络，存储等的开发调试工作； ·  熟悉iOS SDK与相关开发、调试、优化工具； ·  对iOS的基础架构、组件、自定义组件、性能优化、内存优化等有深刻的理解，并且对iOS的新版本特性有一定程度的了解； ·  熟悉常用的软件架构和设计模式，掌握常用的数据结构和算法； ·  良好的代码⻛格和编码习惯； ·  良好的沟通能力，有团队合作精神和责任感； ·  良好的学习能力，能够快速掌握新技术，有主动性和上进心，能承担压力。加分项 ·  有较完整iOS项目的设计、开发、交付经验。","医疗丨健康,企业服务",500-2000人,ios,成都
iOS开发工程师,https://www.lagou.com/jobs/2627756.html,武侯区,9k-15k,成都顶呱呱投资集团有限公司,3-5年,大专,"双休,提供工作餐,产品线丰富,发展平台大","岗位职责：1．负责集团公司相关移动端APP的开发工作；2．改善软件易用性，优化产品性能，提升用户体验；3．参与集团公司移动端相关产品的设计思路研究，包含不限于平台网站、交易网站、OA办公系统、CRM、ERP、订单处理、外勤等系统；4．领导安排的其他工作。任职要求：1．3年以上IOS实际项目开发经验（不含实习）,要求有轨迹系统研发经验优先，对GPS、定位、lbs等熟悉2．熟练掌握Objective-C语言，熟练运用XCode等开发工具；3．熟悉各类UI控件，了解Cell重用机制、消息传递，了解设计模式，如KVO、单例等；4．熟悉常用算法和数据结构，熟悉网络编程、多线程/异步编程技术；5．熟练掌握IOS SDK相关技术开发及应用；能独立开发，至少有一款上线商业软件；6．熟练运用第三方组件，如支付、地图、推送、IM等等；7．具有优良的分析问题和解决问题的能力，对解决具有挑战性问题充满信心；8．优秀的执行力与自主性；加入我们，您将享受到：1、员工活动：公司每月组织丰富多彩的拓展活动，让同事间彼此增进联系，互帮互助。2、年度旅游：定期组织优秀员工年度旅游活动，让工作有意外惊喜，让生活更有乐趣。3、各项福利：公司提供免费工作餐、社会保险、节假日福利（礼品/礼金）、季度优秀员工抽奖（带薪假、旅游、3C产品），年假、员工俱乐部、爱心基金、部门活动经费，深入员工工作生活的方方面面4、透明晋升渠道：公司鼓励员工多方面发展，在工作中淬炼本职岗位技能，并用业余时间全面提升自我，技术中心产品线丰富，能够提供匹配员工职业发展的多种成长路线。5、培训：公司提供入职、在岗和晋升培训，全方位带领员工快速掌握工作要领。6、公司正处于快速发展阶段，只要您有能力，公司定会给与您升职的机会。7、公司办公环境轻松舒适，位于快速公交K2沿线，交通便捷。8、工作时间：8:30-17:30，周末双休，法定节假日休息。公司名称：成都顶呱呱投资集团有限公司-技术中心顶呱呱技术中心服务于本集团业务互联网化推广及企业内部信息化平台开发，非对外承接企业服务项目。公司主页：www.cddgg.com",金融,2000人以上,ios,成都
IOS开发工程师,https://www.lagou.com/jobs/6775114.html,高新区,8k-12k,北京聚通达科技股份有限公司,3-5年,本科,绩效奖金、定期体检、带薪年假、节日礼物,"岗位职责：1、负责公司微赢家部门项目的IOS客户端软件的开发工作；2、负责客户端产品的技术方案和框架设计，并参与服务端的相关设计；3、能根据项目需求独立、高质量、快速完成系统模块的设计和代码实现，快递定位并修复线上bug。任职要求：1、计算机相关专业，本科以上学历，2年以上ios开发工作经验，app store上有优秀作品者优先；2、Objective-C语言，熟悉扩展iPhone UI控件、iPhone事件机制；3、能熟练运用XCode，iOS-SDK等开发工具；4、良好的编程习惯，熟悉iOS App开发流程；5、掌握MAC或Unix系统工作机制，熟悉SQL语言，熟悉TCP/IP协议及网络编程；6、良好的英语阅读能力,能主动学习钻研与工作相关的知识和技术；7、有百度/高德地图相关开发经验,实现与地图交互和地图绘制者优先。","移动互联网,数据服务",150-500人,ios,成都
iOS高级开发工程师,https://www.lagou.com/jobs/7218252.html,高新区,15k-25k,成都品果科技有限公司,3-5年,本科,一线产品 扁平管理 双休 福利好,岗位职责：1、在iOS平台上开发/维护各种富有创意的影像产品；2、持续学习新技术，引入现有产品，改善产品体验并创造价值；任职要求:1、3年以上iOS开发经验；2、计算机相关专业，本科以上学历，能熟练阅读英文文档资料；3、熟悉Objective-C，Swift、C++，熟悉常用数据结构和算法；4、深入理解Runtime、熟悉Cocoa Touch；5、对多线程编程，内存管理、性能优化有一定经验；6、深入理解面向对象编程思想和设计模式，优秀的编码习惯；7、熟悉Git，Cocoapods等，有大型iOS应用的研发经验；8、对工作有热情，勇于挑战，具备良好的沟通能力和团队合作精神。加分项：1、熟悉敏捷及迭代式开发；2、熟悉Metal，OpenGL，图像处理；3、善于沟通，解决问题能力强；4、热爱学习，参与开源项目或有自己的Github、技术博客。,移动互联网,150-500人,ios,成都
ios开发工程师,https://www.lagou.com/jobs/7083413.html,高新区,12k-16k,成都品果科技有限公司,3-5年,本科,五险一金、周末双休、生日福利,岗位描述：1、在iOS平台上开发/维护各种富有创意的影像产品；2、持续学习新技术，引入现有产品，改善产品体验并创造价值；岗位要求:1、计算机专业本科以上学历；2、对OOP，多线程编程，内存管理等有丰富的经验；3、熟悉Swift，git，cocoapods，carthage等，有大型IOS应用的研发经验；4、对工作有热情，敢于挑战，具备良好的沟通能力和团队合作精神。加分项：1、熟悉敏捷及迭代式开发；2、熟悉C/C++；3、摄影或PS爱好者；4、热爱学习，参与开源项目或有自己的blogios开发工程师；,移动互联网,150-500人,ios,成都
ios开发工程师,https://www.lagou.com/jobs/6312925.html,高新区,13k-18k,北京世联互动网络有限公司成都分公司,3-5年,本科,"上市公司,福利完善,出国机会,外企文化","【工作职责】：• 负责Mac Drive Mount盘维护（Swift）；• 负责Mac Drive Hybrid开发（Objective-C）；• 进行性能分析和优化，修改测试过程中发现的问题。 【岗位要求】• 计算机或相关专业本科以上学历，2年以上的Objective-C和Swift开发经验；• 良好的 Objective-C, C/C++ 编程能力和程序调试技巧，扎实的数据结构和算法基础，熟悉Swift；有丰富的多线程，网络开发经验；具备良好的学习能力和独立分析解决问题能力。有下列研发经验者优先:- 有同步盘，网盘，Mount磁盘等云同步软件开发经验- 熟悉文件系统底层，有文件系统驱动或者扩展程序开发经验","移动互联网,社交",2000人以上,ios,成都
ios开发工程师,https://www.lagou.com/jobs/6999761.html,高新区,10k-15k,中电万维信息技术有限责任公司,1-3年,不限,年底双薪 绩效奖金 交通补助 餐补,1、本科及以上学历，计算机科学、软件工程等相关专业，有1年及以上iOS开发经验；2、能够根据业务需求独立完成相应的开发及优化，掌握证书的申请，应用打包以及发布流程；3、能够独立完成功能模块的代码重构，根据IOS系统特性完成相应的适配，能够使用Analyze静态分析工具，进行项目调优；4、掌握异步、同步、串行队列、并行队列的实现原理，掌握GCD执行步骤，掌握延时执行、一次性代码、快速遍历等基础方法；5、能够熟练使用AFNetworking网络框架，能够编码实现文件上传、下载的工具类，能够对第三方网络框架进行优化和二次封装者优先；6、掌握沙盒存储原理，掌握文件、Plist、NSUserDefaults数据存储的使用，熟悉SQLite数据库增删改查常用操作，熟练使用FMDB者优先；7、熟练运用MVC架构模式进行开发，编写简单的可复用的UI组件，具有GitHub开源组件者优先；8、掌握YYKit、Masonry、MJ系列等主流开源框架的使用，能够独立使用CocoaPods进行依赖引用；9、掌握SVN、Git等源码管理工具的使用方法，能够协同团队成员完成项目开发工作。,软件开发,500-2000人,ios,成都
IOS开发工程师,https://www.lagou.com/jobs/6692443.html,青羊区,8k-12k,诺亚生活科技（北京）有限公司,1-3年,本科,一年14薪，试用期全薪，全额五险一金,职位优势：一年14薪、试用期全薪、全额五险一金、免费零食饮料、饭补包餐、年度旅游、年度免费体检、年度加薪、完善培训制度、生日礼物、下午茶.....职位描述：1、负责游戏系统IOS平台下的访客SDK开发、优化、维护；  2、按照项目计划，按时提交高质量的代码，完成开发任务；  3、规范文档的编写、维护以及其他与项目相关的工作。  岗位要求：  1、能熟练使用IOS的官方框架javaScriptCore，做JS和Native的交互，熟练掌握HTML5，JS相关技术；  2、熟悉Objective-c语言开发，熟悉CocoaTouch框架和iOS SDK底层实现机制，熟练使用XCode、InterfaceBuilder、Instruments等开发工具；  3、扎实的计算机网络基础，具有丰富的网络编程经验，熟悉TCP/UDP/HTTP(S)/Websocket等常用协议；  4、计算机相关专业学历，一年及以上IOS平台开发经验；能够熟练阅读英文文档，擅于学习新的技能；  5、熟练运用面向对象设计方法进行接口、模块设计，具有SDK相关经验者优先；  6、同时掌握IOS/Android开发者优先。,"移动互联网,广告营销",50-150人,ios,成都
高级iOS开发工程师,https://www.lagou.com/jobs/7075250.html,武侯区,15k-25k,四川迅游网络科技股份有限公司,5-10年,本科,六险一金，餐补，带薪年假，年度体检,【岗位说明】 1、负责iOS网络应用开发与维护； 2、根据产品需求，独立完成所负责的功能模块，编写高质量的代码； 3、持续从技术角度优化产品的技术架构，提升产品的稳定性、兼容性，从而提升产品的易用性； 4、负责分析解决项目中反馈的问题； 5、公司指定的其他任务  【任职资格】 1、本科及以上学历，计算机相关专业优先； 2、5年以上iOS网络应用开发相关经验，熟练使用tun2socks，Shadowsocks等项目，熟练使用常见的网络分析工具； 3、熟悉Ios Framework，熟练使用常用的Ios开源组件，熟悉UI开发，或者跨平台开发语言和工具的使用； 4、具备良好的分析解决问题能力，能独立承担任务； 5、责任心、执行力和沟通能力强；,移动互联网,150-500人,ios,成都
