job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
iOS高级开发工程师,https://www.lagou.com/jobs/7074803.html,高新区,10k-20k,河南国超电子商务有限公司,5-10年,本科,晋升，好玩，成就感,岗位职责：1、主要负责iOS应用程序的框架设计、开发工作；2、基于公司的产品设计，根据产品策划提出的需求，进行iOS版本应用的实现；3、与团队合作完成iOS软件开发、验证和和修正测试中发现的问题；4、对iOS平台开发技术进行研究，根据开发过程中的体验对产品提出改进建议。5. 做过大项目优先。任职资格：1、熟练使用Objective C语言，具备主流开源组件使用经验；2、精通Objective C开发，有良好的编程能力和代码风格；3、理解Objective C的ARC和MRC下的内存管理；4、熟练使用多线程进行并发、如NSThread、NSOperation、GCD；5、熟悉常用的IOS设计模式，如：代理（Delegate）、单例（Singleton）、MVC、MVP、MVVM、观察者、Target-action等模式；6、熟悉对一些第三方开源框架的使用，如AFNetworking、JSPatch、FMDB、MBProgressHUD、CocoaPods等，并理解内部工作原理；7、熟悉iOS中runtime，runloop，methodswizzling的工作原理；8、深入了解各个不同iOS版本的特性与差异，熟悉app性能优化；9、对性能优化，封装控件，代码重构有一定的心得；10、对前沿技术有一定的研究，并能够把好的技术应用到项目中。   联系电话：***********,"文娱丨内容,社交",50-150人,ios,郑州
ios开发工程师,https://www.lagou.com/jobs/6408229.html,郑东新区,6k-10k,河南恒品文化传播有限公司,3-5年,本科,"技术强,项目奖金，年终奖，生日福利","岗位职责：1、主要负责iOS应用程序的框架设计、开发工作；2、基于公司的产品设计，根据产品策划提出的需求，进行iOS版本应用的实现；3、与团队合作完成iOS软件开发、验证和和修正测试中发现的问题；4、对iOS平台开发技术进行研究，根据开发过程中的体验对产品提出改进建议。5、配合运营等其他部门,提供产品相关技术支持；任职资格：1、熟练使用Objective C语言，具备主流开源组件使用经验；2、精通Objective C开发，有良好的编程能力和代码风格；3、理解Objective C的ARC和MRC下的内存管理；4、有扎实的OC/C++语言基础；熟悉TCP、HTTP等网络协议，熟练使用sqlite数据库；5、熟悉常用的IOS设计模式，如：代理（Delegate）、单例（Singleton）、MVC、MVP、MVVM、观察者、Target-action等模式；6、熟悉对一些第三方开源框架的使用，如AFNetworking、FMDB、MBProgressHUD、CocoaPods等，并理解内部工作原理；7、熟悉iOS中runtime，runloop，methodswizzling的工作原理；8、深入了解各个不同iOS版本的特性与差异，熟悉app性能优化；9、对性能优化，封装控件，代码重构有一定的心得；10、熟悉iOS上常用方法、开源库、调优，如：iOS上内存，异步网络请求，H5页面等调试和优化；11、对前沿技术有一定的研究，并能够把好的技术应用到项目中。","文娱丨内容,移动互联网",50-150人,ios,郑州
ios开发工程师,https://www.lagou.com/jobs/6846368.html,高新区,5k-8k,锅圈供应链（上海）有限公司,3-5年,本科,福利好，晋升快，发展空间大,岗位职责：1、负责互联网部门iOS客户端的研发和产品维护工作;2、参与标准的讨论和设计，并根据需求，开发对应功能；3、跟进最新的iOS版本和新技术；4、能够快速完成高质量的代码，注重代码细节；5、思路清晰，具备良好的沟通能力和理解能力6、热爱设计编写程序，对IT行业充满激情，有独立的用代码解决问题的能力岗位要求：1. 计算机相关专业本科及以上学历，3年以上相关工作经验2. 精通常用数据结构与算法，具备扎实的C/C++、Objective C编程基础3. 精通多线程开发，理解OC Runtime运行机制，悉常用的IOS设计模式，如：代理（Delegate）、单例（Singleton）、MVC、MVP、MVVM、观察者、Target-action等模式；4. 熟悉iOS底层原理，有一定的性能调优经验，熟悉常用性能调试工具，理解iOS系统架构和安全机制，以及OC内存管理机制；5.熟悉常用第三方框架，如AFNetworking、SDWebimage、FMDB、MBProgressHUD、CocoaPods等；6. 熟悉自定义控件的编写7. 有商城类APP编写经验的优先8. 具有较强的应用程序架构能力和有良好的编程习惯，能够编写规范、易于维护、高效的代码;9. 具备高度 责任心，工作态度认真，严谨踏实，积极主动，具有良好的语言表达和沟通能力，有良好的团队合作精神。,不限,500-2000人,ios,郑州
ios开发工程师,https://www.lagou.com/jobs/7209536.html,中原区,6k-8k,深圳蝶变智慧医用技术有限公司,1-3年,大专,缴纳五险、带薪休假、双休,岗位职责:　　1、根据产品需求进行iOS端的产品开发，撰写相关的技术开发文档。　　2、独立完成iOS开发工作，协助开发测试，满足开发质量及进度要求。　　3、优化iOS产品流程模块、代码性能，管理及上架发布iOS应用程序。　　4、配合优化APP与服务器后端的数据接口，优化iOS SDK封装模块。　　5、解决研发过程中的关键需求、产品迭代优化问题及技术难题。　　6、良好的沟通协作意识，积极向上的工作心态，共创共赢的团队精神。　　技能要求：IOS APP SDK OC Swift C/C++ TCP/UDP SQL　　1、专科以上计算机相关专业，3年以上iOS应用开发，可独立开发高性能的iOS应用。　　2、精通OC、Swift、Xcode等开发语言及工具，有扎实的C/C++编程功底，有封装SDK开发经验。　　3、熟悉iOS开发框架及主流OC开源控件，掌握iOS系统多线程机制、事件响应机制、消息传递机制、OC内存管理方式。　　4、精通iPhone/iPad界面和交互开发，熟悉iOS平台下的GUI设计实现，有丰富的UI开发经验。　　5、熟悉JSON/XML、HTTP、TCP/IP协议，有网络通信、多媒体、数据库开发经验，精通delegate、block、通知、推送等。　　6、有商业iOS软件开发经历，已在App Store发布过产品者，或有短视频、第三方支付应用开发经验者优先。,"医疗丨健康,软件开发",50-150人,ios,郑州
IOS开发工程师,https://www.lagou.com/jobs/6774758.html,金水区,15k-25k,郑州飞趣文化传媒有限公司,3-5年,不限,如果你够优秀，可以给公司股份。,能独立完成项目，有较强的逻辑，有对编程的兴趣和爱好。1 一年内独立完成上架过项目2 一年内独立更新迭代过项目3 有良好的代码写作风格4 有较强的适应能力，抗压能力5 对事物有独到的见解！6 有很好的团队协作！公司福利 1 五险一金公司全包2 一年外出旅游一次国内国外国外3 生日惊喜备注：为了不浪费彼此时间，前期可以先兼职合作1-2个项目（不白干，不会让你白忙活，我们前期提供对接文档，和ui图，项目并不复杂，完成项目我们会按4k一个进行收包），在双方都有一个基础的了解，然后我们详谈入职事宜！,移动互联网,15-50人,ios,郑州
IOS开发工程师,https://www.lagou.com/jobs/6953524.html,金水区,8k-9k,郑州共创教育科技有限公司,3-5年,本科,提供食宿，单休，话补，出差补助,"岗位要求：* 熟练掌握 Objective-C 或 Swift 编程语言，熟练使用 Cocoa 框架* 掌握基本设计模式、数据结构和算法* 掌握内存管理、多线程技术、Core Data 和 GCD* 能够独立承担或参与产品的需求分析和设计* 心怀技术理想，对技术有执着追求优先条件：* 掌握 TCP/IP 网络基本原理，熟悉 HTTP 应用层协议* 拥有在 macOS 或 iOS 平台下的 APP 开发经验* 熟悉 macOS 底层系统接口* 熟悉 Core Animation, Core Graphics 等框架* 熟悉 Swift 语言，有 Objective-C/Swift 混合编程经验* 喜欢参与产品设计，对界面视觉和交互体验有较高的追求",教育,15-50人,ios,郑州
iOS开发工程师,https://www.lagou.com/jobs/3668317.html,郑东新区,5k-8k,郑州秒赞网络科技有限公司,1-3年,不限,"五险一金,加班补助,全勤奖金,餐补","1、独立完成过iPhone软件的设计和开发工作；2、精通面向对象程序设计思想，具有较强的学习能力及排除bug能力；3、熟悉网络编程，了解json，xml等数据协议4、熟悉ObjectiveC，熟练阅读iOS技术资料；5、在用户界面设计,用户体验方面经验丰富；6、具备良好的团队工作精神，有较强的快速学习能力，独立分析解决问题的能力，较强逻辑思维能力和表达能力；7、熟悉iPhone界面开发规范以及AppStore上架流程和规则，有AppStore线上作品者优先；",移动互联网,15-50人,ios,郑州
IOS开发工程师,https://www.lagou.com/jobs/6745787.html,二七区,8k-15k,上海哔咚科技有限公司,3-5年,大专,弹性工作制，工作氛围轻松,"岗位要求1. 具有3年以上iOS平台开发经验、有完整的项目经验，有从事过电商、社交等产品相关经验优先 2. 精通Objective-C/swift编程技能；3. 熟悉iOS应用开发框架，能独立开发高性能的iOS应用4.  精通常用软件架构模式，熟悉各种算法与数据结构，多线程，网络编程（Socket，HTTP/Webservice）等；5. 在用户界面设计, 用户体验方面经验丰富；6、具备良好的团队工作精神，有较强的快速学习能力，独立分析解决问题的能力，较强逻辑思维能力和表达能力；7、工作积极主动，良好的责任感和严谨工作作风，对移动产品有浓厚兴趣；8、熟悉iPhone界面开发规范以及App Store上架流程和规则，有AppStore线上作品者优先；9、熟练使用svn/git等版本管理工具","电商,移动互联网",15-50人,ios,郑州
ios开发工程师,https://www.lagou.com/jobs/6613118.html,中原区,6k-12k,顽石运动智能科技（北京）有限公司,1-3年,本科,弹性工时 发展前景 扁平化管理,岗位职责：1、主要负责 ios应用程序的设计、开发工作；2、基于公司的产品设计，根据需求，进行ios版本应用的实现；3、独立完成ios软件开发、测试中发现的问题；4、对ios平台开发技术进行研究，根据开发过程中的体验对产品提出改进建议；5、负责提交app审核流程，了解产品关键词，能够根据用户反馈，持续进行产品优化；6、配合部门经理，参与IOS应用架构的设计和规范化工作。职位要求：1、相关工作经验二年以上，本科学历以上。2、熟悉IOS相关框架，熟练使用Object-C开发语言、XCode、Interface Builder等开发工具，至少开发过一款IOS产品；3、熟悉iPhone/iPad开发技术，包括UI、多线程、Socket网络通信等方面；4、熟悉iPhone SDK，和地图类SDK开发经验及H5嵌入，包括统计类展示；5、做过离线缓存开发、图片水纹加密和大容量附件批次上传的项目经验；6、有AppStore 线上作品者和物联网相关APP开发经验的优先， 有关于Core ML 或ARKit开发经验的优先； 7、工作严谨认真，能承受工作压力和适度加班；具良好的敬业精神、沟通能力和团队合作精神。,"硬件,移动互联网",15-50人,ios,郑州
移动端资深产品经理,https://www.lagou.com/jobs/6828654.html,中原区,15k-20k,安徽省刀锋网络科技有限公司,5-10年,本科,五险一金+双休+年终奖+丰富福利,岗位职责1. 负责移动端产品（包括Android，iOS）整体架构设计、业务研发。有跨平台研发能力，能整体思考移动端框架对业务的支持; 2. 负责用户规模增长，用新颖、有效的玩法，吸引用户参与； 3. 了解用户的特征，能通过用户调研和数据挖掘深度洞察用户需求，并制定相应的产品方案 ； 4. 把握产品走向，参与制定产品竞品分析和市场分析； 5. 负责各部门之间沟通负责，资源协调，把握进度，推进产品迭代优化工作； 6. 负责用户行为分析，用户调研，收集产品优化建议。 任职要求1. 本科及以上学历。计算机、视觉设计相关专业优先。 2. 5年以上产品工作经验，内容、社交相关经验优先考虑。 3. 具有强烈好奇心，对用户增长感兴趣，享受产品成功和数据指标提升带来的成就感； 4. 思路清晰，较强的表达能力，敏锐的分析能力，良好的跨部门沟通和项目协调能力，善于协调资源推动项目进展 5. 有一定沟通和协调能力，做事认真仔细，有责任心，喜欢团队协作的工作形式。,"移动互联网,游戏",500-2000人,ios,郑州
