job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级数据库开发工程师(J11164),https://www.lagou.com/jobs/6866934.html,和平区,10k-15k,朗新科技股份有限公司,1-3年,本科,节日福利五险一金交通补助带薪年假弹性工作,,"移动互联网,企业服务",2000人以上,数据仓库,天津
数据库管理员dba,https://www.lagou.com/jobs/6386575.html,南开区,10k-20k,天津市神州商龙科技股份有限公司,1-3年,大专,福利待遇优厚,"1、负责线上MySQL/PostgreSQL和NoSQL集群的架设、管理、维护、备份、扩容等基础工作；2、实施可靠的监控手段，保障各个数据系统高可用，保障数据安全、合理分配权限、信息脱敏保护等；3、协助指导支持各产品线的数据库设计及开发，制定数据库技术方案，分库分表策略，数据迁移方案；4、分析数据库系统性能瓶颈，提出优化建议和方案；5、撰写数据库相关操作手册、维护技术文档等；对内部员工进行培训；DBA职位要求：1、计算机及相关专业本科以上学历，三年以上专职PostgreSQL DBA工作经验,有ORACLE DBA工作经验佳 ；2、责任心强，工作积极主动，做事认真细心，有良好的团队协作精神与沟通能力；3、熟悉PostgreSQL数据库的日常管理和维护，深入理解运维自动化；4、熟悉PostgreSQL可扩展性架构、复制、高可用性、备份等技术，有3年以上应用经验；5、熟悉PostgreSQL数据库基本原理以及SQL语言，熟练掌握SQL代码的优化；6．熟练掌握系统各种性能调优方法，具备一定的性能调优经验，具有Linux,AIX等操作系统使用及维护经验，掌握Python佳；7．在oracl、mysql上符合以上条件，对PostgreSQL数据库了解，感兴趣从事PostgreSQL数据库相关工作也可以参加面试","移动互联网,消费生活",500-2000人,数据仓库,天津
数据库运维工程师,https://www.lagou.com/jobs/6388766.html,南开区,7k-10k,天津市神州商龙科技股份有限公司,1-3年,大专,福利待遇优厚,"职位描述：1、负责线上MySQL/PostgreSQL和NoSQL集群的架设、管理、维护、备份、扩容等基础工作；2、实施可靠的监控手段，保障各个数据系统高可用，保障数据安全、合理分配权限、信息脱敏保护等；3、协助指导支持各产品线的数据库设计及开发，制定数据库技术方案，分库分表策略，数据迁移方案；4、分析数据库系统性能瓶颈，提出优化建议和方案；5、撰写数据库相关操作手册、维护技术文档等；对内部员工进行培训；DBA职位要求：1、计算机及相关专业本科以上学历，三年以上专职PostgreSQL DBA工作经验,有ORACLE DBA工作经验佳 ；2、责任心强，工作积极主动，做事认真细心，有良好的团队协作精神与沟通能力；3、熟悉PostgreSQL数据库的日常管理和维护，深入理解运维自动化；4、熟悉PostgreSQL可扩展性架构、复制、高可用性、备份等技术，有3年以上应用经验；5、熟悉PostgreSQL数据库基本原理以及SQL语言，熟练掌握SQL代码的优化；6．熟练掌握系统各种性能调优方法，具备一定的性能调优经验，具有Linux,AIX等操作系统使用及维护经验，掌握Python佳；7．在oracl、mysql上符合以上条件，对PostgreSQL数据库了解，感兴趣从事PostgreSQL数据库相关工作。","移动互联网,消费生活",500-2000人,数据仓库,天津
C/C++ 数据库开发工程师（内核）,https://www.lagou.com/jobs/3461953.html,西青区,10k-15k,北京人大金仓信息技术股份有限公司,不限,本科,"带薪年假,餐补,交通补助,六险一金",岗位职责：1、负责数据库产品内核的需求分析、系统设计、编码、单元测试、BUG修改等研发工作；2、负责为技术支持人员提供答疑和研发级的技术支持；任职资格：1、本科及以上学历，１年以上数据库内核研发经验；2、精通C/C++语言；3、精通Windows或Linux下系统核心编程（任一）；4、算法能力强，能够设计合理的算法对程序进行优化；5、逻辑思维能力强；6、熟悉研发项目过程，具有基本的项目管理能力；7、良好的沟通能力和技巧，和良好的文档编写能力；8、对工作充满热情，责任心强，能够承受压力；有良好的团队协作意识和能力。,数据服务,150-500人,数据仓库,天津
C/C++（数据库研发）,https://www.lagou.com/jobs/6763427.html,西青区,13k-25k,北京人大金仓信息技术股份有限公司,不限,本科,"带薪年假,餐补,交通补助,六险一金",岗位职责：1、负责数据库产品内核的需求分析、系统设计、编码、单元测试、BUG修改等研发工作；2、负责为技术支持人员提供答疑和研发级的技术支持；任职资格：1、本科及以上学历，１年以上数据库内核研发经验；2、精通C/C++语言；3、精通Windows或Linux下系统核心编程（任一）；4、算法能力强，能够设计合理的算法对程序进行优化；5、逻辑思维能力强；6、熟悉研发项目过程，具有基本的项目管理能力；7、良好的沟通能力和技巧，和良好的文档编写能力；8、对工作充满热情，责任心强，能够承受压力；有良好的团队协作意识和能力。,数据服务,150-500人,数据仓库,天津
数据库研发,https://www.lagou.com/jobs/6808516.html,东丽区,12k-24k,江西牛客科技有限责任公司,3-5年,本科,六险一金，稳定性强,— 负责数据库与操作系统交互部分相关研发与文档编写— 负责数据库的性能优化和稳定性提升— 负责参与数据库开源社区贡献◆学历：本科或者本科以上学历◆专业：计算机或相关专业◆专业知识：  — 精通操作系统、网络、数据库安全之中一种；  — 熟悉分布式系统的原理和架构设计，对高并发、高负载系统有过研究和设计经验。  — 至少熟练掌握C/C++/Go中的一种编程语言，精通常用的数据结构和算法◆经验：  — 3年以上系统开发/架构/，熟悉或使用过RDMA、DMA、UDP技术的优先,"移动互联网,电商",少于15人,数据仓库,天津
dba数据库管理员,https://www.lagou.com/jobs/6834798.html,河西区,9k-18k,中交智运有限公司,1-3年,不限,央企福利待遇，发展前景好，年底双薪,"岗位职责：1、负责数据库系统的设计、开发、优化、安全；2、负责业务系统数据库管理，包括数据库日常维护，系统数据安全以及权限管理、故障处理、日常错误情况处理等；3、负责数据库备份管理、监控备份情况，恢复策略方案的制定与实施；4、负责依据业务需求优化数据存储结构，负责数据库系统部署方案的计划、设计和实施；5、负责系统数据库定期检查，进行性能分析与调优，充分保证信息系统数据的安全及系统高效运行；6、负责数据库运维标准化、规范化，数据库规范化文档编写及管理；7、负责对开发人员和技术支持人员进行数据库管理、操作和优化的培训。任职要求：1、全日制本科及以上学历，计算机或相关专业，3年以上的数据库系统管理经验；2、精通一种或者多种数据库系统（Postgre SQL，MySQL）的运维与日常管理（备份恢复，错误分析，性能监控，升级维护，资源分配）；3、掌握所用数据库的体系架构和各种常用功能。4、有PostgreSQL高可用架构、主从同步过程、备份恢复经验者优先；5、对数据库技术有热情，乐于面对新的技术挑战，愿意尝试新的技术，有Postgre SQL管理经验优先；6、了解PostgreSQL事务处理机制和参数设置, 能够定位性能瓶颈并提出可行的优化方案；优先；7、有良好的数据库设计能力，熟悉互联网数据库系统的架构设计特点，有大型系统的设计开发经验优先；","移动互联网,物流丨运输",2000人以上,数据仓库,天津
高级交付工程师（数据库方向）,https://www.lagou.com/jobs/7133611.html,北辰区,10k-15k,天津市拓甫网络科技开发有限公司,3-5年,本科,五险一金、周末双休、年底双薪，年度体检，,"岗位职责：1.为客户提供各种数据库系统的技术服务；2.为客户提供数据系统使用的解决方案；3.为客户提供数据库系统的巡视巡检、备份、故障恢复、性能优化、应急保障和安全加固等服务内容的技术支持；4.负责数据库系统前沿技术研究，负责数据库自动化运维的解决方案设计.岗位技能：1.具有大型Oracle、SQLserver、mysql等数据库管理、维护经验；2.精通Oracle、SQL server等数据库的管理与性能优化；3.精通Oracle数据库管理，熟悉PL/SQL,能进行应用排错、调优、数据库结构设计、确保数据库运行的安全和稳定；4.精通Oracle RAC群集或同等专业数据库集群安装和运行维护，数据库复制技术，Dataguard技术，了解SAN架构存储技术；5.精通sql语句，能熟练编写、调试存储过程、函数、触发器，具备一定的sql语句优化经验；6.熟悉各类主机、存储和备份软件的原理和操作；7.有5年以上的DBA工作经验；8.有OCP、OCM或同等专业数据库认证证书。","移动互联网,信息安全",50-150人,数据仓库,天津
数据分析师-数据库方向,https://www.lagou.com/jobs/5156879.html,红桥区,8k-15k,北京字节跳动科技有限公司,3-5年,本科,六险一金，餐补，租房补贴，带薪休假,,文娱丨内容,2000人以上,数据仓库,天津
数据库工程师,https://www.lagou.com/jobs/6345211.html,武清区,15k-25k,玛雅六月新（天津）电子商务集团有限公司,不限,大专,五险一金，有双休,工作职责：1、主要从事BS结构的应用软件的开发；2、根据需求进行分析，并完成相应技术文档。3、独立完成项目经理所分配的软件开发任务，并与项目组其他成员紧密合作。任职资格：1、熟悉阿里云计算和大数据产品（如ODPS，ADS、BASE等），参与技术预研、选型与技术攻坚工作。 2、熟悉oracleMySQL数据库开发技术，精通SQL语言。 3、有较好的编程能力和编程经验，精通J2EE编程，对分布式中间件有一定的了解。 4、对大数据、云计算、开源软件、传统数据仓库类产品有一定的深度和广度。 5、熟悉数据仓库产品，熟悉数据仓库理论与维度建模，对大数据需求分析与处理有深刻认识和实战经验，如HadoopMapReduceHive，StormSpark，Impala，MPP等的数据应用开发。 6、较强的逻辑思维能力和良好的沟通能力，有团队协作精神，工作积极主动。7、有数据挖掘、分析模型与算法、数学建模项目经验者优先,电子商务,2000人以上,数据仓库,天津
