job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
IOS高级开发工程师,https://www.lagou.com/jobs/6592905.html,徐汇区,25k-50k,腾讯科技（深圳）有限公司,3-5年,本科,福利待遇/年终奖/职业发展,岗位职责：负责腾讯WeTest APM项目中客户端SDK设计、开发及疑难问题解决APM SDK游戏性能数据采集能力的探索，并积累沉淀手游性能优化经验持续优化SDK的质量，降低性能消耗，优化兼容性岗位要求：正规本科以上学历，电子、通信或计算机相关专业，2年以上IOS开发经验熟练使用C/C++和Java、Objective C、Swift中的至少一种开发语言完成开发工作熟悉IOS中的多线程开发，对Unity或UE4游戏引擎开发有一定了解熟悉TCP/UDP，熟悉Socket，熟悉常用协议protobuf等熟悉面向对象开发与常见设计模式有SDK开发经验者优先责任心强，良好的编码习惯和风格，代码严谨规范沟通能力好，学习能力强,社交,2000人以上,ios,上海
iOS开发,https://www.lagou.com/jobs/7162335.html,杨浦区,20k-35k,上海识装信息科技有限公司,3-5年,本科,独角兽、业务前景佳、技术氛围好,岗位职责：1.负责iOS功能设计、开发工作。2.参与需求评审和技术方案设计及实现。3.参与iOS技术优化和重构工作。4.技术攻坚工作。职位要求：1．4年以上工作经验，精通OC运行原理、机制，且至少2年Swift开发经验，理解Swift特性。2．扎实的计算机基础，了解数据结构和常见算法。3．丰富的UI开发经验，精研过动画效果。4．了解常用的设计模式，有架构和组件化经验。5．精通app性能优化者优先。6．深入研究AR相关技术的优先考虑。,"移动互联网,电商",500-2000人,ios,上海
ios工程师,https://www.lagou.com/jobs/7191262.html,浦东新区,12k-15k,上海碧驼信息科技有限公司,3-5年,大专,互联网软件,任职要求：（三年左右工作经验）1.负责基于iOS平台下的App开发以及文档编写工作；2.精通Java/Objective-C/Swift语言，能够熟练使用Eclipse/Xcode等开发工具；3.熟悉常用设计模式、注重代码的性能和重构；4.熟悉开发文档的编写、有良好文档编写能力者优先考虑；5.具有比较良好的沟通能力和协作能力，有热情，有创新精神； 岗位职责：1.基于IOS系统进行开发；2.负责IOS平台上手机应用软件的编码工作；3.协助产品经理进行应用及人机界面软件模块的设计和实现；4.完成于工作相关的技术文档编写工作；,软件开发,50-150人,ios,上海
ios开发工程师,https://www.lagou.com/jobs/6473911.html,浦东新区,13k-17k,上海海万信息科技股份有限公司,3-5年,大专,做五休二，交通便利，大牛团队,岗位职责：1. 负责IOS移动端产品开发和维护；2. 跟进IOS平台新技术，参与新技术学习、应用；3. 按照计划和需求，开展设计、编码和测试工作；4. 参与团队技术分享与团队协作。岗位要求：1. 3年IOS平台开发经验；2. 熟悉IOS开发流程、系统架构，熟练运用UI组件、Socket、多线程、Sqlite、WebView等编程技术；3. 熟悉React Native优先考虑；4. 有小程序、H5开发经验优先；5. 互联网、金融行业研发经验优先;6. 良好的沟通能力和团队协作精神，严谨的工作态度与高质量意识，良好的抗压能力。,"移动互联网,金融",500-2000人,ios,上海
ios开发工程师,https://www.lagou.com/jobs/5848579.html,浦东新区,10k-20k,新浪时金（上海）信息技术有限公司,1-3年,本科,"上市公司,团队氛围好,领导nice",岗位职责： 1. 根据产品需求，开发ios平台的移动产品，负责产品后续迭代版本开发，不断优化相关产品的质量、性能、用户体验； 2. 遵循产品开发流程，独立进行应用及人机界面软件模块的设计和实现； 3. 与相关人员配合共同完成手机应用软件的开发和单元测试工作； 4. 研究手机客户端领域的新技术并加以应用。 任职要求： 1、 本科及以上学历； 2、 1年以上iOS开发经验，独立完成过iOS软件的设计和开发； 3、 SDK开发或组件化开发经验； 4、 熟悉Xcode， UIKit，Cocoa Touch，Core Data，Core Graphics等基础框架；并能熟练使用调试和测试工具就行系统调优和测试； 5、 熟悉Objective-C、Swift语言，具备主流开源组件或框架的使用经验；有一定的C/C++基础； 有互联网金融App开发经验者优先。,金融,150-500人,ios,上海
IOS开发工程师,https://www.lagou.com/jobs/4235389.html,浦东新区,12k-18k,上海海万信息科技股份有限公司,3-5年,本科,"节日礼金,年底奖金,体检旅游,带薪年假",1、3年以上iOS相关工作经验，有JS和小程序经验优先2、扎实的Objective C基础，精通iOS界面编程，熟练掌握多线程、网络编程、内存优化3、计算机相关专业，良好的计算机基础4、良好的逻辑思维能力，善于分析解决具体问题5、良好的设计能力和编码风格6、工作认真负责，沟通能力强，具有良好的团队合作精神,"移动互联网,金融",500-2000人,ios,上海
高级iOS开发工程师,https://www.lagou.com/jobs/6767912.html,虹口区,15k-30k,通联数据股份公司,3-5年,本科,两餐补贴；交通补贴；通讯补贴；环境优越,岗位职责： 1、参与公司移动产品的研发工作，能够独立完成产品的编码和测试工作；2、参与产品需求分析和产品设计，从技术和数据角度提供产品解决方案；3、跟进新技术的探索研究，应用到实际产品开发中，不断迭代优化；4、深入实际进行产品体验和需求收集，快速响应迭代产品；5、团队内部技术分享。任职要求：1、重点院校全日制本科及以上学历，计算机或计算机相关专业优先；2、具有3年以上iOS开发经验，能够熟练掌握iOS应用开发框架；3、熟练掌握Objective-C 语言及思想，熟练掌握Objective-C内存管理机制；4、熟练掌握常用的第三方框架、代码项目管理工具等（AFN、git、cocoapods 等）；5、精通多线程开发，深入理解Objective-C Runtime运行机制，对iOS应用架构有一定的自己的见解和理解；6、熟练掌握iOS app的开发、测试、发布一系列的流程，能够参与需求、测试用例等文档的评审；7、具备良好的沟通能力和团队合作精神，有较强的自我驱动性和主动学习意识，工作踏实认真。,金融,500-2000人,ios,上海
ios高级开发工程师,https://www.lagou.com/jobs/7210950.html,长宁区,13k-26k,上海尉合信息技术有限公司,3-5年,本科,年轻团队，mac 电脑标配,"职位描述:1.承担iOS/Android移动端开发任务，独立完成功能模块的设计、开发以及单元测试2.负责移动端跨平台动态技术的实现和业务落地及保障3.负责业务需求的技术预研和技术难点攻关，相关技术方案设计和调研，保障端上业务可用性、稳定性、和可扩展性职位要求:1.三年以上Android或iOS移动端开发经验2.熟悉C/C++,Java,OC一种或多种语言3.积极乐观，责任心强，创新思维能力强，有良好的团队合作跟沟通能力4.熟悉Web标准以及JS引擎，浏览器技术5.接触过Flutter、Weex、ReactNative等大前端类渲染技术6.熟悉skia、OpenGL、vulkan等图形API为加分项7.熟悉编译器或者虚拟机为加分项8.了解Android, iOS 系统底层原理，根据业务及系统指定特定的性能优化解决方案","移动互联网,消费生活",50-150人,ios,上海
iOS开发工程师,https://www.lagou.com/jobs/4603509.html,浦东新区,20k-40k,上海倾听信息技术有限公司,3-5年,本科,"扁平管理,技术大牛,五险一金,福利多多","工作职责：1、负责公司移动产品的研发，编写高质量的代码；2、和产品经理配合,深度参与手机产品需求讨论，功能定义等；3、设计良好的代码结构，不断迭代重构。任职要求：1、良好的设计和编码品味，热爱写代码能产出高质量的设计和代码；2、计算机基础扎实，熟悉常见数据结构、算法和设计模式，熟悉TCP、HTTP、WebSocket等常见协议；3、熟练掌握Objective-C/Swift语言，熟练掌握Xcode等相关开发工具，熟悉iOS SDK；4、熟悉iPhone应用开发，熟悉iPhone平台应用软件的测试，有一年以上实际iPhone App开发经验；5、有知名开源作品、有音频相关经验的，有多端开发经验、阅读过知名开源库源码的优先；6、有良好的产品意识，学习能力强，执行力好，积极乐观，认真负责，乐于协作。",移动互联网,150-500人,ios,上海
ios开发工程师,https://www.lagou.com/jobs/6566906.html,浦东新区,12k-18k,遍享信息技术（上海）有限公司,1-3年,大专,五险一金，年终13薪等,1. 负责IOS客户端的软件程序开发与维护；2、参与产品需求分析评审及技术实施方案设计。编写设计开发及实现文档；3. 与产品经理、其他团队沟通合作，保证产品研发工作的质量和进度。4、负责对ios产品进行性能优化，及后续的持续升级维护工作；5、不断学习ios开发技术，跟踪技术发展方向，以满足产品的开发需求；任职要求：1.计算机等相关专业专科科及以上学历，数据结构等基础知识掌握牢固，有良好的架构设计能力； 2.具备良好的分析解决问题能力，有技术难题攻关经验，善于主动推动项目进展并达成项目目标； 3.熟练掌握UDP/TCP/IP、HTTP等网络协议； 4.1年及其以上相关工作经验，熟练掌握Swift、Objective-C，熟练使用XCode及相关调试工具； 5.主开发语言Swift6.熟悉组件化开发模式7.熟悉app打包、上架流程8.保持良好的编码风格,"移动互联网,消费生活",50-150人,ios,上海
