job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级产品经理（人工智能AI）,https://www.lagou.com/jobs/6179903.html,雨花台区,18k-30k,众能联合数字技术有限公司,3-5年,本科,独角兽企业、发展平台、竞争力薪酬,岗位职责：1、 负责产品与解决方案的用户需求分析及市场价值判断，协同产品、商务、技术等相关角色，输出行业解决方案；2、 负责产品的设计与迭代，对互联网、AI类产品、大数据产品有自己的见解和认识；3、 负责产品需求理解和定义、业务逻辑推理、产品功能和交互的设计；4、 撰写简明清晰的产品需求文档及原型设计文档，跟踪产品研发进度；5、 收集用户反馈与用户需求，研究提升用户体验；6、负责AI相关的竞品分析调研，高新项目申报等工作，负责对外合作交流、项目外包跟进、合同制定验收等相关协调工作。任职要求：1、本科及以上学历，计算机专业、数学专业、统计学等专业优先；2、有带领团队进行人工智能应用开发、算法研究的项目经验或培训教学经验，有包括但不限于TensorFlow/Caffe/Pytorch/Keras等人工智能框架的实际项目经验；熟悉Hadoop大数据生态组件优先考虑。3、了解和关注国内外的AI相关产品和业界动态；4、具备良好的数据分析能力，熟悉机器学习、自然语言处理相关理论及行业技术应用；5、有自然语言处理、机器学习相关工作经验，有人工智能开放平台工作经验者优先；6、具备较强沟通协作能力，工作积极主动，对数据敏感，能从数据推演及反馈用户需求和业务趋势。,"移动互联网,企业服务",500-2000人,人工智能,南京
人工智能研发工程师（南京）,https://www.lagou.com/jobs/6983380.html,江宁区,12k-20k,北京泰豪电力技术有限公司,3-5年,不限,行业前景好 平台大 成长空间大,工作职责：1. 负责人工智能算法的实现和应用，并结合数据测试其可靠性；2. 与相关领域的技术人员合作，分析和制定相关需求的解决方案；3. 参与线上模型的性能跟踪、管理及改善，与前后端进行必要的沟通。任职资格：1.学历要求：统招本科及以上学历计算机、数学及电力自动化相关专业；2.工作经验：2年以上开发实际工作经验，1年以上AI开发经验3.能力要求：1）精通至少一门主流语言，Java/Python等；2）熟悉主流的AI学习开源工具，如MXNET、Tensorflow、PyTorch；3）熟悉机器学习、深度学习原理和算法、对AI领域有扎实的理论功底和实战能力。,企业服务,500-2000人,人工智能,南京
开发工程师(大数据、人工智能、物联网),https://www.lagou.com/jobs/7028736.html,江宁区,9k-15k,上海海万信息科技股份有限公司,3-5年,本科,五险一金 带薪年假 周末双休,工作地点：南京学历要求：本科以上岗位要求：（1）熟悉SDK组件开发流程，独立开发过SDK组件；（2）熟悉HTTP、TCP/IP、MQTT协议；（3）熟悉C/C++/Java等语言中的一种；（4）熟悉物联网技术，有相关开发经验者优先；（5）熟悉分布式、多线程及高性能的设计与编码及性能调优者优先；综合能力：（1）负责物联网平台整体架构设计、体系及其标准制定和功能模块设计；（2）负责物联网数据采集层、数据传输层、云服务层、业务应用层的数据传输协议，以及接口规范定义及云平台架构搭建，并制定产品解决方案；（3）编写相应的设计报告、技术标准和技术文档；（4）负责软件框架代码的开发和调试工作；（5）参与物联网感知数据的数据分析和数据可视化工作；（6）解决工程项目当中遇到的问题，进行系统性能优化和安全加固，保证平台安全、稳定、快速运行；,"移动互联网,金融",500-2000人,人工智能,南京
人工智能气象工程师,https://www.lagou.com/jobs/6746783.html,浦口区,12k-24k,南京信大气象科学技术研究院有限公司,不限,硕士,周末双休 五险一金 定期体检 就餐补贴,岗位职责：主要从事基于神经网络、深度学习相关技术的天气预报关键技术、算法研发。任职要求：1、全日制研究生及以上学历，具有相关项目实践经验。2、熟悉或精通1到2种常用的机器学习编程模型（如TensorFlow、Caffe、MXNet、Keras或CNTK等），能够运用相关技术从事机器学习相关应用的开发。3、具体气象相关科学背景的优先。,"数据服务,其他",15-50人,人工智能,南京
人工智能数据挖掘工程师,https://www.lagou.com/jobs/7209781.html,江宁区,12k-17k,河北龙赛商贸有限公司,不限,本科,待遇好,"工作职责1、数据挖掘技术趋势研究2、数据挖掘技术行业对标调研3、负责大数据挖掘新产品设计与开发4、大数据挖掘及应用开发团队技术指导、方案规划及模型设计5、负责大数据潜在高价值数据的挖掘和分析6、分析产品需求，独立完成相关软件架构、代码设计及调适开发工作工作要求1、精通SQL，熟悉mysql等一种或多种关系型数据库使用2、有Hive，Spark SQL，Hbase等一种或多种nosql数据库开发调优经验3、熟悉了解大数据相关开源软件，如Kafka,Spark,Hadoop,Hive,Hbase，Zookeeper，Storm等4、熟练掌握python,java,scala等一种或多种编程语言，有较为丰富的分布式编程经验5、有Spark，Spark streaming开发相关经验","消费生活,其他",150-500人,人工智能,南京
人工智能软件销售,https://www.lagou.com/jobs/7023799.html,玄武区,4k-8k,南京赫左智能科技有限公司,不限,不限,高提成 五险 员工福利优,"技能要求：电销，地推销售，会销，广告销售，面销，软件销售您有能力您就来 薪资福利亏不了你只要您能力够强， 薪资随您谈，您缺份挣钱工作， 我们正好可以满足您，仅此而已！本公司从事人工智能软件营销，行业处于高速发展期！ 1、销售方式包括面销，电销，网销，根据你的经验和性格，人性化安排岗位； 2、负责公司产品的销售及推广； 3、根据市场营销计划，完成部门销售指标； 4、开拓新市场,发展新客户,增加产品销售范围； 5、负责辖区市场信息的收集及竞争对手的分析； 6、管理维护客户关系以及客户间的长期战略合作计划。 任职要求： 1、中专以上学历，工作经验1-3年。综合能力优秀的应届生亦可 2、热爱销售事业，有韧性能吃苦耐劳，公司提供销售培训。 3、具有良好的人际沟通能力，较强的客户服务意识和团队合作精神，渴望挑战自我 4、富有激情和创新理念，追求个人职业发展和公司利益的双赢； 5、积极乐观，有强烈的成功欲望，诚实可靠，以公司利益为重； 6、 底薪3500+提成+奖金 ，上不封顶，多劳多得 .试用期底薪3800. 上班时间：朝九晚六 五险 薪酬福利： 综合薪资=基本工资+岗位工资+绩效+提成+奖金+福利=月收入过万 1、完善的晋升制度，不定期的加薪提升 2、依法享有病假、事假、年休假、公假、婚假、产假、丧假、等各种假期 3、员工生日时，公司每个月为每位员工赠送礼品表示庆祝。 4、不定期公司聚会（例如：烧烤、农家乐、ktv等）等等","信息安全,人工智能",少于15人,人工智能,南京
人工智能算法开发工程师,https://www.lagou.com/jobs/6741518.html,浦口区,15k-30k,南京风兴科技有限公司,3-5年,硕士,五险一金、绩效奖金,"1.从事人工智能、深度学习、智能决策技术等领域的算法研究和开发工作；2.从事智能领域语义分析算法、自然语言处理相关技术和方法的研发；3.推动合格有效的AI算法到公司各产品中，完善产品功能；4.参与项目技术攻关，促进技术疑难问题的解决；5.结合应用场景, 综合考虑业务/数据/算法等因素,持续改进和优化产品性能；6.负责日常领导安排的其他工作。任职要求：1.计算机类相关专业，3年以上从事文字、图像、语音和语言处理，或智能机器人领域的工作经验；2.熟悉深度学习、人工智能、机器学习等技术在大数据领域的应用，有良好的科研能力；3.精通C/C++/Java等编程语言中的一种或多种，快速编程能力强，精通Windows/Linux操作系统；4.对算法研发有强烈的兴趣，有较强的技术前瞻能力；5.善于快速学习新知识，良好的表达和沟通能力；6.工作认真负责，严谨细致，有良好的创新意识和团队精神。学历要求：硕士研究生及以上学历。","硬件,人工智能",15-50人,人工智能,南京
技术总监（人工智能） (MJ000339),https://www.lagou.com/jobs/6762417.html,雨花台区,40k-55k,北京阿博茨科技有限公司,10年以上,本科,高级技术管理、AI、架构,1. 全面负责阿博茨科技Eversight产品团队，负责其核心功能模块开发，主导科技创新工作；2. 根据场景需求，综合新兴技术，设计具体技术方案，完成代码编写，跟进BUG修复，实现系统上线；3. 推动研发产品开发过程中的各项工作，解决测试运营过程所发现的技术问题；4. 参与业务系统需求讨论，协助业务流程设计；5. 参与外部合作方机构系统对接方案沟通，设计和对接。任职资格 :1. 大学本科及以上学历，计算机相关专业；2. 5年以上使用JAVA开发的经验，熟悉JAVA EE规范和web开发的相关技术；3. 拥有金融科技或AI领域产品开发经验者优先；4. 有至少4年技术团队管理经验；5. 逻辑思路清晰，较强的创新能力，有良好的计划和执行能力；6. 要求稳重、踏实、有责任心，具有良好的团队合作精神和沟通能力，并有很强的学习能力。,移动互联网,150-500人,人工智能,南京
人工智能算法工程师,https://www.lagou.com/jobs/6665266.html,鼓楼区,15k-25k,亚信科技（中国）有限公司,3-5年,本科,上市公司 薪酬福利体系完善,工作职责：1.根据公司业务场景，提供人工智能解决方案。2.利用自然语言处理技术和语义分析方法实现相关模型的建立与实践。3.参与相关项目工作，包括意图分析、序列标注、相似度计算、引擎开发、上下文对话理解、任务型多轮问答等。4.负责大规模文本数据处理，包括分类、聚类、信息抽取、知识图谱构建等。任职要求：1.计算机相关专业，本科及以上学历。2.熟悉自然语言处理、机器学习、深度学习等常用算法，熟悉NLP领域前沿技术，对NLP有系统的认知。3.有实际的文本分析经验，包含文本聚类，分类，相似度分析等。4.有Tensorflow、Caffe等深度学习框架与自然语言处理结合实际项目经验者优先。5.熟悉面向文本的CNN、RNN、LSTM、Seq2Seq、GAN等模型者优先。6.在文本处理、知识图谱、智能问答、搜索引擎等领域有实际项目经验者优先。7.有电信运营商数据挖掘经验者优先。,"企业服务,移动互联网",2000人以上,人工智能,南京
11314N-算法研究员,https://www.lagou.com/jobs/7003309.html,雨花台区,20k-30k,平安科技（深圳）有限公司,1-3年,硕士,五险一金,,金融,2000人以上,人工智能,南京
