job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/6958649.html,海淀区,15k-25k,北京夜神数娱科技有限公司,3-5年,本科,"国际化产品,气氛活跃,队友给力,环境优雅",工作职责：1.负责夜神系列产品的测试工作；2.根据需求独立完成测试计划与测试用例的编写，并按计划执行测试，缺陷的跟踪和管理，输出测试报告；3.推动并监控整个项目流程的实施，评估项目风险，推动问题的解决，保障产品质量；4.线上线下问题追踪与分析。职位要求：1.统招本科或以上学历，计算机软件相关专业优先；2.具备测试工作经验和很强的业务能力，扎实的计算机基本功和测试理论基础；3.熟练使用常用客户端、服务端测试工具；4.具备强烈的进取心和责任感，极强的学习能力及良好的团队合作精神；5.善于学习和运用新知识，有很强的分析能力和定位问题的能力。,移动互联网,150-500人,测试,北京
测试工程师,https://www.lagou.com/jobs/7192705.html,朝阳区,12k-20k,北京云动数字媒体技术有限公司,3-5年,本科,"知名VC,行业领先,精英团队,成长空间",【职位描述】1、理解项目需求，识别项目风险，设计测试方案、计划，编写测试用例，执行测试用例，生成测试报告；2、负责服务端、web端和移动端产品的业务测试，包括但不限于功能测试、接口测试、兼容性测试、性能测试等；3、参与整个团队质量体系建设，包括但不限于：自动化平台搭建、持续集成、上线系统等；4、准确地定位并跟踪问题，推动问题并及时合理的解决问题。【职位要求】1、计算机或相关专业本科及以上学历，3年以上测试工作经验；2、熟练使用 Java/Python等编程语言中至少一种；3、熟练掌握如下自动化测试方向中至少一种：接口测试：postman、jmeter；web自动化：selenium；app自动化：appium等4、熟悉软件测试流程，熟悉敏捷开发流程，对 BUG 成因有一定分析能力；5、具备良好的技术视野和技术前瞻性，对测试行业发展有自己的思考；6、沟通能力强，具备独立的思考能力和解决问题的能力。,企业服务,150-500人,测试,北京
高级QA工程师/测试主管（后台服务测试,https://www.lagou.com/jobs/7212675.html,朝阳区,20k-40k,北京三快在线科技有限公司,1-3年,本科,发展空间,,消费生活,2000人以上,测试,北京
测试工程师,https://www.lagou.com/jobs/7032716.html,昌平区,6k-7k,北京好物聚科技有限公司,1年以下,本科,股权激励，绩效奖金，年底分红，年终奖金,"岗位职责:1.根据软件需求和设计文档，按照测试流程和计划，设计测试用例及测试数据2.参与APP、H5、小程序、SDK、后端接口的测试工作，以及适合项目特点的自动化工具开发3.执行功能测试，定位并跟踪缺陷，提交缺陷报告，并确认问题得以解决4.参与完善研发过程中质量和效率问题的发现机制，并提出明确改进意见5.参与产品研发项目，协同产品经理、业务研发、用户反馈团队优质交付产品任职要求:1.计算机相关专业大三或研一、研二在读学生, 每周至少工作4天2.对软件测试有一-定了解，对测试工作感兴趣，有过软件测试实习经验者优先3.工作认真细致，善于发现、分析和总结问题,责任心强，具有良好的沟通协调和文档撰写能力4.熟悉以下一门或几门语言优先: java/python/go/php","电商,企业服务",150-500人,测试,北京
测试工程师,https://www.lagou.com/jobs/7087980.html,海淀区,15k-25k,北京车之家信息技术有限公司,3-5年,本科,16薪 八险一金 办公环境好 带薪年假多,"我们需要你从事：1、负责项目/产品的测试工作，参与产品需求分析，负责测试计划制定,并能预先评估项目风险，确保测试活动的顺利开展；2、深入理解系统内部的设计原理，并能从测试的角度提供优化意见；3、根据产品需求和产品设计, 编写功能测试设计和用例；能够独立开发自动化测试脚本；4、实施软件测试，完成对产品的集成测试与系统测试，对产品的功能、性能及其他方面的测试负责；5、对软件问题进行跟踪分析和报告，推动测试中发现问题及时合理地解决；6、汇总测试执行情况，编制相关报告。我们希望寻找这样的你：1、大学本科及以上，具备至少三年以上测试经验；2、熟练掌握软件测试流程及测试方法，具备独立分析和定位问题的能力，并提出合理优化建议；3、熟练掌握常用测试工具，如charles、fiddler、postman等；4、熟悉linux的基本操作，命令和配置，了解网络协议和网络环境的应用；5、至少熟悉Loadrunner、Jmeter等性能测试工具其中一种；6、熟悉sql server、mysql等常用数据库，熟练编写sql语句；7、熟练掌握至少一门主流开发语言，如：Java/Python等；能够独立编写自动化测试脚本或项目；有测试开发经验为加分项；8、具备较强的抗压能力和沟通能力，谈判、解决冲突的能力。",汽车丨出行,2000人以上,测试,北京
测试工程师,https://www.lagou.com/jobs/4498668.html,东城区,8k-16k,北京默契破冰科技有限公司,1-3年,本科,"七险一金,弹性不打卡,免费午餐,季度旅游",职位描述：1、参与需求评审，制定测试方案、编写测试用例并执行；2、对测试中发现的问题进行详细分析和准确定位，推动缺陷的解决；3、完成产品的集成测试与系统测试；4、测试技术/工具/系统的研究和应用，测试流程的规范和优化。任职要求：1、本科以上学历，具有一年以上移动端测试经验； 2、熟悉测试流程及测试方法；3、精通功能测试用例设计方法，深入理解移动端测试点；4、熟悉数据库基本操作，熟悉Charles、Postman 等接口测试工具；5、有较强的学习能力强和执行能力，有较强的逻辑推理能力和严谨工作作风，善于总结思考；6、有责任心，团队精神，抗能够承担高强度的工作压力。【玩吧】是一款娱乐社交APP，《快乐大本营》和《暴走大事件》官方推荐，冠名《PandaKill》，引领狼人杀现象级风潮，AppStore社交排行榜****5！公司策略稳健、行动迅速，我们需要你的才华，也懂得回报你的付出。,社交,150-500人,测试,北京
测试工程师,https://www.lagou.com/jobs/6874220.html,朝阳区,15k-25k,奇虎360科技有限公司,3-5年,本科,大平台，成长快,职位描述1、对windows、andriod客户端、产品进行产品测试，完成产品的质量保证和发布2、理解产品需求，结合用户使用场景进行测试用例的设计、讨论、完善和维护，撰写流程图3、发现产品缺陷，提供缺陷调试和跟踪信息，推动并帮助开发人员解决问题，然后进行验证4、适时的跟进产品方向、进度信息、用户问题反馈、并对反馈问题进行验证、跟进、推动解决5、总结测试过程中的问题，进行发布评估，并总结版本历史和遗留问题，为以后的测试提供关键依据6、利用脚本和自动化工具提高日常任务的执行效率和准确度。任职要求1、计算机专业本科及以上学历2、2年以上测试经验，熟悉软件测试流程，对PC、androd客户端熟悉3、熟练掌握各种windows操作系统4、有较强的逻辑分析能力，和学习能力5、有良好的沟通能力和团队合作能力6、对软件有浓厚兴趣，善于分析数据，发现问题7、可以胜任重复性工作，耐心，细致8、能够通过脚本编写，主动提高任务完成的准确性9、Python脚本经验优先。,信息安全,2000人以上,测试,北京
测试工程师,https://www.lagou.com/jobs/7118136.html,朝阳区,20k-35k,北京三快在线科技有限公司,3-5年,本科,大平台，有发展,,消费生活,2000人以上,测试,北京
测试工程师,https://www.lagou.com/jobs/7165240.html,朝阳区,11k-20k,北京猿力未来科技有限公司,1-3年,本科,"精英团队,独角兽公司,扁平化管理","职位描述：工作职责：1.独立跟进并负责测试公司相关产品，并对产品上线的质量负责；2.根据产品需求，设计和执行测试用例；3.发现软件缺陷，提交正式的缺陷报告，跟踪开发人员对缺陷的确认和修复；4.良好的沟通、协助、驱动、解决问题，高效的执行流程，保证项目质量和进度；5.测试新技术的调研与应用。职位要求：1.计算机相关专业本科及以上学历；2.至少1年客户端（Android/IOS/PC）测试经验，对客户端（Android/IOS/PC）系统本身有深入的了解；3.熟悉网络基础知识、http协议、数据库相关知识；4.熟悉常用各种测试工具，如：测试管理工具、自动化测试工具等，且有项目应用经历；5.沟通、计划及执行力较强, 擅长团队合作；6.熟悉互联网敏捷开发模式者优先；7.熟悉 Java，并熟悉 Ruby/Python/JavaScript/Shell 等脚本编程中至少一种优先。","移动互联网,教育",2000人以上,测试,北京
测试工程师,https://www.lagou.com/jobs/7196466.html,西城区,15k-20k,北京卓仕企业管理有限公司,1-3年,本科,交通方便，高年终奖，公司规模大,职责描述：1、负责公司产品的功能测试和性能测试；2、编写测试用例、执行测试，给出分析报告；3、分析测试结果，进行bug跟踪定位，推动bug解决；4、推动并监控整个项目流程实施，评估项目风险，保障产品质量； 任职要求：1、统招本科以上学历，计算机或计算机相关专业，2年以上测试经验，互联网金融行业测试工作经验优先；2、熟悉软件测试理论和方法，熟悉相关测试流程，测试文档及软件工程原理；3、能熟练使用至少一种缺陷跟踪工具；4、能熟练使用至少一种主流数据库（Oracle、MySql、SQLServer、DB2)；5、熟悉linux系统及常用linux命令；6、熟悉java或者Python语言及基本语法；7、有接口测试、性能测试经验者优先；,"电商,企业服务",150-500人,测试,北京
