job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
3D算法工程师,https://www.lagou.com/jobs/6539958.html,鄞州区,10k-20k,浙江一木智能科技有限公司,应届毕业生,本科,人工智能,岗位职责：1，负责零件3D模型重建；2，利用3D神经网络进行零件的定位；3，使用3D卷积神经网络对动态点云手势进行特征的学习；4，负责图像数据采集，数据标定等方案的设计；5，负责算法部署，算法对接，算法性能优化等技术落地细节；岗位要求：1，重点大学本科以上学历，计算机科学（含大数据），物理，数学，信息工程，电子工程或其他理工科相关专业；2，掌握一种常见的深度学习框架，如Tensorflow等，掌握OpenCV等相关工具的使用；3，在3D视觉，图形学方向有一定的实践基础，对深度摄像机有一定的了解；4，有扎实的数学功底，对常见的神经网络模型和机器学习算法，有扎实的理论和实践基础；5，具备3D建模，3D目标识别，点云数据处理等相关项目经验的优先；,人工智能,50-150人,深度学习,宁波
图像算法工程师,https://www.lagou.com/jobs/6520519.html,鄞州区,10k-20k,浙江一木智能科技有限公司,应届毕业生,本科,人工智能,岗位职责：1，基于零件数据，进行尺寸检测，目标分类，视频目标检测等；2，利用图像，对生产过程进行预警，包括工人异常行为与机械手异常行为等的追踪；3，负责图像数据采集，数据标定等方案的设计；4，负责算法部署，算法对接，算法性能优化等技术落地细节；岗位要求：1，重点大学本科及以上学历，计算机科学（含大数据），物理，数学，信息工程，电子工程或其他理工科相关专业；2，掌握一种常见的深度学习框架，如Tensorflow等，掌握OpenCV等相关工具的使用；3，对常见的神经网络模型和机器学习算法，有扎实的理论和实践基础；4，具备CV背景的优先，熟悉目标分类，目标检测，轨迹追踪的优先，具备神经网络嵌入式部署相关经验的优先；,人工智能,50-150人,深度学习,宁波
图像算法工程师,https://www.lagou.com/jobs/6197982.html,镇海区,10k-20k,宁波智能装备研究院有限公司,不限,本科,五险一金；薪资福利对标华为、阿里,岗位职责：1、维护公司产品的视觉检测模块的维护和开发；2、编写软、硬件接口文档；3、配合研发部门解决产品中与视觉检测相关的问题；4、发现视觉模块中的问题，并提出改良方案。岗位要求：1、熟练使用 Visual Studio 2010；2、熟练使用 OpenCV 图像算法库；3、熟练使用 C++编程语言；4、熟练掌握数字图像处理；5、对软件开发有一定了解。本岗位独立工作经验 3 年左右，有较好基础的实习生也可以申请。,"人工智能,软件开发",150-500人,深度学习,宁波
图像算法助理工程师,https://www.lagou.com/jobs/6392646.html,镇海区,5k-10k,宁波智能装备研究院有限公司,应届毕业生,不限,13-18薪 薪资对标阿里华为 五险一金,岗位职责：1、协助工程师完成产品的开发任务；2、协助工程师测试和维护，保证产品的运行稳定性；任职要求：1、本科以上学历；图像算法相关专业毕业优先；2、熟悉C++语言编程；3、熟悉使用opencv图像算法库；4、了解图像处理流程；,"人工智能,软件开发",150-500人,深度学习,宁波
软件销售-宁波,https://www.lagou.com/jobs/6349322.html,鄞州区,6k-10k,浙江乐檬信息技术有限公司,不限,大专,六险一金 节假日福利 生日礼券,岗位职责：1、负责前期市场调研，提供线索，进行市场开拓；2、分析客户需求，总结市场，行业特征及规律；任职资格：1、全日制大专以上学历，专业不限；2、适应力强，具有较强的学习能力；3、对工作有激情，有强烈的进取心，热爱销售工作，有强烈的成功欲望和企图心；4、认真负责，吃苦耐劳，能适应出差，有软件行业销售经验者优先。5、内驱力和目标感强，具备主动性，有较强的执行能力和抗压能力的应届生亦可。薪资福利：1、底薪+提成，年底13薪。2、六险一金，带薪年假、节假日福利、生日礼券3、不定期团建、国内外旅游机会、免费下午茶4、完善的培训机制和晋升通道在乐檬软件，你将会拥有：完善的新人培训、学习成长机制；实力为王、不问出处的提升平台；团结一致、互帮互助的团队氛围；总览全国新零售市场的深度与广度；,"企业服务,消费生活",50-150人,深度学习,宁波
平台运营,https://www.lagou.com/jobs/7219187.html,奉化市,10k-15k,宁波奉化瑞晨信息科技有限公司,3-5年,本科,国内**家垂直自动化设备商城交易服务平台,"1、负责公司电商平台整体的运营规划、架构设计、用户搭建、市场推广及品牌建设，运营计划节点拆解，落实跟进效果达成，包含但不仅限于产品运营、商户运营、用户运营、社群运营、活动运营、内容运营等；2、负责同类竞品的深度研究及分析，制定差异化、竞争力的运营策略3、负责各项电商运营数据的分析总结，对全年各项运营目标达成负责，如：流量指标、会员注册率指标、页面点击率及转化率指标、商品受欢迎度指标，针对新进、活跃、留存、沉默、流失等不同用户群体实施专项运营策略；4、培养并建设运营团队，建立数据化运营体系，带领团队完成对应指标，提升整体运营水平，不断提升团队的执行力及专业度，合理设置部门组织结构和岗位，优化业务流程，合理配置人力资源，开发和培养员工能力，对员工绩效进行管理；5、精通社群运营，熟悉微信生态营销裂变玩法，擅长策划各类用户裂变增长活动，增加用户数量及GMV平台运营总监任职要求：1、本科及以上学历，市场营销、电子商务或IT相关专业； 拥有独立app运营经验。2、5年以上电子商务工作经验，具有B2C、O2O、C2M、新零售类运营总监不少于3年平台整体运营管理经验；3、对电子商务的消费者需求、传播媒体渠道、品牌传播、供应链及整合营销有深刻理解并具备一定经验，具备广告法、知识产权法等方面的知识，了解公司发展战略及市场营销战略；4、深入了解搜索引擎原理，熟悉百度、google等优化及排名技巧和原理,熟悉SEO操作流程，熟练使用SEO工具，并具备相关业务技能和成功案例；5、具有很强的领导、组织能力、判断与决策能力、沟通能力、计划与执行能力。",电商,少于15人,深度学习,宁波
会VUEJS前端开发,https://www.lagou.com/jobs/7219145.html,奉化市,9k-12k,宁波奉化瑞晨信息科技有限公司,3-5年,本科,国内**家垂直自动化设备商城交易服务平台,1计算机或相关专业本科及以上学历，2年以上Web前端开发工作经验；2熟悉前端Vue体系架构，熟悉api接口传输协议有Vuejs项目实战经验。3熟练掌握HTML5、CSS、Ajax，熟悉DIVCSSCSS3布局、jQuery和bootstrap等主流框架和html5，精通JS模块化、Vue、ES6、NPM以及Webpack打包工具；4学习能力强、责任心强，有良好的代码编写习惯，具有团队合作精神和良好的沟通能力，和独立完成自己岗位。,电商,少于15人,深度学习,宁波
电商视觉设计师,https://www.lagou.com/jobs/6872256.html,,6k-11k,得力集团有限公司,1-3年,本科,五险一金 双休,"工作职责：1、负责年度新品详情页设计制作，设计商品描述，设计和制作详情页面模板；2、根据店铺更新及时完成详情页面板式或部分内容更新；3、负责重点推广产品详情页优化设计制作，将店铺发展所需的重点品类详情页进行深度优化。岗位要求：1、本科以上学历，工业设计、动画、视觉传达设计等专业优先，有经验者优先考虑；2、熟练使用PS、AI、AE等软件；C4D和插画有加分；3、专业的扎实技能，设计概念强，有较强的审美；4、性格外向、反应敏捷、表达能力强、和沟通能力。","文娱丨内容,其他",2000人以上,深度学习,宁波
大客户销售（CKA）,https://www.lagou.com/jobs/6997434.html,海曙区,10k-15k,达疆网络科技（上海）有限公司,3-5年,大专,带薪年假 五险一金,KA，大客户，餐饮，商超，新零售工作职责：1、负责达达集团城市大客户品牌和渠道的合作拓展和落地；2、能够深度了解配送行业产品，并根据品牌数据分析和履约效果，制定配送合作方案，实现大客户配送需求解决；3、能够与客户进行有效的沟通和谈判，促进业务达成；4、协同总部KA和运营团队，持续优化服务质量和用户体验。任职要求：1、3年以上互联网销售经验，2年以上大客户销售经验；2、目标导向，有良好的沟通表达和团队协作能力，逻辑思维清晰；3、大专以上学历,消费生活,2000人以上,深度学习,宁波
2631EE-商务支持岗（宁波）,https://www.lagou.com/jobs/7135850.html,江北区,8k-10k,平安国际融资租赁有限公司,1-3年,本科,"五险一金,绩效奖金,带薪年假,节日福利",,金融,500-2000人,深度学习,宁波
