job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
GO,https://www.lagou.com/jobs/6807279.html,朝阳区,30k-50k,四川伊澳农业科技有限公司,3-5年,本科,美女多，上市公司，注重互联网，福利优厚,1. 打造优秀的RPC服务框架/分布式存储系统/中间件系统/核心服务等， 为公司海量数据和大规模业务系统提供可靠的基础设施；2. 快速理解业务场景，从业务问题中抽象出通用的解决方案，建模并正确实现；3. 与团队密切配合，共同研究和使用业内各方向最新技术，共同推动公司技术演进。任职要求：1、具备良好的编码习惯：结构清晰、命名规范、逻辑性强、代码冗余率低；熟悉Golang优先；2、基础扎实，熟练使用各种常见数据结构和算法，在计算机领域具有较完整的知识体系，并能结合到实际工作中；3、具备一定的架构设计能力，能够比较准确、全面地理解系统，并根据系统发展设计出较为合理的架构方案；4、具备良好的沟通能力和团队协作精神。,"移动互联网,电商",2000人以上,go,北京
GO,https://www.lagou.com/jobs/2962839.html,朝阳区,12k-24k,北京九识佳科技有限公司,1-3年,本科,"逗逼氛围,五险一金,零食饮料,餐补",岗位职责：1、小肚皮App后端开发                           2、对现有架构、性能进行优化                    3、和产品经理配合，深度参与手机产品需求讨论，功能定义等岗位要求：1、有责任心 2、具有良好的沟通能力和学习能力3、有独立解决问题的能力4、有良好的编程基础5、至少有半年以上的GO开发经验6、对公司产品有认同感的优先你可以得到：高大上工作环境，VIP健身房，高性能游戏室等你来！年底老板感恩季，绩效奖金拿到手瘫痪，豪华7日国际游天天无限供应的零食大趴踢每周公司心机大聚会，K歌*，吃饭*，密室逃脱*，等你来组队每周一场与一群颜值高队友关于产品/市场的头(撕)脑(X)风(大)暴(会),社交,15-50人,go,北京
后台开发（C++/go/PHP/python）,https://www.lagou.com/jobs/5667224.html,朝阳区,30k-50k,四川伊澳农业科技有限公司,3-5年,本科,"美女多,即将上市,有期权,大牛多","岗位职责：1、负责移动电商应用的后端开发工作；2、基于SOA架构，为各类项目需求设计架构，开发后端所有功能服务；3、通过单元测试、自动化以及代码审查等提升优化代码质量；4、积极参与各种头脑风暴会议并对用到的技术、算法和产品功能提出意见和建议；5、同产品和设计团队协作，理解用户需求，归纳功能用例，并转化为高效的技术解决方案任职要求：1、互联网3年以上工作经验  2、扎实的计算机基础知识，熟悉各种常见的数据结构和算法  3、丰富的编程语言经验，掌握C/C++、PHP、python或Go中的一种或多种主流开发语言4、深厚的网络技术功底，熟悉TCP/IP、HTTP等通信协议，具有socket网络编程和大规模并发服务器开发经验优先5、强悍的system设计&编码能力，追求优雅的设计和优秀的代码质量6、思路清晰，具备生产系统快速 trouble-shooting 的经验和能力7、对 memcache, Redis, LevelDB, RocksDB, MySQL, HBase, scribe, kafka 的一项或多项有经验者优先8、责任心强，具有良好的表达和沟通能力及较强的执行力备注：外资背景，五险一金全额缴纳，周末双休，弹性上班，不打卡，早9晚6或者早10晚7，10:30以前到岗都不算迟到，公司有食堂，免费提供三餐，零食下午茶，每月有团建、年度旅游，带薪年假15天，之后每年+1天，试用期3个月，交通补助2000元/月，每月有1天带薪病假，当月有效目前公司规模：2000人以上，三年内扩招到5000人；互联网技术团队200人+薪资：30K起，16.5薪平均，上不封顶","移动互联网,电商",2000人以上,go,北京
GO研发工程师,https://www.lagou.com/jobs/6623286.html,海淀区,25k-50k,腾讯科技（深圳）有限公司,3-5年,本科,大厂,岗位职责：1、负责腾讯新闻内容系统设计和研发工作，包括不限于图文短视频内容精细化运营系统、海量内容分析与计算、推荐索引体系等设计和研发工作2、结合需求设计实现安全、稳定、高伸缩性、高性能、易维护的业务系统，并能够根据系统发展，对技术架构不断调整，持续优化岗位要求：1、计算机相关专业硕士及以上学历，3年以上开发经验；2、扎实的计算机基础、较强的算法能力和独立解决问题的能力，对计算机体系结构有深刻认识 精通GO语言，有独立负责GO大型项目研发工作的经验3、对代码的规范有苛刻的追求，要求结构设计良好，命名规范，逻辑性强，代码冗余率低 对程序性能有深刻认识，深刻理解代码时间复杂度，能够快速定位和解决性能问题 熟练掌握linux下常用问题定位工具，如strace、lsof等，能够快速解决系统问题 熟练掌握gitflow工作流；4、故障防范意识较强5、抗压能力强，分析解构能力，代码阅读能力，自我驱动能力强；6、热爱编程，对开发工作富有激情，保持开放好学的心态，需要较强沟通能力，善于团队协作 7、有微服务开发经验优先,社交,2000人以上,go,北京
腾讯视频go/c++后台开发（8.31北京专场）,https://www.lagou.com/jobs/6337113.html,海淀区,25k-50k,腾讯科技（深圳）有限公司,3-5年,本科,大平台 新业务,岗位职责：    负责腾讯视频APP增长后台架构设计和功能开发； 负责腾讯视频极速版后台架构设计和版本迭代。   岗位要求：    本科及以上学历，计算机、通信及相关专业背景； 2年以上开发项目经验，至少2年的GO或C/C++开发经验； 深入了解TCP/UDP协议，进程间通讯编程，熟悉各类服务器架构并能合理的应用； 对系统的瓶颈、业务扩展性，有比较强的把控能力； 有海量服务器开发经验优先。,社交,2000人以上,go,北京
PHP/GO开发工程师-JSZX,https://www.lagou.com/jobs/5897102.html,东城区,18k-30k,北京轻松筹网络科技有限公司,3-5年,本科,技术大咖 五险一金 绩效奖金,"岗位职责：1、承担网站后台系统架构设计和相关开发工作；2、现有系统的性能分析、优化；3、参与构建系统原型以及关键技术的攻关。任职要求：1、熟悉常见数据结构及算法2、熟悉http/https,websocket,tcp/ip等常见通信协议3、掌握MySql和Redis优化及使用技巧4、掌握Linux下服务的性能调优5、掌握PHP或GO语言6、熟练运用常见设计模式7、较强的团队协作能力8、保质保量按时完成上级分配工作","移动互联网,金融",500-2000人,go,北京
Go高级开发工程师,https://www.lagou.com/jobs/7143240.html,朝阳区,20k-35k,奇虎360科技有限公司,3-5年,本科,团队牛人多 氛围超nice,岗位职责：1、负责短视频、直播类产品的前后台开发工作；2、参与维护现有项目，优化服务架构，提升服务性能，解决研发过程中遇到的技术难题；任职要求：1、熟悉Go语言，3年以上实际项目经验；2、熟悉MySQL/MongoDB等数据库，了解常用的SQL优化方法；3、熟悉Redis使用，了解各类数据结构使用方法与场景；4、熟悉Linux常用命令，熟悉Git、Jenkins等代码库及部署工具；5、熟悉消息队列技术（Kafka、RabbitMQ等）；6、良好的代码和文档习惯；良好的沟通能力和理解能力；较强的抗压能力。,信息安全,2000人以上,go,北京
平台开发工程师（go语言方向）,https://www.lagou.com/jobs/6615891.html,海淀区,20k-40k,星辰天合（北京）数据科技有限公司,3-5年,本科,潜力平台 牛咖云集 完善福利,岗位职责:1、 负责PaaS平台后端开发；2、 有能力进行分布式系统的需求分析、架构设计及开发；3、 独立编写开发相关文档。任职要求:1. 3年以上开发经验，1年以上golang开发经验；2. 有Kubernetes、Docker、mesos容器使用经验者优先；3. 具有良好的编码风格和团队协作精神；4. 有Github开源作品/个人Blog优先考虑 我们提供给您：1．完善的福利、五险一金、补充医疗、子女补充医疗；2．每年带薪年假不少于7天（入职**年就享有哦~）；3．年轻自由国际化的工作氛围与文化，无限量咖啡、饮料、零食，每月餐补、通讯补、交通补、团建费……；4．提供职业培训和高效的职业发展通路；5．创业公司的无限可能。6．浓厚的技术工作氛围,企业服务,150-500人,go,北京
技术支撑平台-高级服务端go开发工程师,https://www.lagou.com/jobs/6263916.html,海淀区,20k-40k,北京搜狗科技发展有限公司,5-10年,本科,明星项目 团队氛围好,岗位职责    主要负责公司基础公用技术平台的开发和维护，比如、对象存储、图片、缓存、消息、接入平台等1、参与需求讨论、架构设计、功能开发与维护、新技术预研等2、及时排查解决线上出现的各种问题，对产品质量负责任职资格1、本科以上学历，计算机及相关专业毕业，至少5年以上相关开发经验；2、逻辑思维清晰、责任心强、具备较好的学习和沟通能力，以及团队合作精神；3、熟悉C/C++/Java/Go等一种或多种语言，有良好的编程能力和代码习惯，对技术有执着的热情；4、有参与或者深入研究过开源项目的优先；5、对存储、网络协议、分布式系统、多媒体处理、VoIP等某一领域有深厚经验者优先。,工具,2000人以上,go,北京
商业平台-高级/资深Go工程师,https://www.lagou.com/jobs/6963755.html,海淀区,30k-50k,北京搜狗科技发展有限公司,5-10年,本科,15天年假、年底奖金,项目介绍：承担商业平台基于Kubernetes的容器云平台的研发和性能优化，通过持续引入云原生相关技术（包括服务网格、AI）等，赋能业务团队，简化应用的研发、部署、监控和管理流程，同时对资源利用率进行持续优化。岗位职责：1. 承担商业平台基于Kubernetes的容器云平台的研发和性能优化，提升平台稳定性；2. 服务网格、分布式存储、有状态服务等研发和优化；3. 大规模分布式资源管理和调度，应用混部、应用隔离等核心技术攻关，持续提升资源利用率。岗位要求：1. 计算机相关专业，硕士以上学历，3年以上相关工作经验2. 精通Goalng开发、调试和系统调优，熟悉shell、python等脚本工具；3. 熟练掌握数据结构、常用算法以及常用设计模式，具有高并发程序开发经验；4. 熟悉Kubernetes的架构，了解云原生领域的常用开源软件；5. 有自己的开源项目或作为核心成员参与过其他开源项目开发者，优先考虑；6. 良好的沟通能力、团队协作精神，具有解决挑战性问题的激情；,工具,2000人以上,go,北京
