job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
"软件开发工程师（WEB后端，JAVA,Go语言）",https://www.lagou.com/jobs/6891806.html,无锡新区,7k-12k,上海讯联数据服务有限公司,1-3年,本科,晋升，14薪+年终奖+项目奖,岗位职责：1、负责服务端系统的开发和维护工作；2、对现有系统进行持续改进和优化。岗位要求：1、至少掌握 Golang、Java 等任意一种编程语言；2、掌握 MySQL 或 MongoDB 数据库的基本使用；3、熟悉 Linux 常用命令；4、了解 Git、SVN 或类似工作流程；5、注重代码质量与文档质量；6、有较强的团队协作意识，具备良好的沟通、表达能力，能抗压，有责任心，学习能力强；7、985、211院校毕业优先。,金融,150-500人,go,无锡
"高软件开发工程师（WEB后端，JAVA,Go语言）",https://www.lagou.com/jobs/6891783.html,无锡新区,12k-20k,上海讯联数据服务有限公司,不限,本科,晋升，14薪+年终奖+项目奖,岗位职责：1、负责服务端系统的设计、开发和维护工作；2、对现有系统进行持续改进和优化；3、带领开发团队，配合 PM 与产品经理，完成项目需求分析、团队任务分配、技术难题攻坚等相关任务；4、主导系统与产品的架构设计、调优工作，结合自身所掌握的技术与业务知识，主动梳理并提出优化思路，并落地实施。岗位要求：1、熟练掌握 Golang、Java等任意一种编程语言；2、熟练掌握 MySQL 或 MongoDB 数据库的基本使用，具备性能优化的意识与能力；3、熟练掌握项目开发流程，了解 Git、SVN 或类似工作流程；4、具备高可用、高并发系统或模块的设计、开发经验；5、具备软件工程意识，注重代码质量，能抗压并带领团队完成关键问题攻坚；6、思维敏捷，善于沟通，并具备独立解决问题的能力；7、加分项：具备架构设计，研发团队管理，金融相关行业经验者优先，具备良好的日语或英语能力者优先。,金融,150-500人,go,无锡
资深测试工程师,https://www.lagou.com/jobs/6688534.html,新吴区,15k-30k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,餐补",,文娱丨内容,2000人以上,go,无锡
平台开发专家,https://www.lagou.com/jobs/7149854.html,新吴区,15k-25k,朗新科技股份有限公司,5-10年,本科,年终奖优厚 公积金福利优厚 蚂蚁生态企业,"任职要求：    熟悉容器技术，包括 Docker，k8s 等。    具备创造力与分析能力，有深入研究复杂问题、得到较好解决方案并解决问题的能力。    有云计算相关经验，熟悉云计算行业的主流技术。    熟悉Java、Go任一种开发语言，熟悉设计模式、面向对象的设计方法。    能够阅读英文技术文档。加分项：    熟悉kubernetes平台开发    熟悉KVM, Xen等虚拟技术工作态度：    自我驱动，追求进步和探索，积极主动，工作责任心强。    具有团队合作意识。","移动互联网,企业服务",2000人以上,go,无锡
测试工程师,https://www.lagou.com/jobs/7073969.html,新吴区,10k-20k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,餐补,租房补贴,带薪休假",,文娱丨内容,2000人以上,go,无锡
平台开发工程师(J11110),https://www.lagou.com/jobs/6833840.html,新吴区,8k-15k,朗新科技股份有限公司,应届毕业生,本科,六险一金 年终奖丰厚 不打卡 弹性上班,,"移动互联网,企业服务",2000人以上,go,无锡
C#工程师,https://www.lagou.com/jobs/2829749.html,滨湖区,5k-8k,无锡中育科教技术有限公司,不限,不限,"Scrum,公园里办公,期权,五险一金",团队介绍：团队采用Scrum敏捷开发模式，构建共同学习、持续改善型团队，团队每个成员都能参与研发各个决策过程，能力提升速度快！专注研发打磨公司自己的产品，而不是做一个又一个的项目。员工宿舍独立卫生间和淋浴房，免费供应！公司食堂每天做大家爱吃的，免费供应！太湖边三千平独栋庄园办公，不是一般的奢侈。带薪年假、五险一金，绩效奖金，人家公司有的我们也都有!骨干员工还会发期权，共享未来股权财富！创始人有公司上市成功经历！跟着成功者走向更大的成功！团队技术能力过硬、商务能力过硬，经费充足，万亿教育市场就等你一起来开拓！主要职责：参与公司核心产品的研发工作；参与产品研发全过程；保质保量完成分配的开发任务； 岗位要求：1、大专及以上；2、精通C、C++、C#、JAVA、Go中任意一种，愿意深入研究C#编程技术；3、熟悉MySQL或其他数据库任意一种；4、喜欢钻研技术、有独立探索技术的能力，喜欢接受技术挑战，具有良好的软件工程知识和质量意识；5、良好的沟通协作能力；,"电商,教育",15-50人,go,无锡
性能测试工程师,https://www.lagou.com/jobs/6798267.html,新吴区,5k-10k,上海讯联数据服务有限公司,1-3年,本科,奖金，旅游，十四薪，员工期权,岗位职责：1. 完善测试方法，设计和执行测试用例，进行缺陷跟踪和线下问题的快速重现；2. 负责性能测试计划制定、测试方案设计；3. 负责性能测试环境搭建、脚本编写、测试执行；4. 负责系统性能瓶颈分析，提出性能调优建议，编写性能测试报告。岗位要求：1. 3年以上开发或测试工作经验，两年以上性能测试工作经验；2. 可以根据对系统的了解，设计合理的性能测试场景和脚本；3. 熟悉内存、处理器、进程、磁盘I/O、网络容量性能分析方法，可以对性能测试数据进行有效的分析，结合系统分析出影响性能的逻辑；4. 熟悉HTTP协议；5. 熟悉Linux系统，熟练掌握常用命令；6. 熟悉数据库（Mysql、MongoDB、Redis）常用命令；7. 熟练使用jmeter等测试工具，能够开发维护性能测试框架和脚本；8. 熟练掌握Python、Java、Go等开发语言一种或多种；9. 具备较强的问题分析和学习能力，有较好的沟通能力。,金融,150-500人,go,无锡
平台开发工程师(J11110),https://www.lagou.com/jobs/6844690.html,无锡新区,6k-10k,朗新科技股份有限公司,应届毕业生,本科,上市集团平台稳定学习机会多上升空间大,,"移动互联网,企业服务",2000人以上,go,无锡
Golang开发工程师,https://www.lagou.com/jobs/6231618.html,无锡新区,10k-18k,上海讯联数据服务有限公司,不限,本科,全年十四薪，五险一金，期权鼓励；,"我们是CardInfoLink讯联数据，亚太地区领先的移动支付Fintech企业。我们由红杉资本中国和日本TIS Intec集团投资，并通过PCI DSS和ISO 27001认证。我们总部在上海，在无锡设有专业的软件交付中心，在北京、香港、东京、新加坡、曼谷设有客户服务分支机构，讯联数据的服务系统，基于中国大陆，逐步扩展海外，辐射整个亚太地区。我们企业善良、包容、中西合并；小伙伴聪明而自信开朗；还有全球化业务和出差机会；国内Go开发者论坛的讲师；SaaS产品服务全球和国内客户，IT赋能客户成长…职位诱惑：全年十四薪，五险一金，期权鼓励；工作日每天有餐补和交通补贴；大牛带队，技能培训，职位晋升；家人关爱，为你为我。你的职责:1、负责服务端系统的开发和维护工作；2、对现有系统进行持续改进和优化。我们期望:你热爱编程，有一定的开发经验，熟练掌握项目开发流程，了解 Git, Git Flow 或类似工作流程；喜欢动手实现自己的想法，总结并分享自己的经验，拥有持续维护的技术博客、github 或者个人软件作品；不仅能够写出简洁、优美、富有逻辑的程序，更有着挑战新事物新任务的激情；或者你自认为不是高手，但有灭掉任何高手的勇气和信心。加分项1、熟悉Java语言；2、具备良好的沟通、组织、协调能力，较强的语言组织及表达能力；3、具备高负载、高并发系统设计、开发经验者优先；4、具备支付系统、会员卡、积分、营销系统的开发经验者优先。5、具备日语读写能力者优先。薪酬：14薪+年终奖金+项目奖励+分享1亿的超大期权池对你未来的期许：简单说就是：工作就是不断的输入，不断地输出，输入的是知识或技能，输出的也是知识或技能，我们看到你的表现，优异者有机会进入核心团队，晋升为研发中心一哥一姐！在一个对的时间、遇见一个对的企业，未来5年的成长，期许一段不负自己不负时代的波澜壮阔。期待你来，讯联数据大家庭！",金融,150-500人,go,无锡
