job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
资深测试工程师,https://www.lagou.com/jobs/6688534.html,新吴区,15k-30k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,餐补",,文娱丨内容,2000人以上,python,无锡
基础教育研究,https://www.lagou.com/jobs/7093191.html,新吴区,10k-20k,北京字节跳动科技有限公司,不限,硕士,"下午茶,六险一金,带薪休假,餐补",,文娱丨内容,2000人以上,python,无锡
自动化测试专家(J11294),https://www.lagou.com/jobs/7049452.html,新吴区,10k-15k,朗新科技股份有限公司,3-5年,本科,技术先进 团队有活力 年终奖丰厚,,"移动互联网,企业服务",2000人以上,python,无锡
前端高级开发工程师,https://www.lagou.com/jobs/7182664.html,滨湖区,12k-20k,小佩网络科技（上海）有限公司,3-5年,本科,年底双薪 技术氛围深厚 公司团建,"高级前端工程师岗位职责：1. 负责新零售SaaS系统前端开发,微信公众号/小程序/管理系统/物联网等；2. 负责系统功能的设计到开发,包含PC/PAD/手机端3. 欢迎有实力者加入,全栈更佳任职要求：1. 本科以上学历,计算机或相关专业,3年以上项目经验2. 熟练使用angular或者react框架,善于调优解决疑难杂症;3. 混github等开源社区,爱研究源码者优先4. 熟悉mac/linux, gulp, webpack 等开发环境5. 有电商/微信公众号/ ERP开发经验者优先;6. 掌握任一种后端开发者优先,例如 java/php/python/node;7. 热爱前端开发, 工作主动性强；8. 有良好的沟通能力与团队合作精神。","移动互联网,消费生活",150-500人,python,无锡
遥感算法工程师(J11125),https://www.lagou.com/jobs/6833815.html,新吴区,8k-15k,朗新科技股份有限公司,应届毕业生,本科,六险一金 年终奖丰厚 不打卡 弹性上班,,"移动互联网,企业服务",2000人以上,python,无锡
前端开发工程师,https://www.lagou.com/jobs/7125653.html,滨湖区,9k-15k,小佩网络科技（上海）有限公司,1-3年,本科,年底双薪 技术氛围深厚 公司团建,"岗位职责：1. 负责新零售SaaS系统前端开发,微信公众号/小程序/管理系统/物联网等；2. 负责系统功能的设计到开发,包含PC/移动端3. 欢迎有实力者加入,全栈更佳任职要求：1. 211本科以上学历,计算机或相关专业,2年以上项目经验2. 熟练angularjs/angular,同时了解react/vue框架,善于调优解决疑难杂症;3. 混github等开源社区,爱研究源码者优先4. 熟悉mac/linux, gulp, bower开发环境5. 有电商/微信公众号开发经验者优先;6. 掌握任一种后端开发者优先,例如 java/php/python/node;7. 热爱前端开发, 工作主动性强；8. 有良好的沟通能力与团队合作精神。","移动互联网,消费生活",150-500人,python,无锡
V2X车路协同平台架构师,https://www.lagou.com/jobs/7199965.html,新吴区,30k-50k,斯润天朗（北京）科技有限公司,5-10年,硕士,"弹性工作,绩效奖金，补充医疗，股票期权","技能要求：C/C++，java，Linux，Python，Hadoop工作职责1、调研跟踪车路协同技术发展现状与趋势，分析国内交通管理模式下车路协同环境的应用场景、解决方案和技术路线;2、 参与车路协同信息物理系统架构设计，围绕车路协同、智能交通、自动驾驶等应用场景，利用系统工程的建模分析方法，分析设计系统功能、数据流向、业务流程和物理架构等内容。3、 参与车路协同相关的示范区和测试场设计;4、 结合信息物理架构设计开展新产品规划和设计工作;5、 参与科研课题和其他咨询项目。6、 负责V2X通信协议栈、底层驱动（内核与模块调试）的设计、研发、测试及其他相关问题的解决；任职资格：1、 交通工程、智能交通、信息工程、通信工程、机械电子工程、计算机等相关专业;2、 交通行业3年以上工作经验，熟悉智能交通、车路协同和v2x相关应用;4、 具备智能交通系统规划设计、车路协同产品开发测试、测试场规划建设等经验者优先。5、 精通无线通信系统，熟悉了解LTE/D2D/V2X 3GPP协议（L1, MAC, RLC ,RRC,SAEL3 etc、）， 具有2年以上协议栈和通信脚本开发经验；6、 熟练使用C/C++语言，有丰富的开发经验，熟悉Linux系统下的软件开发；7、 能够独立完成软件的设计、开发、调试、对接、故障处理等相关任务；8、 良好的编程和质量保证习惯，熟悉常见的软件开发流程，能与上下游环节高效协作；9、 良好的英语表达和沟通能力。","移动互联网,数据服务",50-150人,python,无锡
测试工程师 实习生,https://www.lagou.com/jobs/4032471.html,新吴区,3k-6k,江苏极熵物联科技有限公司,应届毕业生,硕士,"自由考勤,免费零食,免费旅游,免费体检","职责描述1.     根据需求，参与制定产品的测试计划与测试方案。2.     维护测试环境，编写与执行测试用例。3.     根据测试结果撰写并提交测试报告，进行分析并提出产品缺陷。4.     协助项目进行系统版本管理和版本发布工作。任职要求1.     本科及硕士学历，计算机相关专业。2.     有一定的测试基础，了解软件测试流程与执行。3.     熟悉一种以上下列脚本语言：Shell,      Python, Perl, JavaScript…4.     了解LoadRunner、Jmeter、QTP、selenium等商业或开源性能测试工具。了解Oracle及其他SQL数据库基本操作。5.     对产品质量富有责任心，思考问题周到全面，敢于指出问题而不放过一丝疑点。6.     具有较强的沟通能力及学习精神，能够与软件研发/产品团队良好协作。","企业服务,数据服务",15-50人,python,无锡
测试工程师,https://www.lagou.com/jobs/4032401.html,新吴区,5k-10k,江苏极熵物联科技有限公司,不限,大专,"自由考勤,零食,年假,旅游","职责描述根据需求，参与制定产品的测试计划与测试方案。维护测试环境，编写与执行测试用例。根据测试结果撰写并提交测试报告，进行分析并提出产品缺陷。协助项目进行系统版本管理和版本发布工作。任职要求计算机相关专业毕业。熟悉软件测试流程与执行。熟悉一种以上下列脚本语言：Shell,      Python, Perl, JavaScript…了解LoadRunner、Jmeter、QTP、selenium等商业或开源性能测试工具。了解Oracle及其他SQL数据库基本操作。对产品质量富有责任心，思考问题周到全面，敢于指出问题而不放过一丝疑点。具有较强的沟通能力，能够与软件研发/产品团队良好协作。","企业服务,数据服务",15-50人,python,无锡
性能测试工程师,https://www.lagou.com/jobs/6798267.html,新吴区,5k-10k,上海讯联数据服务有限公司,1-3年,本科,奖金，旅游，十四薪，员工期权,岗位职责：1. 完善测试方法，设计和执行测试用例，进行缺陷跟踪和线下问题的快速重现；2. 负责性能测试计划制定、测试方案设计；3. 负责性能测试环境搭建、脚本编写、测试执行；4. 负责系统性能瓶颈分析，提出性能调优建议，编写性能测试报告。岗位要求：1. 3年以上开发或测试工作经验，两年以上性能测试工作经验；2. 可以根据对系统的了解，设计合理的性能测试场景和脚本；3. 熟悉内存、处理器、进程、磁盘I/O、网络容量性能分析方法，可以对性能测试数据进行有效的分析，结合系统分析出影响性能的逻辑；4. 熟悉HTTP协议；5. 熟悉Linux系统，熟练掌握常用命令；6. 熟悉数据库（Mysql、MongoDB、Redis）常用命令；7. 熟练使用jmeter等测试工具，能够开发维护性能测试框架和脚本；8. 熟练掌握Python、Java、Go等开发语言一种或多种；9. 具备较强的问题分析和学习能力，有较好的沟通能力。,金融,150-500人,python,无锡
