job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
AI算法工程师,https://www.lagou.com/jobs/6206047.html,东湖新技术开发区,20k-40k,华为技术有限公司,3-5年,本科,五险一金、绩效奖金、股票期权，带薪年假,【工作职责】1、承担平台智能边缘控制软件、光性能、光调测等核心模块及子系统的软件需求分析、设计及开发；2、负责平台相关业务的AI算法研发、数据处理、模型训练、模型调优和训练流程自动化；3、参与AI算法研究、AI软件技术研究及技术规划，及新技术原型验证，负责AI新技术能力传递【任职要求】业务技能要求：1、具有软件开发1年以上经验，熟悉Python、C++至少一种编程语言，熟悉Linux，具备扎实的编程基础和良好的编程习惯；2、熟悉常用数据处理和数据分析方法，有一定的统计学基础，熟练使用pandas、numpy等进行数据处理，具备大数据处理相关经验；3、熟练使用sklearn、tensorflow/keras/caffee等进行机器学习或者深度学习算法处理优先。专业知识要求：1、计算机科学技术、自动化控制、模式识别、图像处理、应用数学和统计学等相关专业；2、熟悉常用分类和回归算法：线性回归、svm、决策树、k-means、kNN等算法原理；3、熟练使用python语言，可以使用sklearn、tensorflow/keras/caffee等进行机器学习或者深度学习算法处理。,通讯电子,2000人以上,深度学习,武汉
算法工程师,https://www.lagou.com/jobs/6922771.html,洪山区,10k-20k,武汉斗鱼网络科技有限公司,应届毕业生,本科,弹性工作,工作职责：1、利用传统机器学习、深度学习等技术，改进斗鱼直播平台的内容推荐，优化数亿用户的使用体验；2、利用自然语言处理、机器学习等技术，优化斗鱼平台的搜索功能，改善用户搜索体验；3、利用机器学习、图计算等技术，优化斗鱼平台的风控体系，识别作弊用户，优化正常用户使用体验；4、分析基础数据，基于算法挖掘用户、主播的标签、偏好、价值等信息，分析用户商业意图，挖掘流量潜在商业价值，提升流量变现。任职资格：1、计算机、数学、自然语言处理、机器学习及相关专业本科及以上学历；2、热爱计算机科学和互联网技术，对人工智能类产品有浓厚兴趣；3、具备强悍的编码能力，熟悉Python/java/scala与Linux开发者优先；4、有扎实的数据结构和算法功底，熟悉信息检索/数据挖掘/机器学习/推荐/NLP算法/知识图谱中一项或者多项；5、对文本挖掘、推荐系统、风控系统、计算广告、搜索引擎、知识图谱有相关经验者优先；6、独立分析问题和良好的团队沟通能力，对解决具有挑战性问题充满激情者优先。,文娱丨内容,2000人以上,深度学习,武汉
算法工程师,https://www.lagou.com/jobs/5902378.html,江夏区,13k-20k,武汉大势智慧科技有限公司,1-3年,硕士,五险一金 餐饮补贴 年终奖 员工旅游,"岗位描述：
 图像内容识别、图像纹理优化方面的算法基础研发；
 三维模型内容识别、三维模型优化方面的算法研发；
 遥感影像处理、内容理解方面的算法研发；
 以上1,2,3方面的内容可选择某一项或者多项；
 可作为培养人员参与公司研发资深专家或博士团队算法研发；
 配合研发算法在公司产品化方面的工作。
 任职要求：
 计算机视觉、摄影测量、图像处理、计算机图形学等相关专业，具有扎实的理论知识，硕士及以上学历；
 有良好的 C/C++ 程序开发基础和良好的数学功底；
 熟悉Matlab或Python；
 有一定深度学习的算法基础，熟悉深度学习框架者优先;
 对图像处理算法研究与开发有浓厚的兴趣；
 有良好的英文基础，能够阅读相关领域的英文论文；
 善于学习，有强烈的责任心和进取心；具有良好的团队合作精神和沟通、理解能力；并具有良好的职业素养，有一定的抗压能力。","移动互联网,数据服务",50-150人,深度学习,武汉
算法工程师,https://www.lagou.com/jobs/5466476.html,江夏区,13k-18k,北京数字政通科技股份有限公司武汉分公司,1-3年,本科,六险一金，高公积金，AI最前沿技术,岗位职责：1、积极参与公司产品的算法设计及算法性能的优化；2、按照公司软件算法规范，保证软件算法运行的稳定性及高性能；3、跟踪业务领域的技术发展动态，快速推进算法的产品化；任职要求：1、计算机、自动化、数学等相关专业硕士及以上学历，优秀本科生也可；2、有良好的图像/视频算法基础，熟悉C++/Python计算机软件编程开发；3、热爱算法研究，有CNN/RNN模型训练经验，熟悉深度学习框架（Caffe，TensorFlow，MXNet）中的一种或几种者优先；具有图像/视频分析、智能目标检测、特征识别和目标行为分析相关背景者优先；4、在深度学习相关方向知名国际会议发表过论文者优先；5、具备良好的英语读写能力，英语六级；,移动互联网,500-2000人,深度学习,武汉
学习管理师（小数/下午茶）,https://www.lagou.com/jobs/6804720.html,洪山区,6k-9k,北京猿力未来科技有限公司,不限,本科,每日下午茶、年度出国游、免费健身房,岗位职责：1、课上，辅助主讲老师教学；课下，负责给学生答疑解惑；2、运营学生专属学习群；3、负责与学生及家长沟通学生学习情况，提高到课率和续报率。任职要求：1、全日制统招本科及以上学历，应、往届生均可；2、学习能力强，对应学科基础知识扎实；3、具备良好的沟通力和团队协作力，抗压能力强；4、积极向上、性格乐观，愿意投身教育行业发展。5、有互联网工作经验/思维者优先考虑。6、不限专业，持教师证者优先。工作时间：周四--周一13:00--21:00上班； 周二、周三休息薪资福利：1、月综合薪资（6k-9k）=基薪+绩效+补贴，六险一金（入职足额缴纳）、年13薪、双休；2、晋升和培训：每年2次调薪+2次晋升，提供职业培训；3、旅行和假期：7000元/人出国旅游津贴，全年7-15天带薪年假；4、每日下午茶、每月团建、年度体检、免费健身房。公司简介：猿辅导是国内知名的K12直播课程平台，目前已完成G轮融资，是估值超过78亿美元的独角兽公司，也是目前国内规模最大的在线教育公司，总用量突破4亿。 旗下拥有小猿搜题，猿题库，猿辅导，斑马系列产品，粉笔公考兄弟系列产品。 我们的文化：扁平化管理、简单纯粹、官僚化程度极低、相信一切皆有可能。,"移动互联网,教育",2000人以上,深度学习,武汉
学习运营师（小数/下午茶）,https://www.lagou.com/jobs/7053031.html,洪山区,6k-9k,北京猿力未来科技有限公司,1年以下,本科,"13薪,年度出国游,六险一金,年度体检",职位诱惑：六险一金 免费下午茶岗位职责：1、课上，辅助主讲老师教学；课下，负责给学生答疑解惑；2、运营学生专属学习群；3、负责与学生及家长沟通学生学习情况，提高到课率和续报率。任职要求：1、全日制统招本科及以上学历，应、往届生均可；2、学习能力强，对应学科基础知识扎实；3、具备良好的沟通力和团队协作力，抗压能力强；4、积极向上、性格乐观，愿意投身教育行业发展。5、有互联网工作经验/思维者优先考虑。6、不限专业，持教师证者优先。工作时间：周四--周一13:00--21:00上班； 周二、周三休息薪资福利：1、月综合薪资（6k-9k）=基薪+绩效+补贴，六险一金（入职足额缴纳）、年13薪、双休；2、晋升和培训：每年2次调薪+2次晋升，提供职业培训；3、旅行和假期：7000元/人出国旅游津贴，全年7-15天带薪年假；4、每日下午茶、每月团建、年度体检、免费健身房。公司简介：猿辅导是国内知名的K12直播课程平台，目前已完成G轮融资，是估值超过78亿美元的独角兽公司，也是目前国内规模最大的在线教育公司，总用量突破4亿。 旗下拥有小猿搜题，猿题库，猿辅导，斑马系列产品，粉笔公考兄弟系列产品。 我们的文化：扁平化管理、简单纯粹、官僚化程度极低、相信一切皆有可能。,"移动互联网,教育",2000人以上,深度学习,武汉
算法工程师,https://www.lagou.com/jobs/7210318.html,洪山区,15k-20k,成都佳华物链云科技有限公司,1-3年,硕士,五险一金 年终奖,岗位职责：1. 参与区块链系统方案设计及相关文档撰写；2. 哈希、对称加密、非对称加密类算法设计与实现；3. 算法多平台移植与优化；4. Hyperledger Fabric本地化；5. 其他算法相关开发与设计文档输出；6.相关专利、著作权书写与提交。任职要求：1. 985/211院校 专业: 电子、计算机类相关专业， 硕士及以上学历2. 2年以上工作经验，具备扎实的计算机体系结构、密码学、数据库等基础；3. 熟悉区块链、Hyperledger等新技术；4.  熟悉哈希、对称加密、非对称加密算法的设计与实现；5. 熟悉C/C++、golang，很好的代码实现能力；,"移动互联网,数据服务",15-50人,深度学习,武汉
算法工程师,https://www.lagou.com/jobs/7050482.html,东湖新技术开发区,15k-25k,武汉未来科技城人才企业发展服务有限公司,3-5年,本科,名企 大平台,岗位要求：1、 数学、应用数学、机械及相关专业；2、 硕士及以上学历；3、 精通几何学；4、 熟悉NURBS和Brep；5、 思维逻辑严密，善于表达自己的思路，有团队协作精神；6、 懂得任意一种编程语言者优先；7、 有计算机图形软件开发经验者优先；8、 熟悉任意一种三维建模库（例如OCC）者优先。岗位职责：1、 维护3D CAD底层建模内核与几何内核；2、 优化算法，提升算法的计算性能与可靠性；3、 开发3D CAD建模特征；4、 设计算法，并自己实现或与研发工程师配合实现算法；5、 编写技术文档，对算法进行说明；6、 编写技术专利文档，协助申请技术专利；,"移动互联网,企业服务",50-150人,深度学习,武汉
音视频算法工程师 (MJ000248),https://www.lagou.com/jobs/6936916.html,洪山区,20k-40k,武汉斗鱼网络科技有限公司,3-5年,本科,工作氛围棒 快速发展 平台大 企业文化好,工作职责:1、负责音频核心算法的改进和维护；2、负责音频特效、回声消除、降噪、人声增益等算法的研究与应用；3、负责实时音视频传输优化，优化各种基础网络下(WiFi、3G、4G等)的传输性能，包括带宽利用率、延迟、成功率等。任职资格：1、计算机、数学相关专业毕业，硕士及以上学历；2、有扎实的信号处理基础，精通至少一种音频算法；3、深入理解TCP/UDP特性，对带宽预测，拥塞控制算法有深入研究；4、有很强的学习能力，愿意学习新知识；5、有语音相关的深度学习相关经验优先。,文娱丨内容,2000人以上,深度学习,武汉
搜索算法工程师,https://www.lagou.com/jobs/6576009.html,江夏区,18k-36k,北京小米科技有限责任公司,3-5年,本科,"大平台,团队氛围,发展空间",工作描述： 1.搜索垂类的策略及算法相关工作；2.搜索及相关领域的机器学习或NLP算法设计与应用。职位要求：1.3年以上工作经验，熟悉Linux环境下Java、python、SHELL等语言编程；2.对常用数据结构和算法有较为深刻的理解 ；3.优秀的分析和解决问题的能力，对挑战性问题充满激情 ；4.强烈的上进心和求知欲，较强的学习能力和沟通能力，具备良好的团队合作精神 ；5.具备一定机器学习背景，熟悉常见机器学习算法 ；6.具备搜索相关经验，在自然语言文本处理上有经验优先。ps：到岗时间可议~,硬件,2000人以上,深度学习,武汉
图像视觉算法工程师,https://www.lagou.com/jobs/6966679.html,江夏区,15k-30k,北京小米科技有限责任公司,不限,本科,"大平台,团队氛围,六险一金，节日福利",职位描述：1、 负责图像处理或计算机视觉等相关项目中的算法研发，以及业务推进和赋能；2、 对以下领域有深入了解；a) 图像处理算法：包括但不限于，图像识别、目标检测和跟踪、图像美学裁剪、视频理解、动作识别等；b) 文字识别算法：包括但不限于，自然场景的文字检测识别、端到端的文字识别、文档图像的版面分析和识别（发票、卡证、表格等）等；3、 负责带领算法团队，结合业务需求，研发/优化并提供优质的算法服务；4、 跟踪技术前沿方向，能够在技术角度识别业务的前瞻性方向，并引导团队实现，提升业务效果。5、 熟悉深度学习理论，能熟练使用 Caffe、Tensorflow、PyTorch、MXNet 等深度学习框架；职位要求：1、 在计算机视觉领域比如OCR或者通用图像检测、识别等领域有较深的理解和经验；2、 熟悉一种常见的深度学习框架；3、 精通 C/C++/Java/Python 开发，能写出优质高效的代码，有较大规模工程项目落地的能力者优先；4、 良好的团队合作，沟通和协作能力；有团队管理经验者优先。,硬件,2000人以上,深度学习,武汉
算法工程师,https://www.lagou.com/jobs/7151894.html,洪山区,7k-12k,鄂尔多斯市煤易宝网络科技有限公司武汉分公司,1-3年,本科,利用技术驱动业务，成就自己,岗位职责：1.负责文本分析，并对完成分词、分类、自动化标签抽取等工作；2.获取用户在煤易宝商城(PC/APP)侧的使用轨迹，能够完成用户画像，从而进行商品、煤矿、商家等进行精准推荐；3.熟悉和掌握煤易宝业务，利用大数据，逐渐搭建预测煤价模型，通过历史数据，预测运价，进而建立核算盈亏模型；4.与产品运营沟通，通过分析数据确定产品需求；任职要求：1. 计算机/自动化/通信/信息/数学等相关专业，本科及以上学历，相关工作1年及以上；2. 熟悉常用的分类、回归、聚类算法以及自然语言处理/推荐系统基本算法，并参与过实际推荐或者文本挖掘项目；3. 熟练掌握Java/Python，熟悉hadoop、spark、hive、odps等大数据开发平台更佳；4. 优秀的分析及解决问题能力，有责任心，良好的沟通表达能力；,"移动互联网,电商",150-500人,深度学习,武汉
NLP算法工程师,https://www.lagou.com/jobs/5157403.html,江夏区,12k-24k,优品财富管理有限公司,3-5年,本科,大牛云集,岗位职责：使用深度学习/机器学习对大量金融非结构化文本信息进行内容分析，包括内容分类，主题提取，情感分析等岗位要求：1. 计算机/数学/统计学等相关专业，硕士及以上学历，2年以上NLP工作经验；2. 具有较好的逻辑思维及较强编程能力（精通 C/C++或Java ），熟练使用至少一种脚本语言（ python/shell等）；3. 熟悉NLP常用技术，有中文分词、命名实体识别、主题提取、Deep Learning 在 NLP 领域中的应用等实战经验； 4. 有相关项目经验，并担任核心算法架构或研发者优先考虑；5. 有较强的学习能力和良好的沟通能力。,金融,500-2000人,深度学习,武汉
建模算法工程师,https://www.lagou.com/jobs/7049552.html,洪山区,13k-25k,武汉未来科技城人才企业发展服务有限公司,3-5年,硕士,六险一金、14-16薪、周末双休,建模算法工程师 工作地点:武汉岗位职责：1、 负责中望三维 CAD/CAM 产品基础图形算法的设计与实现， 包括基础图形算法设计、 原型开发， 编码实施， 模块测试及 Bug修复。2、 能够基于产品规划和客户诉求对 ZW3D 产品的三维图形建模能力进行改进， 包括客户图形问题分析， 图形案例设计， 图形算法设计与实现等。3、 能够对当前国际主流的图形建模引擎进行分析和学习， 对图形学前沿技术进行研究并在工作中进行应用， 具备良好的学习及分析能力4、 要求思维缜密， 有良好的编码习惯， 在实现相关基础建模算法的基础上， 能够有效利用面向对象方法， 代码重用等原则对项目代码进行优化， 使其有良好的可维护性和可扩展性。岗位要求：1、 硕士及以上学历， 软件工程， 计算机科学与技术， 机械工程及自动化， 计算数学、 计算机图形学等理工科相关专业；2、 熟悉或掌握以下专业知识， 包括但不限于: 计算机图形学， 微分几何， 计算几何， B 样条曲线及曲面等3、 熟悉或掌握 C/C++编程语言， 有过相关项目经验（包括实习） 者优先4、 掌握 Windows 平台下各种常用开发工具集知识， 包括但不限于： Visual Studio、 MFC、 Qt 等5、 综合的工作能力要求， 包括： 良好的产品层面分析及设计能力， 解决复杂算法问题的坚韧性， 良好的问题总结及陈述能力。,"移动互联网,企业服务",50-150人,深度学习,武汉
AI算法工程师,https://www.lagou.com/jobs/6823465.html,洪山区,10k-20k,武汉天喻信息产业股份有限公司,不限,硕士,六险一金，免费班车、免费工作餐、节假日福,"岗位职责：1、负责人工智能分析算法的 SDK 工程化工作 2、负责算法功能向 SDK 框架集成，保证代码质量和效率 3、完善 SDK 框架能力，丰富功能，提升易用性 4、持续维护相关模块的改进更新及文档的同步更新 5、从事至少以下一种算法的研发：OCR(自然场景或复杂背景文档的文字识别)，人脸识别， 物体识别，图像视频内容分析，图像处理，视频处理，语音识别，自然语言处理与理 解，推荐系统，数据挖掘，大数据分析 6、根据分配的研发任务，进行软件开发、修改、升级、测算等相关工作，保证研发项目的进度和质量。任职要求：1、硕士及以上学历（部分院校可放宽至本科）计算机科学与技术、软件工程、数字图像处理、通信与信息系统、自动化、数学等相关专业 2、对机器学习、深度学习算法有深入了解 3、具有较强的英文阅读能力，可熟练查询英文资料，能跟踪相关技术和算法最新进展 4、精通 C/C++/Python，熟悉 openCV，Tensorflow, Caffe 等框 架 5、良好的软件开发习惯和代码风格，熟悉常用的数据结构 6、数学基础较好优先考虑（高等数学、线性代数、概率论） 7、有教育、金融行业人工智能相关从业经历者优先","移动互联网,信息安全",2000人以上,深度学习,武汉
高级算法工程师,https://www.lagou.com/jobs/7154551.html,洪山区,25k-40k,湖北清泽品牌咨询有限公司,3-5年,本科,头部直播平台 六险一金 餐补,职位描述：1、优化模型效果，并保证线上模型指标稳定提升；2、分析业务数据，提出改进方案；3、业务目标拆解和技术规划。职位要求：1、机器学习理论基础扎实；2、熟悉矩阵分解、GBDT、LTR、word2vec、CRF、LSTM等常见算法；3、强悍的工程实现能力，熟练使用python、scala语言；4、熟练使用以下任何一个开源工具：xgboost、tensor flow、pytorch；5、善于思考和发现问题，并能提出改进方案；6、针对特定业务指标，具备技术拆解和规划能力；7、有推荐、广告或增长相关算法工作经验优先。,"电商,信息安全",500-2000人,深度学习,武汉
机器学习算法工程师,https://www.lagou.com/jobs/5078731.html,武昌区,10k-20k,广州多益网络股份有限公司,不限,不限,互联网百强,【工作地点】武汉【学历要求】本科【工作职责】1.负责公司机器学习算法的研发和实施，包括模型设计、模型训练；2.为公司其他项目组提供数据分析及机器学习方面的技术支持。【职位要求】1.本科及以上学历，计算机相关专业；2.熟练掌握一门或多门编程语言，参与过大型项目者优先；3.对机器学习、深度学习及强化学习理解透彻，熟悉常用的模型；4.对数据敏感，分析数据、抽象问题、理解并解决问题，对使用机器学习解决实际问题有极强的热情5.良好的团队合作精神，较强的沟通能力；6.主动性强，有很强的自我驱动力。该职位只接受招聘官网投递简历，请您进入我司官网招聘地址（http://hr.duoyi.com/）选择对应职位进行投递，我们将认真查看您的简历并作回复，感谢您对多益的关注！(1)根据投递岗位（机器学习算法工程师）及工作地点，点击进入详细页面；(2)点击“投递岗位”、“注册帐号”并填写邮箱和电话号码后点击“确认注册”；(3)将简历信息填写完整，点击“保存并提交”即可。,"移动互联网,游戏",500-2000人,深度学习,武汉
深度学习算法工程师,https://www.lagou.com/jobs/6374110.html,东湖新技术开发区,15k-30k,东莞正扬电子机械有限公司武汉研发中心,1-3年,硕士,五险一金 发展空间大 带薪年假,职责描述：1、负责ADAS领域中深度学习视觉算法的实现和产品化；2、负责深度学习网络架构预研以及高效高精度网络结构的设计；3、负责现有深度学习网络结构和网络模型的优化；4、负责研究跟进深度学习视觉算法的前沿技术，并对相关技术进行实验验证以及优化。任职要求：1、计算机、数学、电子等相关专业硕士及以上学历，两年以上工作经验；2、熟悉基于深度学习的目标检测、识别、跟踪，语义分割等任务，包括但不限于RCNN类，SSD类，YOLO类，FCN，SegNet，RefineNet等；3、扎实的数学基础，精通常见的几何、统计学等，并熟悉这些技术在ADAS领域的应用；4、熟练掌握C/C++、Python、Matlab等编程语言之一，熟练使用OpenCV、Dlib等；5、熟练掌握常见数据结构和算法，能够分析和优化计算逻辑，优化提升性能；6、具备深度学习CNN的调参经验优先，熟悉pruning、quantization、knowledge distillation等常用的模型压缩方法优先；7、有成熟的产品经验优先，有ADAS相关产品经验尤佳。,"硬件,人工智能",15-50人,深度学习,武汉
图像算法工程师,https://www.lagou.com/jobs/5906518.html,江夏区,8k-12k,武汉大势智慧科技有限公司,应届毕业生,硕士,五险一金 餐饮补贴 年终奖 员工旅游,"岗位描述：1、图像内容识别、图像纹理优化方面的算法基础研发；2、三维模型内容识别、三维模型优化方面的算法研发；3、 遥感影像处理、内容理解方面的算法研发；以上1,2,3方面的内容可选择某一项或者多项；4、可作为培养人员参与公司研发资深专家或博士团队算法研发；5、配合研发算法在公司产品化方面的工作。任职要求：1、计算机视觉、摄影测量、图像处理、计算机图形学等相关专业，具有扎实的理论知识，硕士及以上学历；2、有良好的 C/C++ 程序开发基础和良好的数学功底；3、熟悉Matlab或者Python；4、最好有一定深度学习的算法基础（不强求）；5、对图像处理算法研究与开发有浓厚的兴趣；6、有良好的英文基础，能够阅读相关领域的英文论文；7、善于学习，有强烈的责任心和进取心；具有良好的团队合作精神和沟通、理解能力；并具有良好的职业素养，有一定的抗压能力。","移动互联网,数据服务",50-150人,深度学习,武汉
算法工程师,https://www.lagou.com/jobs/6913035.html,洪山区,8k-13k,武汉毕格邦科技有限公司,不限,本科,不打卡、双休、全额公积金、免费旅游,"岗位职责：1、CV、NLP等AI算法研发、论文结果复现与算法移植；2、理解业务需求、分析业务数据，收集整合公开数据集及自研数据完成业务算法开发与测试；3、业务算法持续优化迭代；4、跟进前沿技术论文，学术与工程相结合解决实际业务问题。任职要求：1、统招本科及以上学历，计算机、数学、电子信息等理工科相关专业，985/211优先，硕士及以上优先；2、有良好数据结构/算法基础，熟练掌握python/C++/shell等编程语言，具备一定的coding基础；3、良好的沟通合作能力，自我驱动力强；4、有CV/NLP/ML基础，有参加过ACMICPC, NOI/IOI，Top coder，kaggle比赛优先，有ICML, NIPS, KDD, ACL, EMNLP, CVPR, ICCV, ECCV等论文优先；5、有并行计算、分布式系统基础优先。PS：此岗位属于我司算法项目团队特招。",移动互联网,15-50人,深度学习,武汉
大数据算法高级工程师(J11152),https://www.lagou.com/jobs/6848995.html,洪山区,10k-18k,朗新科技股份有限公司,3-5年,本科,五险一金、年底双薪,,"移动互联网,企业服务",2000人以上,深度学习,武汉
高级算法工程师,https://www.lagou.com/jobs/7140537.html,东湖新技术开发区,15k-28k,武汉物易云通网络科技有限公司,5-10年,不限,周末双休 年终奖 旅游,岗位职责：1、构建基础数据，分析和挖掘数据价值，为业务和运营提供决策支持。2、建设算法平台，负责各种算法应用的调研，开发，迭代，优化。3、参与建立完善的用户体系，风控体系，运力体系，用数据和算法创造业务价值。岗位要求：1、扎实的算法和编码能力，对数据敏感，能从用户数据中提取有价值的信息。有实际的数据挖掘，机器学习项目经历，5年以上工作经验。 2、熟悉java，Python等编程语言和相关技术框架。 3、熟悉回归，分类，聚类等基本算法，能结合离线和在线技术搭建机器学习算法平台。 4、熟悉hadoop，spark等大数据处理工具。 5、计算机，数学，人工智能等相关专业本科以上学历。 6、责任心强，善于沟通，有独立思考能力，有发现问题和解决问题的能力。 加分项：有 用户画像，风控模型，神经网络，物流运输，广告推荐 等相关项目经验。,"移动互联网,电商",150-500人,深度学习,武汉
机器学习/NLP算法高级工程师,https://www.lagou.com/jobs/7014484.html,东湖新技术开发区,20k-40k,丰图科技（深圳）有限公司武汉分公司,5-10年,本科,周末双休、高额餐补、节假日福利等,1. 融合异构海量实时数据，打造精细、空间&语义、互连的多维底版数据； 2. 基于底版数据结合业务场景的数据挖掘基础建设。  岗位要求： 1. 计算机、数学专业，全日制本科或以上学历 2. 有较强的算法基础和c/c&#43;&#43;/python 编码能力，熟悉linux环境、shell； 3. 有NLP/ML/DL/数据挖掘/搜索引擎算法/等至少一种项目经历或研究背景； 4. 有较强的分析和解决问题能力，团队合作意识。,软件开发,150-500人,深度学习,武汉
深度学习算法工程师,https://www.lagou.com/jobs/6127533.html,洪山区,11k-18k,博瓦（武汉）科技有限公司,1-3年,硕士,五险一金，弹性工作，上升空间,1. 针对图像数据进行建模分析，为相关产品提供智能化支持;2.负责深度学习框架的优化和模型底层修改，提升训练和识别推理效率;3. 跟踪深度学习前沿技术，搭建企业级的深度学习计算平台;4. 算法的测试和优化；岗位要求：1、模式识别/人工智能/数学/计算机相关专业，硕士及以上学历，2年以上工作经验；2、精通CNN/RNN/LSTM/RBM……等各种深度神经网络模型，掌握相关实现及常见优化方案；3、精通各类机器学习相关的框架或工具，如Tensorflow、Caffe、Kares、OpenCV、Matlab等；4、能根据实际的应用需求，制定相关的解决方案，包括但不限于图像处理、机器视觉等领域；5、有极客精神，能独立分析并解决问题，动手能力强.,"人工智能,软件开发",少于15人,深度学习,武汉
AI算法工程师,https://www.lagou.com/jobs/7129040.html,东湖新技术开发区,10k-20k,东云睿连（武汉）计算技术有限公司,1-3年,本科,五险一金 年终奖金 弹性工作,1.负责深度学习算法开发，包括通用算法模型库的开发和优化，以及面向应用业务的领域算法设计与实现，涉及研究成果的工程化。2.负责深度学习算法的理论分析、形式化验证、性能测试等工作。3.与后台系统组件及AI引擎开发人员配合，实现软件各组件的功能对接。4.解决深度学习算法涉及的各类问题，持续改进软件质量。5.参与软件工程相关文档资料的编写整理工作。任职资格1.熟悉Python等语言，熟悉数据处理和算法领域常用的开发库。2.熟悉经典机器学习算法及其数学原理、神经网络模型、常用神经网络的实现及优化技术；熟悉一种或多种深度学习引擎（TensorFlow、PyTorch）的使用方法及其外部生态；开源贡献者优先。3.理解服务器端软件开发的全流程，并具有基本的软件架构设计能力。4.熟悉Python开发相关的工具链，了解软件工程规范和流程。5.具有较强的学习、理解和团队合作能力，乐于探索新技术、新方法，追求知识和能力的进步。6.在人工智能或相关领域有2年以上工作经验者优先；熟悉人工智能应用业务知识者优先。7.大学本科或以上学历，能够熟练阅读理解英文材料。,"人工智能,软件开发",15-50人,深度学习,武汉
算法工程师,https://www.lagou.com/jobs/6500597.html,东湖新技术开发区,14k-26k,武汉光庭科技有限公司,3-5年,大专,双休、班车、免费宿舍、定期体检,"岗位职责：1.负责研究相机和IMU融合的方案（用于静态/动态姿态估计）；2.负责视觉定位相关研发和方案解决等；岗位要求：1.本科及以上学历，图像处理，模式识别，计算机视觉相关专业；2.熟悉相机内外参标定，图像变形（失真）矫正，图像特征提取与匹配算法；3.有较强的算法实现能力，精通VO,ORB-SLAM,LSD-SLAM或VINS等算法框架者优先；4.精通C/C++开发，熟练使用OpenCV，熟悉Linux环境；5.有g2o、ceres或gtsam等非线性优化框架应用优先；","硬件,其他",50-150人,深度学习,武汉
三维图像算法工程师,https://www.lagou.com/jobs/6367601.html,洪山区,15k-20k,武汉古奥基因科技有限公司,1-3年,硕士,带薪年假8天 双休 房补交通补 全勤,职责描述：1、负责三维软件核心功能与算法的开发；2、有能力独立完成试验装置的搭建和现场的调试；3、根据系统设计进行实际的代码编写和测试工作，并指导其他项目组成员开展模块设计、编码和测试工作；任职要求：1、计算机科学与技术、软件工程、数学、测控技术与仪器、信息、通信等相关专业，硕士及以上学历；2、熟悉计算机图形学领域的基本算法，并有三维图像重建、识别与分割算法设计等相关项目经验；3、熟悉OpenCV 、OpenGL、VTK等常用图像处理库，具备较强的算法分析、实现和优化能力；4、熟悉图像处理相关算法、具有快速实现主流图像处理算法的能力；5、具备创新能力，具有良好的团队合作和沟通能力以及学习能力。6、对职责领域的技术有热情、乐于接受新方法、专注、善于分析和解决问题。,"数据服务,医疗丨健康",50-150人,深度学习,武汉
资深算法工程师（博士，三维图像方向）,https://www.lagou.com/jobs/6389280.html,洪山区,20k-35k,武汉古奥基因科技有限公司,不限,博士,博士后 国外访学,岗位职责：1、负责三维软件核心模块设计、核心功能开发、算法设计；2、开展三维图像重建、识别算法设计与仿真及人工智能（研究/算法/应用）等相关项目；3、根据系统设计进行实际的代码编写和测试工作，并指导其他项目组成员开展模块设计、编码和测试工作；任职资格：1、计算机科学与技术、软件工程、数学、测控技术与仪器、信息、通信等相关专业，博士及以上学历，在读博士亦可兼职；2、熟悉计算机图形学领域的基本算法，并在三维图像领域具有相关工作经验，有一定的团队管理能力；3、熟悉OpenCV 、OpenGL、VTK等常用图像处理库，了解主流三维图像应用技术架构设计；4、熟悉计算机视觉相关的算法与技术，具备图像及信号处理技术基础、对计算机视觉领域主流技术思想与原理有深刻理解；5、具备创新能力，具有良好的团队合作和沟通能力以及学习能力，能够快速学习并理解跨学科问题。6、追踪并理解相关领域主流技术的发展。,"数据服务,医疗丨健康",50-150人,深度学习,武汉
